razão_social,cnpj,público_alvo,mandato,segmento,tipo_de_fundo,prazo_de_duração,tipo_de_gestão,taxa_de_administração,vacância,numero_de_cotistas,cotas_emitidas,val_patrimonial_p_cota,valor_patrimonial,último_rendimento,valor_patrimonial_unidade,papel
FUNDOS INVESTIMENTO IMOBILÍARIOS FII HOTEL MAXINVEST,08.706.065/0001-69,Geral,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,0.50,40.00,35752,2888083,142.05,410.24,1.25,Milhões,HTMX11
HUSI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.017.492/0001-99,Geral,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Ativa,0.30,0.00,94,116351,1249.67,145.41,9.18,Milhões,HUSI11
Icatu Vanguarda GRU Logístico,54.483.412/0001-59,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.00,4806,24699989,9.58,236.53,0.08,Milhões,GRUL11
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.098.114/0001-28,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,0.90,0.00,376,8898713,88.50,787.52,0.95,Milhões,HSRE11
INTER LOGÍSTICO  FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,34.598.181/0001-11,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.31,0.30,16117,4512092,106.22,479.26,0.76,Milhões,INLG11
IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.564/0001-95,Geral,Híbridos,Híbrido,Fundo de Papel,Indeterminado,Ativa,1.03,0.00,3663,35225767,84.10,2.96,0.89,Bilhões,IRIM11
INVISTA BRAZILIAN BUSINESS PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO,52.551.605/0001-74,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo Misto,Indeterminado,Ativa,0.10,0.00,862,40720569,12.58,512.31,0.08,Milhões,IBBP11
ITAÚ CRÉDITO IMOBILIÁRIO IPCA,51.294.441/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,8743,3857348,101.04,389.76,0.95,Milhões,ICRI11
ITAÚ TEMPUS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.737.077/0001-99,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Determinado,Ativa,0.90,0.00,1905,978957,95.32,93.31,0.88,Milhões,TMPS11
Inter Residence,34.835.191/0001-23,Geral,Renda,Residencial,Fundo de Desenvolvimento,Indeterminado,Ativa,0.76,7.20,6403,1130217,118.85,134.33,0.67,Milhões,INRD11
INTER TEVE INDICE DE TIJOLO FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.293.425/0001-83,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Passiva,0.30,0.00,9592,900483,78.79,70.95,0.61,Milhões,ITIT11
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.312.772/0001-06,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Passiva,0.30,0.00,7965,748140,66.92,50.07,0.67,Milhões,ITIP11
JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.489.509/0001-17,Investidor Qualificado,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,,0.00,91,4876118,164.12,800.26,2.10,Milhões,VJFD11
ITAÚ TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO,52.270.671/0001-76,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo Misto,Indeterminado,Ativa,,0.00,13410,6249989,94.58,591.15,1.30,Milhões,ITRI11
JHSF CAPITAL CIDADE JARDIM - FUNDO DE INVESTIMENTO IMOBILIÁRIO,50.701.686/0001-16,Geral,Renda,Fundo de Fundos,Fundo de Fundos,Indeterminado,Ativa,0.3,0.00,239,4893674,195.68,957.61,1.77,Milhões,JCCJ11
JASC RENDA VAREJO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.886.241/0001-02,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.90,161,3489331,114.45,399.36,0.70,Milhões,JASC11
JBFO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.615.915/0001-59,Geral,Títulos e valores mobiliários,Fundo de Fundos,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,364,1279059,7.76,9.92,0.04,Milhões,JBFO11
JFL LIVING FI IMOBILIÁRIO CLASSE UNICA,36.501.181/0001-87,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,1.15,0.31,4783,1500587,100.48,150.78,1.10,Milhões,JFLL11
JS Recebíveis Imobiliários,54.866.214/0001-74,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,3400,22137089,9.46,209.47,0.10,Milhões,JSCR11
JPP ALLOCATION MOGNO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.982.880/0001-00,Geral,Títulos e valores mobiliários,Híbrido,Fundo de Papel,Indeterminado,Ativa,0.65,0.00,6292,904039,99.57,90.02,1.21,Milhões,JPPA11
KLIMA FIC FUNDO IMOBILIÁRIO SUNO 30,36.669.660/0001-07,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.65,0.00,104116,44196039,8.01,353.84,0.07,Milhões,KISU11
JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.085.661/0001-07,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,23522,77523279,9.26,717.62,0.08,Milhões,JSAF11
JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.216.625/0001-98,Geral,Híbridos,Híbrido,Fundo de Desenvolvimento,Determinado,Ativa,1.80,0.00,487,54989,61.16,3.36,0.35,Milhões,JPPC11
JS REAL ESTATE MULTIGESTÃO - FII,13.371.132/0001-71,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,1,1.90,85011,20767317,105.88,2.20,0.48,Bilhões,JSRE11
KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.273.325/0001-98,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.25,0.00,6837,2222725,85.36,189.73,0.87,Milhões,KIVO11
KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.502.802/0001-40,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,16020,35999989,9.47,340.82,0.09,Milhões,KCRE11
KINEA HEDGE FUND FDO DE INV IMOB,42.754.342/0001-47,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,1.2,0.87,56132,19663224,100.53,1.98,1.00,Bilhão,KNHF11
KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.130.708/0001-28,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.60,0.00,27997,31173072,98.60,3.07,1.00,Bilhões,KNHY11
Kinea Oportunidades Real Estate,52.219.978/0001-42,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,2.37,30660,9624989,105.94,1.02,1.25,Bilhão,KORE11
KINEA INDICES DE PRECOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,24.960.430/0001-13,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00 ,0.00,70740,80078175,92.65,7.42,0.70,Bilhões,KNIP11
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.423.780/0001-97,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo Misto,Determinado,Ativa,1.0,0.00,5656,18547150,0.63,11.73, 0.00,Milhões,KNRE11
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.262.752/0001-30,Investidor Qualificado,Desenvolvimento para venda,Outros,Outro,Indeterminado,Ativa,0.10,0.00,19,742473,359.95,267.26,3.53,Milhões,LPLP11
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,42.754.362/0001-18,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,47446,21484719,101.33,2.18,1.35,Bilhões,KNUQ11
KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.864.448/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.20,0.00,247935,202202374,8.80,1.78,0.09,Bilhão,KNSC11
KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,16.706.958/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00 ,0.00,478971,95264821,102.26,9.74,1.30,Bilhões,KNCR11
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,12.005.956/0001-65,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,1.25,3.86,303491,28204036,163.20,4.60,1.25,Bilhões,KNRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO LEBLON REALTY DESENVOLVIMENTO I,41.088.534/0001-07,Investidor Qualificado,Híbridos,Híbrido,Fundo de Desenvolvimento,Indeterminado,Ativa,,0.00,111,370233,76.61,28.36,6.23,Milhões,LRDI11
Life Capital Partners Fund de Investimento Imob,39.753.295/0001-02,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,0.00,18195,39761573,9.89,393.11,0.12,Milhões,LIFE11
MAG MULTIESTRATÉGIA CLASSE DE INVESTIMENTO IMOB,60.355.424/0001-09,Geral,Títulos e valores mobiliários,Outros,Fundo Misto,Indeterminado,Ativa,1.00,0.00,117,11111989,10.16,112.87,0.12,Milhões,MAGM11
LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.248.158/0001-46,Geral,Desenvolvimento para renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,1.10,3.90,458,2940287,129.40,380.49,0.51,Milhões,LASC11
LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.796.967/0001-90,Investidor Qualificado,Híbridos,Outros,Fundo de Papel,Indeterminado,Ativa,0.20,0.00,8,664989,49.77,33.09,3.67,Milhões,LFTT11
MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.888.583/0001-89,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,1.00,0.00,33191,37536129,9.40,353.01,0.11,Milhões,MANA11
MMVE OPORTUNIDADES IMOBILIÁRIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.251.337/0001-59,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,,0.00,130,489025,153.44,75.04, 0.00,Milhões,MMVE11
MAUÁ CAPITAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOB,57.466.934/0001-30,Geral,Títulos e valores mobiliários,Logístico / Indústria / Galpões,Outro,Determinado,Ativa,,0.00,210,124642849,13.71,1.71,0.09,Bilhão,MCLO11
MAUÁ CAPITAL REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.655.973/0001-06,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.05,0.00,87200,111598910,10.27,1.15,0.11,Bilhão,MCRE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO HOTÉIS,34.197.776/0001-65,Investidor Qualificado,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,0.85,0.00,3781,1313773,23.11,30.37,0.13,Milhões,MGHT11
MÉRITO CEMITÉRIOS FII - FDO DE INV IMOB,46.157.247/0001-17,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,0.00,212,3292722,34.97,115.13,0.67,Milhões,MCEM11
MÉRITO DESENVOLVIMENTO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.915.968/0001-88,Geral,Híbridos,Híbrido,Fundo de Desenvolvimento,Indeterminado,Ativa,2.0,0.00,32285,6799989,98.49,669.72,1.07,Milhões,MFII11
MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,97.521.225/0001-25,Geral,Híbridos,Híbrido,Fundo de Papel,Indeterminado,Ativa,0.90,0.00,1339321,460269520,9.42,4.34,0.10,Bilhões,MXRF11
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.432.327/0001-82,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,1.35,12.00,8029,4612216,9.77,45.04,0.09,Milhões,APTO11
NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.252/0001-80,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.0,0.00,2431,612271,86.53,52.98,1.24,Milhões,NAVT11
NAVI CRÉDITO IMOBILIÁRIO,40.041.603/0001-56,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,1265,3949988,10.00,39.49,0.10,Milhões,NCRI11
NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.527.626/0001-47,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,9729,2810182,130.48,366.68,1.08,Milhões,NEWL11
NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.793.782/0001-78,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.48,31.54,1067,741989,83.29,61.80,1.10,Milhões,NEWU11
ONDA DESENVOLVIMENTO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,52.966.340/0001-75,Geral,Híbridos,Híbrido,Fundo de Desenvolvimento,Indeterminado,Ativa,15000.00 ao mês ou 0.15,0.00,333,1009606,11.89,12.01,0.12,Milhões,ONDV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,32.006.821/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.14,0.00,23607,20726962,8.40,174.16,0.09,Milhões,ARRI11
OCTO FDO DE INV IMOB,44.680.435/0001-08,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo Misto,Indeterminado,Ativa,,0.00,452,422975,152.63,64.56,0.42,Milhões,OCRE11
OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.091.656/0001-50,Geral,Títulos e valores mobiliários,Híbrido,Fundo de Papel,Indeterminado,Ativa,1.05,0.00,26286,3252373,101.35,329.63,1.03,Milhões,OUJP11
PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.813.118/0001-22,Investidor Qualificado,Híbridos,Híbrido,Fundo de Desenvolvimento,Indeterminado,Ativa,1.00,8.40,16,897805,36.46,32.73,1.23,Milhões,PNPR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANORAMA DESENVOLVIMENTO LOGÍSTICO,37.899.400/0001-90,Investidor Qualificado,Híbridos,Outros,Fundo de Desenvolvimento,Determinado,Ativa,1.50,6.42,50,144321,1060.51,153.07,3.41,Milhões,PNDL11
Paramis Hedge Fund,51.868.778/0001-58,Geral,Títulos e valores mobiliários,Híbrido,Outro,Indeterminado,Ativa,,0.00,6665,14803231,9.37,138.66,0.12,Milhões,PMIS11
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.978.943/0001-72,Geral,Desenvolvimento para renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.2,0.00,451,13991879,55.50,776.57,0.48,Milhões,PQAG11
PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.754.164/0001-99,Geral,Desenvolvimento para renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.73,2.70,25535,4991524,96.90,483.66,0.70,Milhões,PATL11
PÁTRIA EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.048.651/0001-12,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.175,34.70,4776,3477423,41.08,142.87,0.05,Milhões,PATC11
CSHG IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.784.898/0001-22,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.80,0.00,14784,2863586,71.18,203.82,1.99,Milhões,HGFF11
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.072.017/0001-29,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.0,7.00,140623,11817756,147.73,1.75,1.50,Bilhão,HGRE11
Genial Malls Fundo de Investimento Imobiliário,26.499.833/0001-32,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.50,3.60,125904,13982082,122.62,1.71,0.86,Bilhão,PMLL11
CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.728.688/0001-47,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.60,2.40,525064,42404664,166.58,7.06,1.10,Bilhões,HGLG11
VECTIS RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.041.723/0001-53,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.80,20.50,3082,1999989,105.16,210.33,0.50,Milhões,VCRR11
CSHG PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.260.134/0001-68,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.625,0.00,9413,1753046,148.02,259.48,130.40,Milhões,HGPO11
PERFORMA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.736.510/0001-43,Investidor Qualificado,Títulos e valores mobiliários,Outros,Fundo de Papel,Indeterminado,Ativa,0.10,0.00,283,551989,58.35,32.21,0.70,Milhões,PEMA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PLURAL RECEBÍVEIS,32.527.683/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.20,0.00,14029,2109158,83.40,175.91,0.80,Milhões,PLCR11
CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.160.521/0001-22,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.80,0.00,99829,15418095,97.90,1.51,1.00,Bilhão,HGCR11
CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.641.226/0001-53,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,0.90,0.80,227759,23238013,129.41,3.01,1.45,Bilhões,HGRU11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,03.251.720/0001-18,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,5.0,11.00,678,749989,358.33,268.75,4.40,Milhões,FPAB11
PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.056.001/0001-62,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de Desenvolvimento,Determinado,Ativa,1.50,0.00,921,3231235,2.62,8.45,0.08,Milhões,PRSN11
POLO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS II,17.156.502/0001-09,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.90,0.00,46743,37283739,9.58,357.25,0.10,Milhões,PORD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - PRESIDENTE VARGAS,11.281.322/0001-72,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.375,100.00,794,256148,127.26,32.60,14.10,Milhões,PRSV11
Raizz Renda Logística,35.652.278/0001-28,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,0.20,0.00,432,4813161,166.30,800.42,1.23,Milhões,RZZR11
RB CAPITAL LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.227/0001-04,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.34,236,640188,65.68,42.05,0.13,Milhões,RBLG11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.161.410/0001-48,Geral,Desenvolvimento para venda,Outros,Fundo de Desenvolvimento,Determinado,Ativa,2.0,0.00,1570,1528604,90.59,138.48,0.82,Milhões,RBIR11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FUNDO DE INVESTIMENTO IMOBILIÁRIO,19.249.989/0001-08,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de Desenvolvimento,Determinado,Ativa,2.00,0.00,141,149000,886.53,132.10,3.02,Milhões,RSPD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB CAPITAL I FUNDO DE FUNDOS,34.027.774/0001-28,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.80,0.00,3278,767195,71.03,54.50,0.65,Milhões,RFOF11
RB CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.733/0001-60,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.0,0.00,1490,481746,92.32,44.48,2.34,Milhões,RRCI11
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.696.175/0001-97,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,R$17426.00 mensais,0.00,6038,927151,200.04,185.47,1.40,Milhões,FIIP11
RB CAPITAL TFO SITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.299.737/0001-39,Investidor Qualificado,Híbridos,Outros,Fundo de Desenvolvimento,Determinado,Ativa,0.12,0.00,122,56514,337.14,19.06,7.34,Milhões,RBTS11
RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.670/0001-41,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Determinado,Ativa,0.20,0.00,124,323189,98.59,31.86,0.42,Milhões,RCFF11
RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.006.914/0001-34,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,0.17,16.00,7428,1851775,65.03,120.41,0.66,Milhões,RBRD11
RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.529.279/0001-51,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.20,0.00,111829,136807689,8.57,1.17,0.12,Bilhão,RBRF11
RBR Premium Recebíveis Imobiliários,42.502.842/0001-91,Geral,Títulos e valores mobiliários,Híbrido,Fundo de Papel,Indeterminado,Ativa,1.60,0.00,4331,3471717,100.14,347.67,1.24,Milhões,RPRI11
REAG MULTI ATIVOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.374.696/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.30,15.90,1067,3141336,107.25,336.92,0.27,Milhões,RMAI11
RBR LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.463/0001-33,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.20,0.00,15563,6687024,106.74,713.74,0.75,Milhões,RBRL11
FII RBR MULT,41.088.458/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,,0.00,115803,146354291,9.91,1.45,0.09,Bilhão,RBRX11
REAL INVESTOR RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,60.801.196/0001-45,Geral,Híbridos,Híbrido,Fundo Misto,Indeterminado,Ativa,1.00,0.00,271,422133,101.85,42.99,1.20,Milhões,RCRI11
REC MASTER FUNDO DE CRI COTAS AMORTIZÁVEIS FII - RESPONSABILIDADE LIMITADA,58.366.499/0001-35,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.10,0.00,1,129989,5.90,767.41,0.09,Mil,RMBS11
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,17.329.029/0001-14,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.80,0.00,25103,18746064,12.96,242.92,0.20,Milhões,RBFF11
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.625.612/0001-45,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,1.00,0.00,4165,3927049,106.93,419.91,1.35,Milhões,RINV11
REC MULTIESTRATÉGIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,56.430.935/0001-62,Geral,Híbridos,Híbrido,Fundo de Papel,Indeterminado,Ativa,,0.00,840,8400506,9.80,82.30,0.11,Milhões,RECM11
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.647.758/0001-87,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,7868,2167946,86.51,187.56,0.80,Milhões,RBHG11
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.899.479/0001-50,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,3376,1893494,91.75,173.73,1.05,Milhões,RBHY11
RIO BRAVO RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.517.660/0001-91,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,1.0,27.67,903,764441,95.72,73.18,0.17,Milhões,RBRS11
RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS FII,13.500.306/0001-59,Geral,Renda,Outros,Outro,Indeterminado,Ativa,1.1,68.00,2716,101653,741.25,75.36,0.50,Milhões,RBOP11
RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.642.219/0001-31,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.20,0.00,45176,8807874,88.70,781.30,1.10,Milhões,RZAK11
