cotação,variação_12m,p_l,p_vp,dy,papel
1.64,19.61,0.55,0.27,0.00,vveo3
3.08,30.51,3.92,0.52,0.00,dasa3
11.52,88.90,20.96,1.82,0.94,alpa4
43.36,35.47,8.67,1.95,7.41,taee11
11.48,16.01,10.95,4.88,6.55,odpv3
11.15,52.32,21.15,1.86,2.17,bpan4
5.32,14.88,2.12,0.32,0.00,usim3
15.18,9.07,8.66,1.59,1.29,tten3
4.38,15.88,6.61,0.57,9.65,bmgb4
31.56,12.72,8.49,2.09,4.65,egie3
24.08,19.67,5.42,0.88,8.08,abcb4
5.17,76.66,6.78,1.10,8.37,syne3
10.87,39.16,12.22,0.97,1.08,guar3
4.86,12.69,6.67,1.12,6.97,shul4
5.51,53.06,15.58,1.08,4.92,pgmn3
1.07,8.55,10.71,0.72,0.00,enju3
1.19,7.03,2.34,0.38,0.00,meal3
7.18,31.22,4.94,0.90,6.35,sapr4
10.10,12.45,7.78,0.37,4.97,mypk3
5.73,18.24,12.20,0.58,3.84,caml3
8.62,30.92,5.03,1.37,8.65,rani3
2.93,44.19,12.33,0.44,0.00,jall3
25.10,22.96,19.75,2.92,2.46,fras3
33.71,27.96,9.55,1.23,2.85,alup11
20.32,39.84,4.75,2.23,24.41,vulc3
28.51,105.98,6.88,1.34,4.05,mdne3
26.69,109.70,15.38,1.99,6.44,bmob3
3.63,4.95,7.77,0.38,14.06,mtre3
8.62,24.78,11.57,0.84,1.72,soja3
62.60,69.24,26.93,1.48,6.18,elet6
4.57,43.89,5.17,0.49,4.43,tasa4
13.01,36.10,10.25,1.82,5.27,mils3
63.53,46.65,94.20,4.27,0.00,orvr3
0.85,99.66,0.02,0.00,0.00,pdgr3
36.78,49.20,9.05,1.84,7.65,itub3
8.16,31.83,9.10,0.82,9.32,even3
12.34,42.42,14.20,0.59,11.05,tupy3
6.98,6.20,11.55,0.73,16.08,fesa4
4.86,18.20,19.69,1.09,1.56,matd3
4.71,84.61,0.85,0.03,0.00,gfsa3
9.44,40.44,11.00,0.91,1.64,seer3
12.90,9.48,7.28,0.98,2.72,blau3
15.84,108.56,7.32,2.04,12.91,lavv3
8.27,42.57,7.01,1.91,3.00,wizc3
4.43,2.21,50.75,0.24,0.00,hbre3
6.23,82.48,9.02,1.38,3.32,csed3
5.60,45.56,10.30,1.59,4.83,fiqe3
15.45,6.21,40.29,1.47,0.33,prnr3
3.50,13.27,7.95,0.98,0.00,zamp3
7.53,27.63,25.76,1.59,0.00,opct3
6.56,5.14,19.24,0.99,6.89,jslg3
32.68,29.05,7.74,5.15,8.09,leve3
10.64,155.13,7.68,1.93,6.20,pine4
8.10,21.17,8.42,0.70,7.51,pfrm3
3.23,24.88,2.41,2.36,0.00,ptbl3
3.50,14.54,21.74,0.96,1.19,brst3
3.75,39.41,6.31,0.71,31.23,melk3
20.31,53.57,12.43,2.65,12.87,brbi11
0.55,84.64,0.03,0.06,0.00,seql3
3.57,14.43,11.90,2.15,5.62,klbn3
23.37,0.36,7.90,1.10,7.54,vlid3
5.94,7.94,5.65,1.52,21.14,pomo3
24.66,33.69,5.63,0.56,10.11,logg3
0.89,54.59,2.04,0.28,0.00,rnew4
1.10,18.52,35.81,0.47,0.15,espa3
7.41,38.36,5.07,0.92,5.60,sapr3
9.70,3.87,12.31,1.10,3.15,pnvl3
17.61,92.05,19.47,5.10,1.53,tfco4
13.54,69.73,3.87,0.64,0.16,vtru3
2.03,50.73,3.26,2.46,0.00,rcsl3
8.81,79.28,7.67,1.03,9.74,tris3
0.69,33.65,0.05,0.01,0.00,pmam3
19.67,13.46,84.62,0.95,3.92,agro3
25.69,16.33,12.89,1.05,2.85,mdia3
12.84,,1.50,0.23,0.00,amob3
