cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
57.25,17.38,0.73,9.58,M,-0.90,IRDM11
27.11,3.82,0.61,1.06,M,42.83,OULG11
8.72,13.02,0.87,68.23,K,19.62,PULV11
404.41,1.19,1.92,3.03,K,41.54,FPNG11
22.38,13.04,0.73,1.68,K,67.01,VPSI11
95.82,13.91,0.98,4.52,M,22.06,RBRY11
61.94,14.44,0.71,70.29,K,18.89,RELG11
69.59,19.26,0.69,284.30,K,-18.17,SMRE11
309.00,0.00,0.90,12.36,K,-28.92,ROOF11
95.43,13.15,0.99,3.04,M,22.68,RZTR11
65.00,8.97,0.57,6.20,K,14.18,FISC11
50.70,10.05,0.66,818.21,K,9.01,RBRP11
78.81,7.62,0.73,4.94,M,10.16,PVBI11
86.43,14.21,0.80,4.69,M,0.75,TGAR11
78.25,11.82,1.00,1.01,M,21.58,BARI11
108.40,8.62,0.92,4.63,M,19.02,LVBI11
88.98,13.31,0.96,781.82,K,12.90,VTLT11
74.24,9.59,0.64,139.09,K,19.34,VSHO11
4.19,0.00,0.65,10.83,K,97.64,FIVN11
145.92,0.00,2.26,527.28,K,0.00,TCIN11
115.64,0.00,1.04,19.74,K,12.32,GCDL11
60.65,16.90,0.71,168.92,K,9.93,GCRI11
44.87,20.82,0.50,760.21,K,23.07,GZIT11
683.00,0.00,1.12,694.18,K,-3.80,VXXV11
47.64,11.53,0.63,380.55,K,9.39,FIGS11
9.98,0.00,0.76,23.87,M,29.27,GSFI11
8.52,13.26,0.89,93.19,K,12.25,GAME11
65.51,7.80,0.60,149.05,K,23.37,GLOG11
75.02,9.78,0.71,74.29,K,5.87,ABCP11
9.90,12.07,0.88,9.38,M,10.99,GGRC11
77.19,12.57,0.81,90.79,K,23.84,HCHG11
70.42,18.01,0.74,1.21,M,9.79,HABT11
52.55,3.08,0.79,1.74,K,66.72,HAAA11
20.25,18.70,0.19,751.00,K,-12.60,HCTR11
9.09,11.16,0.96,6.19,M,13.63,GARE11
95.00,0.00,1.00,1.09,M,-4.04,HDOF11
85.98,13.49,0.78,10.11,K,-8.85,HDEL11
8.99,10.87,0.97,136.45,K,-2.18,HGBL11
29.40,0.00,0.51,1.23,M,20.20,HOFC11
51.40,4.90,0.67,20.57,K,3.86,ATSA11
20.96,8.68,1.03,22.66,K,23.00,FLRP11
9.10,8.20,0.83,122.87,K,19.89,HLOG11
20.01,9.40,0.92,2.38,M,9.82,HGBS11
8.28,12.50,0.95,314.29,K,14.52,HREC11
95.93,12.34,1.05,326.18,K,7.30,SEED11
89.24,7.50,0.96,7.77,M,8.45,HPDP11
66.51,14.48,0.61,5.12,K,-16.55,HGIC11
6.22,10.79,0.81,1.85,M,18.70,HFOF11
91.55,8.86,0.83,1.30,M,21.29,HSLG11
105.20,10.34,1.18,5.59,M,18.48,HSRE11
1230.57,8.50,0.98,7.84,K,9.43,HUSI11
77.56,14.83,0.88,363.93,K,17.44,HSAF11
87.31,9.39,0.84,3.33,M,13.30,HSML11
142.51,13.75,1.00,597.14,K,5.79,HTMX11
8.29,15.05,0.86,236.69,K,15.30,GRUL11
73.70,12.36,0.74,156.43,K,12.76,INLG11
64.61,13.70,0.96,43.27,K,4.56,ITIP11
73.40,10.16,0.62,27.18,K,18.77,INRD11
68.52,10.83,0.89,98.34,K,10.39,ITIT11
8.39,9.39,0.64,25.92,K,0.72,IBBP11
85.51,15.45,0.85,1.23,M,4.43,ICRI11
77.50,12.20,0.83,840.98,K,8.24,ITRI11
75.21,13.16,0.90,132.49,K,28.70,IRIM11
80.19,14.48,0.85,199.44,K,11.24,TMPS11
146.37,0.00,0.89,8.56,K,-4.66,VJFD11
14.88,1.06,1.92,62.38,K,109.28,JBFO11
152.60,3.16,0.82,82.14,K,-1.69,JCCJ11
7.35,14.61,0.82,2.27,M,1.24,JSAF11
67.73,9.54,0.63,25.39,K,11.34,JFLL11
104.31,7.55,0.92,22.14,K,9.45,JASC11
77.82,16.89,0.78,96.95,K,12.67,JPPA11
141.10,73.69,2.31,38.14,K,1791.42,JPPC11
7.92,14.45,0.85,293.98,K,7.90,JSCR11
8.45,14.34,0.90,586.19,K,5.76,KCRE11
61.40,18.43,0.72,254.29,K,-0.37,KIVO11
6.78,12.34,0.84,488.39,K,7.11,KISU11
64.53,8.88,0.64,1.88,M,18.23,JSRE11
92.17,12.42,0.92,3.29,M,21.56,KNHF11
98.37,14.59,1.00,3.33,M,10.52,KNHY11
0.30,1.51,0.47,3.31,K,400.00,KNRE11
88.82,11.99,0.97,10.34,M,10.89,KNIP11
68.86,21.82,0.65,2.39,M,-1.82,KORE11
147.39,8.13,0.90,5.23,M,19.48,KNRI11
105.97,13.26,1.04,14.11,M,17.41,KNCR11
103.56,14.67,1.02,4.21,M,16.86,KNUQ11
98.00,13.97,0.76,1.51,M,9.36,LASC11
8.64,13.19,0.99,4.92,M,16.76,KNSC11
260.88,0.00,0.72,346.02,K,-31.25,LPLP11
200.00,16.30,1.83,4.12,K,251.49,LRDI11
8.10,18.21,0.81,597.82,K,2.79,LIFE11
10.10,7.34,0.74,192.71,K,2.96,MCLO11
2.10,0.00,0.04,79.01,K,-1.87,LFTT11
147.00,0.00,0.96,55.53,K,-2.78,MMVE11
8.77,14.84,0.94,1.24,M,19.81,MANA11
8.66,15.01,0.86,3.52,M,24.25,MCRE11
61.30,5.63,1.69,121.63,K,-40.70,MCEM11
16.99,0.00,0.73,26.60,K,17.58,MGHT11
9.58,12.21,1.02,9.89,M,16.12,MXRF11
75.96,17.47,0.74,1.24,M,-4.55,MFII11
69.20,12.98,0.81,77.08,K,10.00,NAVT11
8.42,12.93,0.86,17.53,K,4.60,APTO11
8.34,14.90,0.84,4.08,K,16.32,NCRI11
101.98,1.43,1.22,394.79,K,33.57,NEWU11
107.47,10.61,0.83,292.33,K,13.31,NEWL11
87.00,9.09,0.57,9.55,K,-1.68,OCRE11
9.26,9.65,0.84,3.45,K,-4.63,ONDV11
6.60,16.29,0.79,230.29,K,-11.17,ARRI11
76.15,16.70,0.76,382.99,K,15.66,OUJP11
48.00,0.00,1.32,1.67,M,-14.97,PNPR11
7.75,14.43,0.83,229.75,K,6.46,PMIS11
1000.00,0.34,0.94,1.67,M,-15.75,PNDL11
55.16,10.19,1.00,4.52,K,5.55,PQAG11
100.98,10.02,0.82,3.83,M,12.70,PMLL11
59.71,15.88,0.84,551.19,K,-5.07,HGFF11
42.00,3.14,1.02,21.36,K,23.71,PATC11
60.95,11.43,0.63,511.42,K,46.37,PATL11
142.10,0.00,0.98,1.32,M,16.19,HGPO11
119.44,9.88,0.76,2.41,M,27.38,HGRE11
159.87,8.26,0.99,7.83,M,13.26,HGLG11
68.14,9.09,0.54,613.34,K,17.44,VCRR11
78.20,11.13,0.94,612.26,K,12.63,PLCR11
126.69,9.98,0.99,3.72,M,21.36,HGRU11
43.90,19.68,0.73,1.76,K,87.77,PEMA11
7.95,13.86,0.83,584.12,K,10.42,PORD11
92.21,13.39,0.95,2.47,M,9.24,HGCR11
9.44,14.43,0.64,1.08,K,28.96,PLRI11
32.08,0.00,0.24,1.46,K,-46.08,PRSV11
0.20,247.07,0.08,1.04,K,0.00,PRSN11
203.02,8.04,0.57,20.16,K,-4.58,FPAB11
135.00,10.51,0.81,21.19,K,6.69,RZZR11
53.25,8.75,0.81,2.68,K,-9.65,RBLG11
92.25,14.27,1.01,233.08,K,40.05,RBIR11
900.00,15.66,0.99,67.18,K,17.72,RSPD11
63.84,12.34,0.91,633.03,K,15.21,RFOF11
77.52,12.06,0.86,32.65,K,26.65,RRCI11
173.27,9.60,0.87,285.09,K,27.32,FIIP11
39.88,15.14,0.61,58.39,K,31.31,RBRD11
311.04,0.00,0.92,5.61,K,-51.09,RBTS11
94.00,9.41,0.91,14.41,K,45.17,RCFF11
6.53,12.43,0.76,2.63,M,14.16,RBRF11
84.73,14.65,0.86,411.23,K,13.28,RPRI11
84.95,10.60,0.81,748.37,K,28.71,RBRL11
7.64,13.54,0.80,1.82,M,7.30,RBRX11
51.00,11.88,0.47,44.62,K,-25.77,RMAI11
102.70,12.24,1.02,308.64,K,11.04,RINV11
98.48,4.37,1.00,126.90,K,1.57,RCRI11
