Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
13.33,-26.30,7.05,0.88,16.60,,RECV3
10.82,-25.11,4.67,0.91,5.04,,SBFG3
4.05,-38.30,196.41,0.36,6.68,,POSI3
17.01,-37.89,10.16,0.84,5.36,,SMTO3
39.35,64.53,10.46,3.13,9.56,,DIRR3
34.10,24.35,4.24,0.86,6.46,,SAPR11
22.28,73.61,14.63,2.53,0.76,,TEND3
37.51,24.95,8.10,1.94,7.34,,CPFE3
13.52,33.11,8.49,1.62,1.41,,TTEN3
30.17,50.22,12.20,7.77,5.00,,CURY3
10.81,3.42,5.76,0.42,10.12,,BRSR6
45.97,6.76,5.75,1.17,6.36,,ENGI11
39.86,-4.17,9.67,2.69,5.83,,EGIE3
13.91,13.38,6.95,0.63,8.25,,EZTC3
7.84,12.90,12.02,0.73,1.49,,GUAR3
4.86,-18.09,6.52,1.18,7.74,,SHUL4
1.08,-53.04,-0.24,0.19,0.00,,VVEO3
1.03,-46.91,-4.51,0.29,0.00,,MLAS3
12.42,12.83,12.20,5.03,7.24,,ODPV3
33.29,3.70,6.81,1.57,8.24,,TAEE11
3.91,49.81,13.99,0.82,6.50,,PGMN3
1.45,-44.44,-0.96,0.14,0.00,,DASA3
12.85,24.14,7.11,3.27,7.89,,PLPL3
7.90,7.36,4.90,1.33,8.48,,RANI3
40.72,2.05,9.69,0.77,4.71,,ELET6
3.25,-51.20,-22.17,0.49,0.00,,JALL3
31.89,34.91,8.23,1.71,8.58,,ITUB3
4.46,-49.22,7.63,0.45,6.50,,CAML3
23.25,30.13,19.15,2.95,2.60,,FRAS3
4.48,-21.68,9.75,0.23,0.00,,USIM3
8.60,3.86,30.04,1.45,1.24,,ALPA4
1.37,-8.05,-4.51,0.40,0.00,,MEAL3
1.00,-46.24,-9.73,0.65,0.00,,ENJU3
18.60,28.69,8.70,2.32,8.67,,VULC3
6.60,19.13,4.10,0.83,6.79,,SAPR4
3.68,5.00,6.56,0.39,13.23,,MTRE3
14.34,23.79,9.78,0.51,4.06,,MYPK3
6.35,-16.17,7.22,0.67,7.77,,FESA4
