Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO;22.219.335/0001-38;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,0;0,00;43.131;6.257.862;83,32;521,40;0,83;Milhões;BCRI11
BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;15.570.431/0001-60;Geral;Desenvolvimento para renda;Agências bancárias;Fundo de Tijolo;Indeterminado;Ativa;0,4;9,30;5.946;699.989;78,38;54,87;1,00;Milhões;BNFS11
BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;37.180.091/0001-02;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Passiva;0,50;0,00;6.958;4.003.889;72,59;290,64;0,73;Milhões;BBFO11
BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;54.375.187/0001-37;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;0,80;2,50;31.779;99.120.983;9,32;923,68;0,08;Milhões;BBIG11
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;07.000.400/0001-46;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;3;100,00;6.206;129.989;698,17;90,76;100,41;Milhões;BBFI11
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO;12.681.340/0001-04;Geral;Desenvolvimento para renda;Agências bancárias;Fundo de Tijolo;Indeterminado;Passiva;0,60;5,60;8.949;1.589.989;104,46;166,09;1,05;Milhões;BBRC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRASIL PLURAL ABSOLUTO;17.324.357/0001-28;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,4;0,00;20.320;4.492.315;69,94;314,20;0,70;Milhões;BPFF11
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA – FUNDO DE INVESTIMENTO IMOBILIÁRIO;20.216.935/0001-17;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,50;0,00;22.039;3.719.027;97,49;362,56;0,84;Milhões;BCIA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS;14.376.247/0001-11;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,20;0,00;1.285;998.394;105,80;105,63;0,69;Milhões;BMLC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO;21.126.204/0001-43;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Passiva;0,10;0,00;126;625.529;786,25;491,83;4,20;Milhões;BVAR11
BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.081.637/0001-71;fii.GENERAL;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;0,95;0,00;12.831;4.674.537;70,76;330,79;0,36;Milhões;BLMG11
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;13.584.584/0001-31;Geral;Títulos e valores mobiliários;Híbrido;Fundo misto;Indeterminado;Ativa;1,60;0,00;51;35.769.908;6,99;249,88;0,01;Milhões;CARE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I;30.567.216/0001-02;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,80;0,38;20.987;4.659.277;98,42;458,57;0,80;Milhões;FATN11
