Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
1.78,-4.01,58.81,0.39,0.30,,QUAL3
39.03,26.19,8.32,2.09,7.21,,CPFE3
0.97,-47.57,-6.89,0.27,0.00,,MLAS3
31.90,42.62,11.84,7.00,4.58,,CURY3
6.88,-10.79,10.75,1.49,3.19,,GMAT3
4.72,-27.16,-2.68,0.87,0.00,,ONCO3
5.90,-6.35,0.95,0.39,0.00,,LIGT3
22.05,-12.64,4.47,0.71,10.76,,ISAE4
52.65,67.97,10.91,2.35,4.54,,PSSA3
33.84,20.87,4.41,0.87,6.52,,SAPR11
16.64,-42.76,10.78,0.80,5.52,,SMTO3
13.26,-3.77,5.94,0.58,10.28,,EZTC3
4.26,-35.66,-775.44,0.38,6.41,,POSI3
14.12,12.72,7.19,1.57,1.35,,TTEN3
13.01,20.22,12.39,5.56,8.71,,ODPV3
12.98,18.55,7.42,2.91,7.95,,PLPL3
33.23,-1.37,6.39,1.50,8.99,,TAEE11
1.29,-61.61,-0.80,0.13,0.00,,DASA3
7.72,-27.85,14.35,1.30,3.10,,BPAN4
0.95,-52.97,-0.21,0.17,0.00,,VVEO3
21.47,-7.33,4.83,0.80,9.14,,ABCB4
3.54,2.31,6.79,0.46,11.32,,BMGB4
8.33,-4.23,10.10,0.75,1.44,,GUAR3
39.64,-10.13,10.75,2.63,5.89,,EGIE3
4.26,-32.49,9.27,0.22,0.00,,USIM3
9.29,11.66,24.42,1.54,1.15,,ALPA4
22.26,21.72,17.87,2.75,2.76,,FRAS3
6.65,49.81,8.62,0.98,49.72,,SYNE3
6.50,14.70,4.23,0.83,6.94,,SAPR4
1.30,-21.21,-2.83,0.40,0.00,,MEAL3
3.60,8.11,12.88,0.75,7.06,,PGMN3
13.56,20.85,7.57,0.48,4.39,,MYPK3
4.32,-52.52,7.40,0.43,6.83,,CAML3
4.67,-27.39,6.18,1.10,8.22,,SHUL4
7.43,0.14,4.61,1.25,9.93,,RANI3
0.99,-44.07,-9.68,0.66,0.00,,ENJU3
2.81,-58.98,-15.21,0.43,0.00,,JALL3
29.12,-1.11,9.25,1.12,3.10,,ALUP11
0.19,-99.16,-0.01,0.00,0.00,,PDGR3
10.10,-26.29,13.48,1.01,2.94,,SOJA3
3.39,-2.39,6.24,0.36,16.12,,MTRE3
4.58,-53.38,4.90,0.46,4.49,,TASA4
45.69,4.37,15.91,0.89,8.56,,ELET6
19.66,19.22,6.74,2.29,7.61,,VULC3
20.25,35.80,13.99,1.56,6.60,,BMOB3
12.06,8.23,9.37,1.85,4.13,,MILS3
6.08,-24.72,7.88,0.64,8.22,,FESA4
23.60,71.80,6.17,1.19,5.48,,MDNE3
32.70,21.16,8.23,1.69,9.51,,ITUB3
4.72,3.41,13.90,1.24,1.60,,MATD3
13.23,-77.50,0.92,0.04,0.00,,GFSA3
13.36,-51.93,-51.64,0.61,9.73,,TUPY3
7.09,6.30,-67.28,0.75,5.70,,EVEN3
4.46,26.13,8.07,1.05,8.80,,CSED3
12.44,57.85,6.02,1.59,8.79,,LAVV3
4.12,5.49,8.37,1.18,6.63,,FIQE3
7.98,34.69,6.91,1.99,3.17,,WIZC3
8.47,38.89,11.79,0.83,1.83,,SEER3
51.94,9.16,54.94,3.07,0.00,,ORVR3
6.30,43.76,4.83,1.21,8.44,,PINE4
12.04,-5.97,7.64,0.95,2.82,,BLAU3
5.15,-42.12,12.31,0.81,8.21,,JSLG3
3.72,-25.15,-3.57,2.11,0.00,,PTBL3
6.45,0.78,-151.54,1.41,0.00,,OPCT3
3.63,-31.25,17.14,0.19,0.00,,HBRE3
15.04,22.55,30.34,2.06,0.34,,PRNR3
3.61,43.29,5.58,0.70,32.44,,MELK3
3.49,0.00,-5.08,0.65,0.00,,ZAMP3
26.76,-6.67,6.74,4.91,9.80,,LEVE3
9.80,-7.14,12.55,1.19,3.74,,PNVL3
7.66,25.57,8.04,0.71,7.41,,PFRM3
15.35,15.55,8.93,2.00,13.61,,BRBI11
2.82,-22.68,26.34,0.80,1.45,,BRST3
0.97,-84.80,-0.03,-0.05,0.00,,SEQL3
1.01,-1.74,37.97,0.42,0.16,,ESPA3
6.46,33.96,6.03,0.79,4.70,,TRIS3
20.44,-6.39,4.86,0.48,10.75,,LOGG3
7.00,41.38,6.58,1.90,8.20,,POMO3
20.66,2.06,6.02,0.97,11.07,,VLID3
3.68,-14.00,10.88,2.23,5.95,,KLBN3
1.63,-47.76,-2.44,-2.19,0.00,,RCSL3
1.01,-47.40,-2.97,0.29,0.00,,RNEW4
10.17,-5.57,3.45,0.50,0.21,,VTRU3
1.38,-33.65,-0.07,-0.02,0.00,,PMAM3
28.89,4.15,16.69,1.20,2.01,,MDIA3
7.69,45.72,5.01,0.99,5.32,,SAPR3
20.54,-16.28,6.81,0.97,7.66,,AGRO3
15.49,25.26,109.71,28.69,1.55,,TFCO4
4.72,-20.06,10.24,1.18,6.46,,VITT3
10.96,-,-3.25,0.19,0.00,,AMOB3
7.52,-27.61,7.67,0.57,10.76,,ROMI3
4.15,-55.33,-0.22,-4.06,0.00,,AERI3
1.18,-3.28,-9.94,2.09,0.00,,AMAR3
8.58,-3.05,5.68,0.92,6.20,,DEXP3
58.79,30.51,8.36,2.37,15.18,,UNIP6
7.99,-49.68,11.33,0.67,0.46,,DESK3
1.56,-23.90,-0.70,0.36,0.00,,TCSA3
14.78,19.77,6.50,1.49,13.07,,CMIG3
11.13,-1.17,6.42,1.51,8.90,,TAEE4
10.36,6.91,7.34,1.27,10.10,,ITSA3
4.10,-31.64,5.42,0.31,2.08,,ETER3
9.22,-21.32,5.60,1.27,10.32,,CAMB3
3.03,-19.84,-45.29,1.87,0.00,,ALPK3
1.44,-13.69,7.41,0.88,5.13,,LPSB3
14.61,-8.27,5.31,0.65,12.57,,BRAP3
13.85,-10.42,8.42,0.85,6.68,,SANB4
4.60,18.70,7.40,3.10,17.40,,WHRL4
2.64,-5.31,10.52,0.77,3.64,,IGTI3
3.37,60.48,8.33,4.34,0.00,,FICT3
12.56,-9.12,7.63,0.77,6.63,,SANB3
17.08,13.51,6.11,0.58,4.28,,EUCA4
3.81,-18.94,14.56,0.66,0.00,,REAG3
0.99,-50.50,-2.91,0.28,0.00,,RNEW3
11.00,-1.49,6.35,1.49,9.02,,TAEE3
13.38,61.63,-87.09,20.44,0.00,,AMBP3
2.92,5.80,-0.12,-0.03,0.00,,RPMG3
1.00,-46.52,-4.47,0.67,0.00,,PDTC3
11.00,-12.94,2.85,0.74,5.95,,EALT4
8.57,-51.93,-1.18,-1.80,0.00,,BRKM3
9.01,-10.88,7.96,0.46,3.76,,GOAU3
14.52,-5.20,9.01,0.54,4.31,,GGBR3
1.38,-36.11,4.93,380.83,0.00,,BOBR4
4.49,-40.29,11.69,0.25,0.00,,DMVF3
25.96,-13.47,-7.73,0.54,0.00,,NGRD3
5.34,-46.01,5.71,0.53,3.77,,TASA3
6.60,10.37,6.77,1.01,3.71,,TECN3
5.55,-61.72,-7.59,0.62,0.00,,AALR3
31.35,5.51,9.63,0.71,4.45,,COCE5
17.88,2.08,8.07,1.52,6.26,,CSUD3
1.21,-20.92,-1.48,0.44,0.00,,LUPA3
13.25,-14.10,8.88,1.66,4.37,,ENGI3
1.31,-37.94,-71.96,0.47,13.86,,UCAS3
10.06,-15.51,59.33,1.32,0.72,,LAND3
3.93,-5.30,-0.33,-0.19,0.00,,FHER3
