Cotação,DY,P/VP,Liquidez Diária,Liquidez Unidade,VARIAÇÃO,Papel,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Valor Patrimonial Unidade
76.56,11.76,0.86,702.40,K,-3.46,KFOF11,FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,30091444/0001-40,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,0.92,0.00,28799,7014554,88.65,621.82,0.75,Milhões
143.49,13.60,0.65,53.84,K,8.05,FAED11,FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII ANHANGUERA EDUCACIONAL,11179118/0001-45,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Passiva,0.3,0.00,4163,692366,221.95,153.67,1.66,Milhões
84.87,13.95,0.92,1.63,M,4.12,CVBI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI,28729197/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.90,0.00,84167,11010217,92.62,1.02,1.05,Bilhão
6.07,13.34,0.73,62.91,K,-7.21,DVFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVANT FOF IMOBILIÁRIOS,39863059/0001-49,Geral,Títulos e valores mobiliários,Híbrido,Fundo de fundos,Indeterminado,Ativa,0.15,0.00,1883,11009489,8.34,91.87,0.07,Milhões
710.00,147.47,0.39,17.22,K,-8.37,FAMB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - EDIFÍCIO ALMIRANTE BARROSO,05562312/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,2.50,89.31,2083,122527,1835.13,224.87,45.43,Milhões
125.50,8.35,1.02,213.34,K,17.65,FCFL11,FUNDO DE INVESTIMENTO IMOBILIÁRIO – CAMPUS FARIA LIMA,11602654/0001-01,Geral,Renda,Educacional,Fundo de Tijolo,Indeterminado,Passiva,0.30,0.00,3054,3473999,123.20,428.02,0.89,Milhões
7.94,15.23,0.81,193.86,K,-0.63,FYTO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,18085673/0001-57,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,10863,15281377,9.78,149.49,0.10,Milhões
179.18,10.48,0.85,185.27,K,9.74,NSLU11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL NOSSA SENHORA DE LOURDES,08014513/0001-63,Geral,Renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,2.50,0.00,5422,1293275,210.24,271.90,1.66,Milhões
259.99,12.32,0.80,32.30,K,3.78,HCRI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL DA CRIANÇA,04066582/0001-60,Geral,Renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,2.0,0.00,2991,199989,325.88,65.18,2.73,Milhões
63.41,19.98,0.62,59.67,K,5.52,MAXR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - MAX RETAIL,11274415/0001-70,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.15,26.00,4379,1125644,102.83,115.76,0.52,Milhões
42.79,12.89,0.59,22.91,K,10.51,CEOC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - CYRELA COMMERCIAL PROPERTIES,15799397/0001-09,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.20,0.00,4030,1815685,72.71,132.03,0.47,Milhões
2.439.99,9.64,0.73,209.62,K,42.40,PQDP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - PARQUE DOM PEDRO SHOPPING CENTER,10869155/0001-12,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.23,2.10,3300,100550,3327.70,334.64,18.33,Milhões
14.70,5.68,0.31,43.38,K,-19.19,EDGA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - EDIFÍCIO GALERIA,15333306/0001-37,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.20,23.55,3989,3812044,46.71,178.07,0.08,Milhões
81.83,14.72,0.93,2.80,M,12.30,RECR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS,28152272/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,171676,26441639,88.20,2.33,0.95,Bilhões
30.85,14.04,0.34,275.27,K,2.76,RECT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA,32274163/0001-59,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,0.17,9.80,52764,8543482,90.96,777.13,0.37,Milhões
86.45,12.40,0.95,2.95,M,7.78,RBRR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR RENDIMENTO HIGH GRADE,29467977/0001-03,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.15,0.00,126279,15057190,91.47,1.38,0.95,Bilhão
650.00,54.08,0.82,5.99,K,0.85,RBRI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR DESENVOLVIMENTO III,32441656/0001-36,Investidor Qualificado,Renda,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,0.20,0.00,122,139654,794.38,110.95,13.00,Milhões
39.65,13.27,0.62,28.48,K,10.69,CXCE11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,10991914/0001-15,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,5.0,0.00,3082,1712939,63.46,108.70,0.46,Milhões
64.77,14.13,0.78,488.54,K,-10.22,CXCI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA,42066916/0001-94,Geral,Títulos e valores mobiliários,Fundo de Fundos,Fundo de fundos,Indeterminado,Ativa,,0.00,5434,2057715,83.34,171.50,0.75,Milhões
73.14,12.11,0.63,158.24,K,7.35,CXAG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,40189596/0001-34,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,0.58,0.00,11874,2090610,115.83,242.16,0.70,Milhões
290.00,7.02,0.00,5.04,K,44.49,CXTL11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA,12887506/0001-43,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,0.41,0.00,628,53586,402503.68,21.57,0.29,Bilhões
97.00,0.00,0.55,22.93,K,-10.98,TRNT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE NORTE,04722883/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,1.50,31.90,530,3935551,177.36,698.00,0.07,Milhões
11.82,9.43,0.71,2.00,K,2.69,NVHO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - NOVO HORIZONTE,17025970/0001-44,Investidor Qualificado,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Ativa,0.10,0.00,1820,41494522,16.61,689.43,0.09,Milhões
76.15,13.07,0.76,800.25,K,6.53,GTWR11,FUNDO DE INVESTIMENTO IMOBILIARIO GREEN TOWERS,23740527/0001-58,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.25,0.00,35634,11999989,99.78,1.20,0.90,Bilhão
119.00,13.05,0.57,3.39,K,-25.62,EDFO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OUROINVEST,06175262/0001-73,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.30,28.27,479,235989,210.53,49.69,1.23,Milhões
130.00,16.05,1.05,3.50,M,12.52,HBCR11,HBC RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36501159/0001-37,Geral,Desenvolvimento para renda,Lajes Corporativas,Fundo misto,Indeterminado,Ativa,0.18,0.00,32,1599989,124.37,199.00,0.57,Milhões
1.081.93,0.00,0.99,257.33,K,8.49,LKDV11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1,40102445/0001-05,Investidor Qualificado,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.00,96,66800,1091.85,72.95, 0.00,Milhões
61.39,15.46,0.76,4.61,M,-0.87,IRDM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,28830325/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.17,0.00,272429,36433816,81.21,2.96,0.78,Bilhões
92.95,11.40,0.62,5.03,K,-4.82,HUSC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED SUL CAPIXABA,28851767/0001-43,Geral,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,0.35,0.00,747,850810,149.08,126.84,0.86,Milhões
509.83,8.91,1.07,162.70,K,10.36,FIIB11,FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL,14217108/0001-45,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,3,1.05,15320,684989,475.49,325.71,3.58,Milhões
84.49,8.98,0.93,5.52,K,-5.07,HOSI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI,34081631/0001-02,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.30,9.60,1152,573439,90.37,51.82,0.65,Milhões
85.01,12.23,0.91,3.23,M,7.28,MCCI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS,23648935/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,108378,16960013,93.12,1.58,1.00,Bilhão
36.99,2.78,0.60,1.35,M,25.11,OULG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,13974819/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.00,3450,2481272,61.67,153.01,0.02,Milhões
413.70,1.17,1.98,2.36,K,109.96,FPNG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,17161979/0001-82,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,2,2.10,147,3043436,208.77,635.40,4.83,Milhões
24.27,11.94,0.79,1.67,K,150.46,VPSI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA,14721889/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.15,0.00,118,8071886,30.72,248.01,0.27,Milhões
8.48,13.34,0.85,16.26,K,-1.97,PULV11,FUNDO DE INV IMOB RBR CRÉD PULVERIZADO RESP LTDA,53018363/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.00,929,12000229,9.94,119.28,0.10,Milhões
92.12,13.40,0.94,1.99,M,9.86,RBRY11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PRIVATE CRÉDITO IMOBILIÁRIO,30166700/0001-11,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,60354,12769501,97.74,1.25,1.18,Bilhão
66.20,10.32,0.79,520.52,K,16.50,RELG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA,37112770/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.175,3.00,4187,1334551,84.06,112.19,0.80,Milhões
49.89,11.02,0.65,1.25,M,-4.32,RBRP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PROPERTIES,21408063/0001-51,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.12,6.63,62736,12179175,76.53,932.08,0.40,Milhões
89.52,13.68,0.93,2.39,M,9.41,RZTR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,36501128/0001-86,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,1.25,0.00,143075,18851709,96.61,1.82,1.00,Bilhão
386.40,0.00,0.94,12.37,K,-31.90,ROOF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I,38456598/0001-09,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,0.30,0.00,75,77484,412.38,31.96,41.72,Milhões
79.51,15.61,0.78,317.22,K,-8.59,SMRE11,FUNDO DE INVESTIMENTO IMOBILIÁRIO SMART REAL ESTATE – FII RESPONSABILIDADE LIMITADA,53730029/0001-95,Investidor Qualificado,Híbridos,Outros,Outro,Indeterminado,Ativa,0.22,0.00,1417,1044484,101.31,105.82,1.01,Milhões
74.99,7.84,0.66,6.88,K,34.75,FISC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,12804013/0001-00,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,3.6,7.10,215,1699985,113.79,193.44,0.50,Milhões
83.78,15.11,0.76,4.34,M,-17.99,TGAR11,FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL,25032881/0001-53,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,1.50,0.00,155950,23567957,110.24,2.60,1.00,Bilhões
102.18,9.42,0.87,2.59,M,0.63,LVBI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO,30629603/0001-18,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.30,10.70,132361,16118554,117.65,1.90,0.75,Bilhão
3.62,0.00,0.62,20.10,K,27.46,FIVN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA,17854016/0001-64,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,,56.00,3972,9412619,5.89,55.40, 0.00,Milhões
73.50,11.16,0.64,37.21,K,12.20,VSHO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,23740595/0001-17,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.75,5.10,3197,2098789,115.50,242.41,0.46,Milhões
79.20,13.59,0.89,1.01,M,12.85,BARI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I,29267567/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.305,0.00,31739,4634180,88.53,410.28,0.95,Milhões
75.00,8.53,0.70,3.03,M,-12.10,PVBI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES,35652102/0001-76,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.0,20.90,160154,27130056,107.82,2.93,0.50,Bilhões
145.92,0.00,2.26,433.69,K,0.00,TCIN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET V - ED CIDADE NOVA,34197700/0001-30,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.25,0.00,105,849649,64.46,54.77, 0.00,Milhões
112.81,0.00,1.19,16.40,K,11.64,GCDL11,Galapagos Desenvolvimento Logistico Fundo de Investimento Imobiliario Responsabilidade Limitada,56061587/0001-01,Geral,Renda,Logístico / Indústria / Galpões,Outro,Determinado,Ativa,,0.00,2157,256202,94.97,24.33, 0.00,Milhões
62.77,16.57,0.69,166.43,K,3.52,GCRI11,GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,38293897/0001-61,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,4425,1453848,90.35,131.35,0.85,Milhões
43.94,5.33,0.48,467.41,K,-23.46,GZIT11,GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15447108/0001-02,fiiQUALIFIED_INVESTOR,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,,6.50,7209,21841220,90.62,1.98,0.78,Bilhão
9.13,0.00,0.70,1.59,M,16.60,GSFI11,GENERAL SHOP E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO,11769604/0001-13,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,1.05,10.40,6484,96106655,13.06,1.26, 0.00,Bilhão
46.99,11.36,0.62,171.91,K,-3.22,FIGS11,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17590518/0001-25,Geral,Desenvolvimento para venda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.20,7.70,12161,2849989,76.26,217.35,0.48,Milhões
63.90,8.40,0.59,62.00,K,12.52,GLOG11,PLURAL LOGÍSTICA FDO INV IMOB,36501198/0001-34,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.7,28.00,2027,749989,108.64,81.48,0.41,Milhões
9.58,12.38,0.86,4.44,M,-0.42,GGRC11,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26614291/0001-00,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.10,1.40,178717,152455655,11.18,1.71,0.10,Bilhão
700.00,0.00,1.14,2.05,M,4.01,VXXV11,VX XVI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30982974/0001-89,Investidor Qualificado,Renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,0.35,0.00,13,276435,613.88,169.70,93.02,Milhões
85.98,13.42,0.83,76.22,K,1.31,VTLT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,27368600/0001-63,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,5747,2114989,103.86,219.66,1.03,Milhões
8.43,13.23,0.91,81.35,K,4.85,GAME11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA I,41269052/0001-45,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,1.10,0.00,21859,21697666,9.31,201.97,0.10,Milhões
9.08,11.39,1.01,9.01,M,12.25,GARE11,FUND DE INVEST IMOBILIÁRIO GUARDIAN REAL ESTATE,37295919/0001-60,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.94,0.00,390197,147458212,8.99,1.33,0.08,Bilhão
85.20,9.12,0.80,99.27,K,31.24,ABCP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01201140/0001-90,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.1,2.40,14879,4709071,106.95,503.64,0.50,Milhões
78.88,15.97,0.84,789.74,K,3.79,HABT11,HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30578417/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,62120,8126772,94.20,765.54,1.05,Milhões
8.50,14.31,0.89,32.89,K,-5.36,HGBL11,HEDGE BRASIL LOGÍSTICO IND FUND INV IMOB RESP LIM,53466467/0001-98,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.00,4740,25135494,9.57,240.47,0.07,Milhões
75.02,13.55,0.80,230.50,K,22.76,HCHG11,HECTARE RECEBÍVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34508959/0001-54,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,0.20,0.00,588,1199989,94.29,113.15,0.71,Milhões
48.60,3.33,0.73,11.93,K,47.90,HAAA11,HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27445482/0001-40,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.60,17.00,220,3454989,66.49,229.71,0.08,Milhões
85.98,13.49,0.83,10.09,K,-12.14,HDEL11,HEDGE DESENVOLVIMENTO LOGÍSTICO FII,44514162/0001-13,Investidor Qualificado,Desenvolvimento para venda,Logístico / Indústria / Galpões,Fundo de Tijolo,Determinado,Passiva,,0.00,103,839989,103.79,87.18,11.60,Milhões
18.97,10.07,0.88,2.06,M,-0.68,HGBS11,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08431747/0001-06,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.60,4.80,131721,129132999,21.61,2.79,0.15,Bilhões
22.28,18.20,0.21,800.35,K,-9.83,HCTR11,HECTARE CE - FUNDOS INVESTIMENTO IMOBILIÁRIOS,30248180/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.21,0.00,140604,22084191,104.49,2.31,0.30,Bilhões
3.00,0.00,0.43,1.61,K,-0.33,HRDF11,HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO,16929519/0001-99,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,0.75,0.00,905,1517414,7.05,10.70,34.00,Milhões
8.17,12.55,0.93,208.62,K,5.85,HREC11,HEDGE RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35507262/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.70,0.00,2625,51685906,8.77,453.52,0.09,Milhões
99.20,12.12,1.11,326.18,K,18.46,SEED11,HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO,35689497/0001-81,Investidor Qualificado,Híbridos,Híbrido,Outro,Determinado,Ativa,,0.00,126,1639989,89.08,146.09,0.86,Milhões
5.90,11.61,0.80,1.75,M,-4.53,HFOF11,HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18307582/0001-19,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,0.60,0.00,74817,230459989,7.37,1.70,0.06,Bilhão
89.17,7.40,0.96,301.31,K,8.01,HPDP11,HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35586415/0001-73,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.50,2.90,361,3287989,92.66,304.67,0.56,Milhões
8.22,8.03,0.74,52.83,K,6.75,HLOG11,HEDGE LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27486542/0001-72,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.7,0.00,3715,42499989,11.04,469.33,0.07,Milhões
20.19,8.82,0.99,18.72,K,9.49,FLRP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FLORIPA SHOPPING,10375382/0001-91,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,9.0,1.20,1383,7399989,20.32,150.34,0.14,Milhões
68.30,15.36,0.62,19.44,K,-16.89,HGIC11,HGI CRÉDITOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38456508/0001-71,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.75,0.00,607,462695,110.91,51.32,0.80,Milhões
139.30,15.84,0.96,414.62,K,-13.98,HTMX11,FUNDOS INVESTIMENTO IMOBILÍARIOS FII HOTEL MAXINVEST,08706065/0001-69,Geral,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,0.50,32.00,37023,2888083,144.46,417.22,1.22,Milhões
79.89,10.34,0.72,421.61,K,3.25,HSLG11,HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32903621/0001-71,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,41235,12660056,110.44,1.40,0.66,Bilhão
80.51,10.63,0.77,2.62,M,-6.33,HSML11,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32892018/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,1.20,4.30,186022,20808561,104.63,2.18,0.66,Bilhões
97.87,11.30,1.09,219.96,K,7.29,HSRE11,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08098114/0001-28,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,0.90,4.20,359,8898713,89.91,800.09,0.85,Milhões
28.59,0.00,0.44,413.19,K,-5.19,HOFC11,HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO,31894369/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.80,49.00,5240,3778990,65.53,247.63,0.21,Milhões
100.00,0.00,1.05,783.47,K,4.17,HDOF11,HEDGE DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35688460/0001-39,Investidor Qualificado,Desenvolvimento para venda,Lajes Corporativas,Fundo de desenvolvimento,Determinado,Ativa,0.85,0.00,113,3369989,95.51,321.87, 0.00,Milhões
1.241.00,8.22,1.00,8.50,K,10.97,HUSI11,HUSI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30017492/0001-99,Geral,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Ativa,0.30,0.00,95,116351,1247.13,145.12,8.31,Milhões
77.85,14.19,0.88,241.46,K,6.61,HSAF11,HSI ATIVOS FINANCEIROS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35360687/0001-50,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,8909,2526349,88.51,223.61,0.95,Milhões
7.99,13.89,0.83,312.10,K,-1.45,GRUL11,Icatu Vanguarda GRU Logístico,54483412/0001-59,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.00,5203,24699989,9.59,236.84,0.11,Milhões
69.00,10.59,0.58,25.24,K,5.13,INRD11,Inter Residence,34835191/0001-23,Geral,Renda,Residencial,Fundo de desenvolvimento,Indeterminado,Ativa,0.76,5.90,7094,1130695,118.53,134.03,0.63,Milhões
72.47,12.75,0.72,142.48,K,-3.31,INLG11,INTER LOGÍSTICO  FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,34598181/0001-11,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.31,0.30,17651,4512092,100.26,452.38,0.77,Milhões
