Cotação,DY,P/VP,Liquidez Diária,Liquidez Unidade,VARIAÇÃO,Papel,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Valor Patrimonial Unidade
54.11,14.05,0.77,287.51,K,-10.44,BPFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRASIL PLURAL ABSOLUTO,17324357/0001-28,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,0.4,0.00,20320,4492315,69.94,314.20,0.70,Milhões
1.15,0.00,0.16,8.13,K,-28.13,CARE11,BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,13584584/0001-31,Geral,Títulos e valores mobiliários,Híbrido,Fundo misto,Indeterminado,Ativa,1.60,0.00,51,35769908,6.99,249.88,0.01,Milhões
1.174.71,5.65,1.49,3.23,K,-9.71,BVAR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO,21126204/0001-43,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Passiva,0.10,0.00,126,625529,786.25,491.83,4.20,Milhões
82.25,11.98,0.84,1.28,M,1.97,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30567216/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.80,0.38,20987,4659277,98.42,458.57,0.80,Milhões
31.49,12.58,0.45,303.71,K,-6.17,BLMG11,BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34081637/0001-71,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,12831,4674537,70.76,330.79,0.36,Milhões
109.81,9.67,0.93,2.16,M,5.41,BRCO11,BRESCO LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20748515/0001-81,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.0975,4.50,121549,15905122,117.82,1.87,0.87,Bilhão
6.99,15.25,0.83,41.69,K,12.38,BIME11,BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41081356/0001-84,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,1.50,0.00,8478,5845591,8.43,49.27,0.09,Milhões
900.00,7.20,0.84,835.92,K,3.83,BICE11,BRIO CRÉDITO ESTRUTURADO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,39332032/0001-20,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Determinado,Ativa,1.25,0.00,114,133403,1065.42,142.14,4.66,Milhões
502.50,43.80,1.36,12.45,K,1.45,BRIM11,BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,23964843/0001-03,Geral,Híbridos,Outros,Fundo de desenvolvimento,Determinado,Ativa,1.5,0.00,680,124126,369.80,45.91,80.56,Milhões
710.50,41.71,1.11,6.41,K,26.64,BRIP11,BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34895752/0001-80,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,2.0,0.00,430,215464,640.27,137.96,11.77,Milhões
54.30,11.73,0.50,437.98,K,28.96,BROF11,BRPR CORPORATE OFFICES FDO DE INV IMOB,48978859/0001-04,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,8.80,9996,11610801,108.20,1.26,0.42,Bilhão
57.20,0.00,1.10,63.21,K,-0.12,LLAO11,BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41218404/0001-33,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo misto,Indeterminado,Ativa,2.00,0.00,73,361129,52.04,18.79,1.70,Milhões
76.05,13.57,0.68,538.94,K,10.75,BTAL11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA,36642244/0001-15,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,1.10,0.00,39259,5982725,112.52,673.18,0.90,Milhões
9.19,12.29,0.91,1.81,M,4.55,BTCI11,BTG Pactual Fundo de CRI,09552812/0001-14,fiiGENERAL,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.95,0.00,192178,99521161,10.15,1.01,0.10,Bilhão
53.97,8.80,0.49,89.40,K,24.13,BTRA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS,41076607/0001-32,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,1.22,0.00,12556,3364548,110.94,373.25,0.30,Milhões
77.83,20.01,0.62,776.07,K,9.54,BPML11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33046142/0001-49,Investidor Qualificado,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,1.0,7.40,5830,7441734,126.21,939.19,0.92,Milhões
40.52,13.72,0.48,786.93,K,-8.70,BRCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CORPORATE OFFICE,08924783/0001-01,fiiGENERAL,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.25,12.10,123212,26638191,85.00,2.26,0.41,Bilhões
98.76,9.57,0.95,6.37,M,6.67,BTLG11,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11839593/0001-09,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.9,1.00,396295,44473964,103.71,4.61,0.78,Bilhões
41.52,10.86,0.60,38.92,K,14.00,BTHI11,BTG PACTUAL HOTÉIS FII,18308516/0001-63,Geral,Híbridos,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,095,45.50,1415,9218501,68.73,633.63,0.41,Milhões
151.45,7.56,1.00,1.53,K,3.05,BTSG11,BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO,36098375/0001-83,Geral,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.20,0.00,102,775004,152.09,117.87,1.00,Milhões
8.15,10.35,0.82,6.64,M,6.27,BTHF11,BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA,45188176/0001-57,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.00,340382,205846929,9.89,2.04,0.09,Bilhões
101.32,7.13,0.86,123.33,K,-12.36,BTWR11,BTOWERS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20132453/0001-89,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de desenvolvimento,Indeterminado,Passiva,0.80,6.00,135,809258,118.44,95.85,0.60,Milhões
109.59,2.05,0.94,2.71,K,-4.70,BTSI11,BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,36930464/0001-44,Geral,Desenvolvimento para renda,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,,0.00,194,5775324,116.98,675.58,0.79,Milhões
57.11,14.26,0.59,196.90,K,-8.91,CXCO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS,38658984/0001-75,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.25,0.00,12509,3924489,96.09,377.11,0.66,Milhões
60.50,11.70,0.76,17.64,K,-14.94,CXRI11,CAIXA RIO BRAVO FUNDO DE INVESTIMENTO IMOBILIÁRIO,17098794/0001-70,Geral,Híbridos,Híbrido,Fundo de fundos,Indeterminado,Ativa,1.20,0.00,1797,1575749,80.07,126.17,0.59,Milhões
8.63,11.38,0.83,199.00,K,-8.29,CCME11,CANUMA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,43010844/0001-26,Geral,Híbridos,Outros,Fundo misto,Indeterminado,Ativa,Taxa de gestão 1.20,2.90,8260,67797042,10.34,700.81,0.08,Milhões
9.40,12.98,0.80,1.35,M,2.07,CPSH11,SHOPPINGS AAA FDO DE INV IMOB,47896665/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.90,22111,79699807,11.71,933.38,0.10,Milhões
110.00,7.91,1.01,2.79,M,9.88,CPOF11,CAPITÂNIA OFFICE FII - FDO DE INV IMOB,48916699/0001-60,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,3.00,121,4772394,108.66,518.55,0.75,Milhões
11.80,6.85,1.22,14.84,M,19.80,CPLG11,CAPITÂNIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,52371756/0001-40,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,,0.00,392,34345209,9.68,332.39,0.03,Milhões
7.33,12.93,0.83,6.07,M,1.80,CPTS11,CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,18979895/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.05,0.00,356068,328558318,8.87,2.91,0.09,Bilhões
10.28,10.93,1.07,3.67,M,14.99,CPUR11,Classe Única do Capitânia HBC Renda Urbana,34691520/0001-00,fiiGENERAL,Renda,Híbrido,Outro,Indeterminado,Ativa,1.00,2.20,1309,62371124,9.59,598.34,0.05,Milhões
75.27,9.75,0.93,23.10,K,7.98,CRFF11,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31887401/0001-39,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,1.15,0.00,1245,690029,80.82,55.77,0.61,Milhões
