Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
BRCO11,Logística,110.01,7.48,9.57,0.93,1749720000,3523150,12,3461.84,30612.0,8.84,4.41
BRCR11,Híbrido,42.56,11.53,13.12,0.5,1133720000,1291850,6,10239.60,1541.49,15.05,1.17
BREV11,Híbrido,105.0,6.59,0.0,0.0,101556000,0,13,000,1437.55,0.0,0.0
BRIM11,Residencial,554.29,-2.19,18.37,1.49,68807900,18843,1,165302.00,0.0,0.0,0.0
BRIP11,Híbrido,698.5,-4.89,34.51,1.15,150509000,34337,0,000,0.0,0.0,0.0
BRLA11,Outros,148.0,7.73,5.33,0.89,724795000,0,10,1083.60,8630.0,7.96,0.0
BROF11,Híbrido,52.88,11.04,11.9,0.49,613980000,503082,2,6600.81,1004.25,15.21,5.24
BTAL11,Outros,81.05,19.53,12.5,0.73,484901000,509221,9,1400.49,17963.0,12.83,0.0
BTCI11,Títulos e Val. Mob.,9.13,12.08,12.17,0.9,908628000,1801420,0,000,0.0,0.0,0.0
BTCR11,Títulos e Val. Mob.,88.0,12.48,0.0,0.92,423289000,0,0,000,0.0,0.0,0.0
BTHF11,Híbrido,8.43,7.3,8.8,0.83,1735290000,3946510,0,000,0.0,0.0,0.0
BTHI11,Hotel,40.98,9.95,10.68,0.6,377775000,26331,14,6690.19,75620.0,11.3,0.0
BTLG11,Híbrido,99.85,8.71,9.36,0.96,4318430000,6886200,27,3344.55,21559.0,6.45,3.39
BTML11,Híbrido,111.28,9.1,9.9,0.87,126321000,0,2,22517.50,2129.42,9.46,9.7
BTRA11,Outros,53.14,6.17,7.47,0.48,178793000,129470,6,122,14.0,11.74,24.97
BTSG11,Logística,159.05,8.83,7.37,1.05,123266000,0,1,6533.00,62713.0,9.6,0.0
BTSI11,Híbrido,110.37,4.82,8.17,0.94,631656000,18,6,1240.70,8105.0,6.53,0.0
BTWR11,Lajes Corporativas,103.22,7.07,7.0,0.87,83532800,0,1,4171.44,44413.0,10.65,8.0
BTYU11,Híbrido,9.8,13.86,16.0,0.97,294000000,5889,1,000,0.0,0.0,0.0
BVAR11,Outros,1382.0,3.51,4.98,1.76,864496000,157,46,8701.25,33877.0,3.89,22.21
CACR11,,96.8,15.05,16.36,1.01,468156000,1352220,0,000,0.0,0.0,0.0
CARE11,Híbrido,1.19,-9.44,0.0,0.17,42566200,11650,1,000,0.0,0.0,0.0
CBOP11,Lajes Corporativas,22.44,3.13,4.22,0.33,31752600,50874,1,1943.79,31370.0,16.14,41.6
CCME11,,8.8,10.53,11.01,0.84,596614000,255223,2,4935.78,46245.0,9.37,36.74
CCRF11,Títulos e Val. Mob.,92.5,7.16,0.0,0.95,145401000,0,0,000,0.0,0.0,0.0
CCVA11,Híbrido,100.07,6.23,5.52,1.02,61793200,0,1,2099290.00,163719.17,7.8,2.6
CEOC11,Lajes Corporativas,41.98,12.71,12.89,0.58,76222900,32637,1,4845.81,73592.0,15.19,0.0
CFHI11,Outros,320.0,4.99,6.91,0.93,30272000,67,8,3986.01,0.0,0.0,0.0
CFII11,Híbrido,650.0,6.29,22.1,0.66,82107400,59,8,12423.10,61438.0,4.95,0.0
CJCT11,Lajes Corporativas,60.0,2.36,3.04,0.82,188400000,64187,1,9809.48,57580.0,5.87,36.4
CLIN11,Títulos e Val. Mob.,90.0,12.36,13.54,0.92,391209000,1164580,0,000,0.0,0.0,0.0
CNES11,Lajes Corporativas,1.16,7.62,7.01,0.15,39596400,336439,1,12268,3593.0,29.28,59.4
COPP11,Híbrido,103.0,4.99,0.0,0.94,290462000,0,3,542,25.0,4.63,18.0
CORM11,,81.0,4.57,0.0,0.85,87581800,0,3,7193.96,75512.0,10.5,0.0
CPFF11,Títulos e Val. Mob.,69.9,18.07,5.99,1.12,75470800,0,0,000,0.0,0.0,0.0
CPLG11,Logística,11.74,0.31,6.75,1.22,403213000,6370140,1,57147,289.0,0.51,0.0
CPOF11,Híbrido,108.5,3.4,8.0,0.99,517806000,847604,7,397,28.0,6.93,99.97
CPSH11,Shoppings,9.79,5.77,12.32,0.83,780261000,3070310,7,1041.25,7649.0,7.35,0.0
CPTR11,Títulos e Val. Mob.,7.44,36.01,11.5,0.75,147496000,274946,0,000,0.0,0.0,0.0
CPTS11,Títulos e Val. Mob.,7.34,8.21,12.7,0.82,2411620000,6439870,0,000,0.0,0.0,0.0
CPUR11,Híbrido,10.75,6.82,9.57,1.12,670490000,8428660,11,8941.30,41336.0,4.62,0.51
CRAA11,Títulos e Val. Mob.,95.51,8.45,13.38,0.94,226343000,753943,0,000,0.0,0.0,0.0
CRFF11,Títulos e Val. Mob.,66.03,11.28,12.02,0.81,45563300,10071,0,000,0.0,0.0,0.0
CTXT11,Lajes Corporativas,5.67,-19.39,0.0,0.26,26420000,1995,1,56372,171.0,0.3,100.0
CVBI11,Títulos e Val. Mob.,84.38,13.63,13.77,0.92,929043000,2098210,0,000,0.0,0.0,0.0
CXAG11,Outros,73.79,11.98,12.81,0.64,154267000,123477,32,2646.11,35657.0,13.48,0.0
CXCE11,Lajes Corporativas,39.19,13.84,13.18,0.62,67130500,15942,1,3160.60,48251.0,15.27,0.0
CXCI11,Títulos e Val. Mob.,66.5,14.02,13.6,0.78,136839000,156053,0,000,0.0,0.0,0.0
CXCO11,Lajes Corporativas,62.2,13.28,12.96,0.65,244104000,105693,10,2620.38,40826.0,15.58,0.0
CXRI11,Títulos e Val. Mob.,63.37,11.25,12.09,0.78,99855900,12385,0,000,0.0,0.0,0.0
CXTL11,Logística,207.02,12.25,10.68,0.53,11095700,2373,1,1653.77,34964.0,21.14,0.0
DAMA11,Títulos e Val. Mob.,7.0,11.37,13.14,0.83,38759200,56024,0,000,0.0,0.0,0.0
DAMT11,Shoppings,14.95,0.72,0.0,1.01,265807000,84,2,2328010.00,241259.85,10.36,9.48
DCRA11,Títulos e Val. Mob.,7.29,19.44,15.8,0.76,49126600,67995,0,000,0.0,0.0,0.0
DEVA11,Títulos e Val. Mob.,33.33,15.98,15.67,0.34,468117000,640045,0,000,0.0,0.0,0.0
DMAC11,Residencial,13.0,-758.5,0.0,2.61,2029400,0,0,000,0.0,0.0,0.0
DOMC11,Híbrido,439.0,0.78,0.0,4.13,1072830000,0,2,25593.60,36483.0,1.43,13.3
DOVL11,Lajes Corporativas,650.35,13.17,14.41,0.99,43187100,15,2,2466.69,57492.0,23.31,36.0
DPRO11,Híbrido,6.0,11.34,11.06,0.66,30019300,639,1,1822.34,25045.0,13.74,0.0
DRIT11,Lajes Corporativas,8.68,69.7,8.89,0.6,4021240,443,5,40014,47483.0,118.67,0.0
DVFF11,Títulos e Val. Mob.,5.99,10.55,13.46,0.71,65946900,113870,0,000,0.0,0.0,0.0
EDFO11,Lajes Corporativas,116.0,15.98,13.75,0.55,27376000,10059,1,77018.60,14616.69,18.98,100.05
EDGA11,Lajes Corporativas,16.4,2.7,5.52,0.35,62517700,7645,1,2487.94,27558.0,11.08,23.55
EGAF11,Títulos e Val. Mob.,93.59,13.53,15.73,0.94,293116000,630139,0,000,0.0,0.0,0.0
EIRA11,Híbrido,103.82,0.32,1.94,0.97,20764000,114236,0,000,0.0,0.0,0.0
ELDO11B,Shoppings,1104.31,10.62,4.08,0.66,869375000,0,1,11455.40,1428.75,12.47,0.36
EQIN11,Títulos e Val. Mob.,7.29,14.82,9.73,0.82,122098000,0,0,000,0.0,0.0,0.0
EQIR11,Títulos e Val. Mob.,7.86,12.67,14.44,0.82,85747200,161850,0,000,0.0,0.0,0.0
ERCR11,Híbrido,76000.0,0.01,0.0,4.19,180576000,0,0,000,0.0,0.0,0.0
ERPA11,Lajes Corporativas,127.05,5.76,8.16,0.8,63642100,91744,1,18823.00,1255.52,6.67,0.0
EURO11,Logística,253.01,9.39,8.99,0.77,97139600,30335,7,81862,8504.0,10.39,0.0
EVBI11,Híbrido,9.5,4.93,5.59,0.97,546231000,0,11,6565.94,34308.0,5.23,0.49
EXES11,Títulos e Val. Mob.,9.25,12.86,15.01,0.95,65725400,11061,0,000,0.0,0.0,0.0
FAED11,Outros,146.5,13.07,13.11,0.66,101433000,51925,4,2202.94,30578.0,13.88,0.0
FAMB11,Lajes Corporativas,715.0,176.33,53.65,0.39,87614700,30272,1,1459.50,5962.0,4.08,98.02
FATN11,Híbrido,78.5,9.19,10.2,0.8,362024000,1528370,56,23752.30,2055.68,8.65,4.54
FCFL11,Outros,125.3,8.3,8.21,1.02,435293000,366260,1,13960.00,1206.77,8.64,0.0
FEXC11,Títulos e Val. Mob.,83.5,1.31,0.0,8.44,8310020000,0,0,000,0.0,0.0,0.0
FFCI11,Lajes Corporativas,182.03,3.63,0.0,0.9,671817000,0,9,17089.90,1216.83,7.12,6.49
FGAA11,Híbrido,8.59,14.35,18.6,0.91,387250000,1105090,0,000,0.0,0.0,0.0
FIGS11,Shoppings,46.6,11.43,11.24,0.61,132810000,131490,2,2048.40,24736.0,12.08,7.01
FIIB11,Híbrido,511.0,8.69,9.59,1.08,350035000,159314,11,63277,6151.0,9.72,0.0
FIIP11,Híbrido,163.0,10.86,10.29,0.82,151127000,379854,7,2163.09,26612.0,12.3,0.0
