P/L,P/RECEITA_(PSR),P/VP,Dividend_Yield,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBIT,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel,EV/EBITDA,P/EBITDA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO
7.4,13.73,1.31,8.61,70.89,185.53,28.63,207.75,222.59,6.83,6.61,1.02,18.72,-1.14,7.82,1.38,0.07,17.71,17.51,13.91,0.78,0.18,1.97,6.88,15.94,ITSA4,6.38,6.17,0.04,0.21,0.22,0.13
8.61,0.16,0.86,2.85,24.62,1.86,30.15,19.78,35.5,6.92,0.81,0.08,-2.0,-0.1,7.2,0.72,0.48,10.02,11.9,0.89,0.09,0.91,0.87,27.98,19.11,MOVI3,3.85,0.45,6.5,3.4,6.11,7.66
6.09,0.97,1.69,6.88,42.09,16.0,68.12,59.59,78.52,6.27,1.64,0.19,1.54,-0.25,2.3,0.64,0.19,27.69,12.55,1.36,0.11,0.89,1.86,23.26,11.28,VAMO3,4.76,1.24,4.78,3.52,4.64,6.58
10.56,0.51,0.62,3.83,39.67,4.8,12.8,8.98,13.83,6.65,5.65,0.4,1.73,-0.65,27.62,1.61,0.8,5.84,7.32,3.86,0.65,0.34,2.64,9.25,6.71,GGBR4,4.32,3.66,0.14,0.81,1.25,0.26
11.89,1.18,1.68,2.51,30.07,9.89,38.35,29.61,37.07,9.15,3.97,0.38,5.12,-0.46,7.28,1.03,0.33,14.16,11.1,3.29,0.23,0.77,1.88,16.32,89.82,MOTV3,7.31,3.17,2.2,4.14,5.18,2.65
-4.04,0.24,0.81,6.82,-27.85,-5.84,26.82,10.19,18.87,9.84,2.32,0.11,0.77,-0.17,9.87,-1.98,0.45,-20.03,6.63,-1.79,0.13,0.84,1.64,8.34,,CSNA3,5.32,1.25,2.63,4.07,7.53,4.07
5.49,1.13,1.0,4.36,13.41,20.48,32.6,24.36,25.56,6.1,4.62,0.43,1.08,-0.99,24.35,4.45,0.38,18.28,11.98,9.15,0.43,0.52,3.36,16.89,1.8,CYRE3,5.81,4.4,0.32,1.41,1.48,0.64
4.29,0.74,1.08,18.33,76.79,17.25,19.8,23.79,27.26,4.65,3.11,0.47,34.64,-0.62,9.75,2.45,0.64,25.09,17.6,10.96,0.44,0.56,1.06,9.99,19.58,CMIG4,4.06,2.72,0.38,0.95,1.09,0.55
8.13,1.07,2.33,7.01,57.56,13.18,24.73,16.33,18.24,7.04,6.56,1.03,4.27,-2.47,3.49,1.0,0.96,28.66,15.73,12.79,0.44,0.55,1.7,19.14,66.15,POMO4,6.3,5.87,0.34,0.85,0.95,0.78
1.697.65,1.03,0.75,0.61,1.030.02,0.06,20.53,18.55,27.59,16.75,5.54,0.19,2.86,-0.24,12.62,0.01,0.18,0.04,3.7,0.14,0.25,0.72,1.45,,,AURE3,11.26,3.72,1.51,7.54,11.21,1.97
-21.61,2.24,2.11,4.8,-105.26,-10.38,46.27,15.38,34.01,20.78,14.58,0.6,6.06,-0.76,7.87,-0.77,0.27,-9.78,4.83,-2.75,0.28,0.71,1.9,14.58,,RAIL3,9.4,6.6,0.9,2.8,6.2,1.44
8.37,0.14,1.25,4.08,34.49,1.66,7.16,3.51,4.18,6.53,3.96,0.5,3.02,-0.82,13.62,2.03,3.61,14.9,1.63,6.45,0.4,0.58,1.76,10.92,21.27,UGPA3,5.48,3.32,0.81,2.16,2.57,0.99
