P/L,P/RECEITA_(PSR),P/VP,Dividend_Yield,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBIT,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel,EV/EBITDA,P/EBITDA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO
6.93,0.6,0.85,3.39,23.29,8.62,27.16,20.03,27.4,7.47,2.98,0.27,9.82,-0.34,29.02,3.56,0.45,12.28,11.41,3.93,0.32,0.68,1.17,9.42,8.42,NEOE3,5.46,2.18,1.28,3.28,4.49,1.44
7.05,1.22,1.19,6.41,55.58,17.26,43.05,25.74,36.01,7.27,4.73,0.62,22.29,-0.73,21.82,3.67,0.51,16.8,11.83,8.75,0.52,0.48,1.22,8.61,11.29,CSMG3,5.2,3.38,0.64,1.82,2.54,0.72
9.82,0.7,1.01,3.89,19.98,7.16,38.06,26.49,38.34,6.29,2.66,0.28,1.57,-0.4,3.65,0.38,0.4,10.31,12.09,2.95,0.28,0.71,2.42,75.89,41.27,ARML3,4.34,1.83,1.38,2.51,3.63,1.96
14.45,0.61,2.61,2.28,32.81,4.21,14.79,8.43,10.79,9.08,7.22,0.66,2.19,-1.41,5.46,0.99,1.09,18.07,11.39,4.66,0.25,0.75,2.34,,,GGPS3,7.09,5.64,0.67,1.45,1.86,1.52
10.62,1.03,1.57,3.04,41.95,9.7,29.25,9.42,11.73,11.28,10.94,0.93,2.02,-3.28,9.39,1.39,0.9,14.81,10.32,8.73,0.59,0.41,2.79,17.1,6.76,INTB3,9.05,8.78,0.05,0.27,0.33,0.32
0.01,0.1,-0.01,0.0,0.0,847.38,-103.32,-68.99,-24.65,-8.76,-0.14,0.01,-0.07,-0.01,-44.41,42.57,0.08,-95.87,34.45,71.55,-0.75,1.74,0.7,-29.14,,OIBR3,-24.52,-0.4,-0.67,-24.08,-8.61,-0.77
7.97,0.66,0.8,6.58,48.86,8.27,36.44,11.31,0.0,5.82,5.83,0.08,-0.12,-0.1,32.61,3.29,0.12,10.09,10.85,1.01,0.1,0.95,0.24,19.14,-1.49,SANB11,,,,,,
5.69,0.46,1.3,0.0,0.0,8.06,39.22,35.46,45.99,6.6,1.29,0.14,-9.01,-0.17,5.13,1.18,0.31,22.93,10.62,2.5,0.11,0.88,0.9,20.52,,ECOR3,5.08,1.0,5.35,4.09,5.3,6.44
6.39,1.71,1.15,9.66,61.49,26.72,47.65,19.36,22.38,6.06,8.82,0.97,1.81,-3.13,4.36,0.79,0.57,18.02,10.42,15.15,0.84,0.16,4.47,6.94,11.84,GRND3,5.24,7.63,-0.36,-2.38,-2.75,0.05
7.86,2.16,2.2,2.69,21.28,27.44,70.11,27.44,33.22,8.26,7.86,1.36,3.03,-3.64,11.06,3.1,0.63,28.05,21.78,17.33,0.62,0.38,3.54,20.57,37.95,VIVA3,6.82,6.49,0.11,0.33,0.4,0.18
5.73,0.61,1.17,6.36,36.25,10.73,24.92,17.38,23.04,8.45,3.54,0.27,4.19,-0.35,39.29,8.0,0.44,20.36,10.24,5.78,0.23,0.71,1.38,10.93,23.01,ENGI11,6.37,2.67,1.56,3.57,4.73,2.04
13.6,2.55,2.83,6.29,85.49,18.73,47.83,33.12,43.91,9.8,7.69,1.19,57.74,-1.47,6.24,1.3,0.47,20.81,13.37,8.88,0.42,0.58,1.12,10.95,37.44,PORT3,7.39,5.8,0.78,1.59,2.11,0.99
-5.58,0.17,0.88,5.06,-28.05,-3.09,34.32,1.7,6.59,13.79,10.16,0.14,0.57,-0.45,2.75,-0.44,0.8,-15.84,2.2,-2.47,0.16,0.84,1.54,11.14,,LJQQ3,3.55,2.62,0.32,0.94,3.63,0.93
16.79,0.34,0.71,0.0,0.0,2.05,13.69,11.48,19.12,5.96,3.0,0.23,1.67,-0.33,6.57,0.28,0.66,4.22,10.31,2.18,0.32,1.54,1.77,,,CBAV3,3.58,1.8,0.7,1.78,2.97,0.9
13.85,0.76,2.4,0.81,11.2,5.51,28.78,10.02,12.1,8.91,7.61,0.51,1.96,-1.24,8.8,1.52,0.66,17.3,14.78,3.37,0.21,0.78,1.77,8.33,-2.83,TEND3,7.39,6.31,0.41,1.08,1.3,0.95
11.21,1.43,1.26,6.77,79.47,12.73,22.1,19.07,25.37,10.66,7.48,0.55,6.26,-0.75,8.81,0.99,0.38,11.2,8.38,4.86,0.44,0.56,1.48,4.22,-5.6,CPLE3,8.02,5.62,0.48,2.17,2.89,0.72
6.47,0.29,0.25,3.73,23.71,4.48,33.62,17.68,20.23,8.28,1.64,0.06,0.4,-0.09,10.91,0.43,0.2,3.91,6.2,2.59,0.23,0.56,1.61,5.52,21.7,HBOR3,7.23,1.43,1.02,5.8,6.64,1.18
20.11,2.43,1.39,4.16,72.33,12.08,56.39,15.15,19.48,23.48,16.03,0.67,13.29,-0.88,18.53,1.28,0.28,6.89,1.88,3.29,0.48,0.52,1.26,10.37,-9.17,HYPE3,18.26,12.47,0.64,5.79,7.45,0.79
0.14,0.08,0.23,0.0,0.0,53.38,31.43,-5.72,1.62,-2.56,-1.33,0.06,0.44,-0.1,22.35,36.62,0.79,163.84,-77.75,42.19,0.26,0.74,1.49,6.29,,AMER3,9.07,4.73,0.22,4.34,-1.23,0.41
5.2,0.61,0.72,0.0,0.0,11.72,12.67,12.9,0.0,-1.22,4.72,0.23,2.32,-0.36,61.84,8.55,0.37,13.82,8.82,4.38,0.32,0.68,1.36,-6.7,,IRBR3,,,-0.9,,-5.94,0.0
19.0,0.73,0.94,1.62,30.73,3.86,53.73,5.52,10.74,17.16,13.29,0.48,2.95,-0.89,37.8,1.87,0.65,4.95,2.66,2.51,0.51,0.49,1.55,44.45,51.27,AZZA3,8.82,6.83,0.27,1.99,3.87,0.42
10.88,0.94,1.65,3.03,32.42,8.64,31.67,21.76,25.45,7.02,4.32,0.47,3.46,-0.83,11.08,1.69,0.49,15.21,15.17,4.37,0.28,0.71,1.44,17.42,8.36,SLCE3,6.0,3.69,1.03,2.3,2.69,1.29
7.21,1.18,0.9,16.1,115.96,16.42,41.24,29.83,50.69,4.8,3.97,0.54,4.27,-0.68,15.21,1.89,0.45,12.43,14.19,7.44,0.6,0.4,2.47,33.95,,RECV3,2.82,2.34,0.19,0.49,0.83,0.42
5.82,0.25,0.42,10.1,58.41,4.3,31.86,4.41,0.0,5.84,5.67,0.03,7.79,-0.03,25.84,1.88,0.12,7.26,7.26,0.51,0.07,0.93,1.33,16.76,1.07,BRSR6,,,,,,
121.39,0.3,0.35,0.34,0.0,0.24,84.39,11.21,35.27,7.65,2.64,0.1,3.32,-0.17,4.57,0.01,0.35,0.29,5.22,0.28,0.29,0.7,1.08,-5.24,-49.91,QUAL3,2.43,0.84,0.67,1.59,5.02,1.49
10.29,1.88,3.08,9.66,99.16,18.26,37.03,22.2,24.21,8.91,8.47,0.63,1.94,-1.13,12.56,3.76,0.34,29.96,17.31,7.07,0.21,0.78,3.82,18.95,37.96,DIRR3,8.17,7.76,0.16,0.41,0.44,0.91
8.47,1.09,2.43,7.34,61.64,12.9,21.57,17.64,18.92,5.83,6.2,1.74,4.81,-3.65,14.62,4.19,1.59,28.62,23.01,20.52,0.72,0.28,3.2,16.17,30.37,TGMA3,5.43,5.78,-0.15,-0.35,-0.37,0.21
12.59,1.13,2.64,6.39,80.18,9.0,36.72,22.03,32.54,11.91,5.14,0.4,3.57,-0.51,1.4,0.29,0.35,20.94,9.02,3.54,0.15,0.8,1.96,10.93,,KLBN4,8.06,3.48,3.44,4.55,6.72,4.19
7.32,0.8,1.77,9.33,68.16,10.9,28.03,15.9,18.38,4.8,5.02,0.83,2.51,-2.46,3.97,0.96,1.05,24.17,17.24,11.39,0.47,0.53,2.01,18.74,20.6,KEPL3,4.15,4.34,-0.08,-0.19,-0.22,0.42
8.21,1.01,1.97,7.42,49.93,12.37,31.69,25.03,30.05,6.3,4.05,0.56,-175.72,-0.71,19.31,4.63,0.55,23.97,16.65,7.14,0.28,0.7,0.99,6.89,8.69,CPFE3,5.25,3.38,1.09,1.87,2.25,1.27
4.91,0.39,0.96,4.83,23.65,7.85,49.3,8.35,11.37,7.65,4.61,0.33,1.96,-0.67,11.91,2.32,0.85,19.46,10.87,6.69,0.34,0.66,1.49,24.54,,SBFG3,5.62,3.39,0.63,2.23,3.04,0.91
11.58,0.49,1.61,2.95,30.67,4.22,22.79,6.75,7.89,7.52,7.24,0.8,2.2,-2.14,4.53,0.63,1.64,13.93,16.74,7.02,0.5,0.5,2.4,21.67,14.24,GMAT3,6.43,6.19,0.06,0.24,0.28,0.21
11.69,0.91,2.38,4.6,35.25,7.79,100.0,8.76,9.92,7.27,10.39,0.67,10.57,-1.5,21.43,4.37,0.73,20.39,13.65,5.81,0.28,0.72,1.13,14.27,11.23,PSSA3,6.42,9.18,-0.72,-2.76,-3.13,0.0
4.13,1.76,0.72,10.61,43.59,42.48,46.33,63.15,63.59,5.37,2.78,0.33,2.49,-0.4,30.98,5.42,0.19,17.48,13.24,8.1,0.46,0.53,3.77,17.84,1.37,ISAE4,5.34,2.76,0.57,2.19,2.2,0.73
-4.42,0.24,0.28,0.0,0.0,-5.48,23.46,0.41,2.17,74.1,58.76,0.16,0.44,-0.48,3.6,-0.23,0.65,-6.35,-1.6,-3.55,0.56,0.44,2.11,,,MLAS3,14.1,11.18,0.07,2.92,15.34,0.23
11.7,1.96,7.45,5.13,59.72,16.77,38.82,21.36,22.12,8.9,9.19,1.73,4.97,-4.64,3.89,2.47,0.88,63.68,33.89,15.98,0.23,0.72,2.26,30.33,422.44,CURY3,8.6,8.87,-0.23,-0.27,-0.28,1.13
-3.7,0.46,0.97,0.0,0.0,-12.51,31.79,-3.68,1.63,-29.12,-12.56,0.27,1.54,-0.44,5.68,-1.48,0.58,-26.14,-4.45,-8.03,0.28,0.7,1.81,,,ONCO3,65.65,28.31,1.27,37.34,-16.56,1.82
4.27,1.49,0.86,6.45,19.03,34.97,56.21,38.83,47.13,5.67,3.84,0.42,9.59,-0.48,39.82,8.05,0.28,20.21,12.62,9.54,0.48,0.52,1.47,7.7,18.96,SAPR11,4.67,3.17,0.4,1.45,1.76,0.55
0.95,0.15,0.39,0.0,0.0,15.41,19.05,8.39,14.65,-1.09,1.75,0.08,0.86,-0.12,15.14,6.23,0.56,41.18,21.97,8.65,0.21,0.22,1.44,2.89,27.4,LIGT3,-0.62,1.0,-0.64,-1.63,-2.84,0.0
6.72,1.82,0.61,8.85,58.44,27.07,35.19,22.74,24.36,9.08,8.01,0.43,1.12,-0.76,22.17,2.0,0.23,9.02,5.13,6.74,0.7,0.28,7.71,11.75,2.49,EZTC3,8.48,7.47,0.08,1.0,1.07,0.32
10.96,0.85,0.91,4.92,53.87,7.77,24.93,21.19,42.41,9.18,4.02,0.28,1.64,-0.39,20.15,1.67,0.33,8.31,8.31,2.56,0.31,0.69,2.43,10.75,-8.38,SMTO3,4.59,2.01,1.17,2.58,5.16,1.63
7.22,0.99,3.33,7.69,55.65,13.69,32.98,18.04,18.38,5.75,5.48,1.07,1.85,-7.06,3.92,1.81,1.08,46.07,30.38,16.86,0.32,0.65,3.12,15.78,18.36,PLPL3,5.65,5.38,0.17,0.27,0.27,0.75
195.92,0.17,0.36,6.74,1.327.52,0.09,24.81,7.1,8.97,5.59,2.38,0.14,0.41,-0.39,11.34,0.02,0.81,0.18,7.8,0.19,0.38,0.62,2.03,9.14,-47.14,POSI3,4.42,1.88,0.48,2.54,3.21,0.77
8.6,0.5,1.64,1.4,11.97,5.82,18.63,8.77,9.49,6.17,5.71,0.69,3.44,-2.0,8.33,1.59,1.39,19.11,14.4,8.06,0.42,0.58,1.45,,,TTEN3,5.7,5.27,0.13,0.43,0.46,0.53
11.7,2.84,4.82,7.62,138.3,24.29,35.93,31.61,33.86,8.31,8.99,2.94,-58.85,-4.07,2.47,1.02,1.04,41.21,36.23,25.14,0.61,0.39,0.85,5.57,9.33,ODPV3,7.76,8.4,-0.36,-0.64,-0.68,0.0
-0.83,0.06,0.12,0.0,0.0,-7.38,28.43,7.53,16.41,8.59,0.81,0.03,0.19,-0.05,10.38,-1.51,0.55,-14.55,5.0,-4.0,0.28,0.72,1.92,16.98,,DASA3,3.94,0.37,1.16,3.57,7.78,1.61
-0.24,0.03,0.19,0.0,-2.98,-12.93,11.34,-6.1,-4.75,-5.64,-0.5,0.04,0.15,-0.08,5.79,-4.58,1.22,-79.07,-12.35,-15.77,0.2,0.8,1.85,,,VVEO3,-7.26,-0.65,1.92,-6.61,-5.14,2.39
6.84,2.9,1.58,8.17,38.26,42.41,63.47,73.57,74.26,7.17,3.94,0.55,8.02,-0.64,21.18,4.89,0.19,23.08,15.54,8.01,0.35,0.65,1.85,2.2,-5.73,TAEE11,7.11,3.9,1.3,3.2,3.23,1.4
13.72,0.66,1.32,3.12,42.71,4.78,38.26,4.53,0.0,14.48,14.48,0.15,-0.18,-0.15,5.88,0.57,0.23,9.61,5.69,1.11,0.11,0.99,0.0,9.37,2.04,BPAN4,,,,,,
29.38,1.35,1.42,1.26,35.51,4.58,44.69,3.36,8.74,36.02,40.04,0.9,3.41,-1.76,5.93,0.29,0.67,4.83,2.17,3.06,0.63,0.36,2.17,4.88,8.99,ALPA4,13.85,15.4,-0.05,-0.55,-1.44,0.22
9.22,0.2,0.22,0.0,0.0,2.15,8.21,3.61,8.28,7.49,5.49,0.13,0.39,-0.24,19.37,0.46,0.66,2.37,2.54,1.31,0.6,0.33,4.16,10.73,-16.26,USIM3,3.27,2.4,0.04,0.42,0.96,0.32
11.55,0.38,0.7,1.55,9.22,3.31,59.41,8.05,12.66,5.84,4.74,0.28,1.39,-0.75,10.78,0.65,0.74,6.05,8.67,2.46,0.41,0.59,1.49,9.53,,GUAR3,3.71,3.02,0.16,0.7,1.1,0.37
7.02,0.22,0.46,11.69,78.56,3.17,48.14,2.02,0.0,11.0,11.0,0.04,-1.84,-0.26,7.52,0.49,0.18,6.53,1.18,0.62,0.09,0.91,0.98,17.55,0.26,BMGB4,,,,,,
4.84,0.49,0.78,9.51,45.61,10.2,19.82,11.61,0.0,4.26,4.26,0.08,0.09,-0.91,26.45,4.27,0.17,16.13,17.83,1.7,0.11,0.89,25.57,11.63,26.51,ABCB4,,,,,,
19.25,1.42,2.96,2.64,42.71,7.36,33.57,13.35,17.62,13.99,10.61,0.94,3.54,-1.83,7.89,1.21,0.66,15.38,9.49,4.98,0.32,0.68,2.19,21.68,13.01,FRAS3,10.6,8.04,0.95,2.57,3.39,1.28
10.12,2.93,2.82,5.57,35.16,28.94,53.62,55.8,65.68,8.37,5.25,0.65,17.94,-0.77,14.81,4.12,0.22,27.84,14.55,6.53,0.23,0.75,1.27,-1.06,4.25,EGIE3,7.11,4.46,1.68,2.66,3.13,2.14
1.85,0.78,0.95,49.21,191.66,42.0,41.4,61.01,66.35,1.64,1.28,0.33,1.06,-0.52,7.15,3.66,0.42,51.13,33.09,21.18,0.34,0.41,5.43,22.27,39.28,SYNE3,1.51,1.17,0.27,0.34,0.37,0.8
-4.21,0.16,0.37,0.0,0.0,-3.92,33.38,1.83,12.32,18.67,9.02,0.14,-1.72,-0.16,3.45,-0.3,0.84,-8.81,2.45,-3.28,0.37,0.63,0.66,14.01,,MEAL3,2.77,1.34,0.4,1.43,9.66,0.59
6.65,0.89,1.21,7.68,53.52,13.43,26.23,14.79,18.31,17.42,6.04,0.63,1.45,-1.78,4.11,0.75,0.71,18.15,11.42,9.52,0.52,0.48,3.1,13.55,13.43,SHUL4,14.07,4.88,-0.03,-0.13,-0.16,0.57
18.35,0.16,0.75,7.24,131.74,0.85,31.71,4.79,8.73,5.31,3.27,0.24,1.61,-0.48,4.69,0.19,1.51,4.11,13.15,1.68,0.31,0.69,1.41,13.88,8.63,PGMN3,2.91,1.8,0.47,1.11,2.03,0.51
4.13,1.44,0.83,6.81,19.03,34.97,56.21,38.83,47.13,5.67,3.72,0.4,9.29,-0.47,7.96,1.61,0.28,20.21,12.62,9.54,0.48,0.52,1.47,7.7,18.96,SAPR4,4.67,3.07,0.4,1.45,1.76,0.55
7.81,0.13,0.46,6.62,50.19,1.7,19.67,5.12,7.13,8.87,2.58,0.13,0.75,-0.32,9.97,0.58,0.99,5.86,6.08,1.68,0.29,0.71,1.42,10.05,-15.07,CAML3,6.38,1.86,1.11,4.52,6.29,1.58
9.69,0.14,0.51,4.1,48.54,1.44,12.0,6.62,9.96,5.86,2.11,0.14,0.8,-0.27,28.02,1.47,1.02,5.23,8.04,2.18,0.28,0.69,1.61,12.34,,MYPK3,3.89,1.4,0.9,2.49,3.75,1.35
5.27,1.02,1.2,9.24,49.26,19.35,38.59,21.15,32.59,7.92,4.82,0.46,1.82,-0.72,5.89,1.35,0.45,22.84,8.07,8.76,0.38,0.62,3.51,10.12,28.31,RANI3,5.14,3.13,0.77,2.01,3.1,1.25
-10.02,0.79,0.66,0.0,0.0,-7.88,56.63,-11.09,2.42,-0.41,-7.12,0.5,1.28,-1.13,1.55,-0.1,0.63,-6.64,-9.55,-4.95,0.75,0.25,3.2,27.13,,ENJU3,1.87,32.64,-0.63,-30.77,6.71,0.0
8.62,2.3,1.14,2.95,24.91,26.72,71.15,71.29,75.47,6.31,3.23,0.31,2.84,-0.39,25.84,3.43,0.14,13.26,13.78,6.23,0.27,0.61,2.15,-7.18,-1.13,ALUP11,5.96,3.05,1.05,2.8,2.97,1.48
-23.2,0.49,0.52,0.0,-46.19,-2.13,35.91,28.62,63.01,7.27,1.73,0.14,0.83,-0.21,6.6,-0.15,0.29,-2.22,7.62,-0.62,0.28,0.72,2.19,6.38,,JALL3,3.3,0.79,1.65,2.52,5.54,2.27
8.56,1.6,2.28,8.91,70.16,18.63,41.88,18.82,22.35,8.5,8.48,1.71,3.35,-5.7,8.03,2.14,1.07,26.62,22.85,20.02,0.75,0.25,3.74,21.75,79.45,VULC3,7.16,7.14,0.01,0.02,0.02,0.12
6.56,0.33,0.39,13.27,84.02,5.06,24.83,13.01,9.48,5.67,2.55,0.17,0.36,-0.93,9.43,0.56,0.53,5.95,7.77,3.74,0.45,0.53,2.45,23.32,11.15,MTRE3,7.79,3.5,0.48,4.29,3.12,0.63
8.0,0.39,0.48,4.12,14.21,4.85,34.96,9.47,12.4,7.94,4.1,0.24,1.01,-0.57,10.01,0.6,0.62,6.01,6.87,3.01,0.5,0.5,1.7,-2.37,-21.97,TASA4,6.07,3.13,0.42,2.75,3.6,0.59
13.98,0.74,1.04,2.87,40.05,5.26,12.79,8.38,10.14,8.52,8.78,0.4,0.78,-1.47,9.96,0.74,0.55,7.43,6.61,4.87,0.39,0.43,3.46,26.46,19.25,SOJA3,7.04,7.26,-0.03,-0.22,-0.26,0.63
9.27,1.62,1.78,4.45,41.31,17.44,62.94,32.97,47.61,7.1,4.91,0.68,3.54,-1.05,6.35,1.22,0.42,19.17,12.81,7.33,0.38,0.62,2.17,26.41,,MILS3,4.92,3.4,0.8,1.52,2.2,1.28
13.73,1.15,1.52,6.58,90.43,8.4,23.47,8.07,12.36,10.08,14.29,1.09,2.63,-3.23,13.37,1.48,0.94,11.07,7.12,7.96,0.71,0.28,2.65,55.25,26.51,BMOB3,6.58,9.33,-0.45,-2.75,-4.21,0.0
-0.01,0.02,0.0,0.0,0.0,-334.66,9.12,-81.88,-81.52,-1.76,-0.03,0.01,0.0,-0.02,-241.15,-33.0,0.26,-13.68,6.18,-87.96,-6.35,7.49,0.32,-7.96,,PDGR3,-1.76,-0.03,-0.06,-1.74,-1.73,-0.06
9.79,2.27,0.78,4.7,43.08,23.14,44.48,52.13,61.93,6.15,4.35,0.34,2.94,-0.42,52.66,4.2,0.15,7.98,11.34,3.44,0.43,0.57,2.29,7.57,8.71,ELET6,5.17,3.66,0.33,1.55,1.84,0.58
6.55,1.08,1.14,5.67,37.71,16.43,33.77,16.55,17.7,6.95,6.5,0.43,1.45,-0.85,18.98,3.29,0.4,17.33,11.18,6.63,0.38,0.62,2.62,27.07,,MDNE3,6.5,6.08,0.08,0.42,0.45,0.33
7.51,1.02,0.69,7.56,55.19,13.64,19.68,6.09,16.07,17.36,16.8,0.54,2.06,-0.88,9.52,0.88,0.53,9.23,3.38,7.17,0.78,0.22,3.09,7.02,34.73,FESA4,6.58,6.37,-0.14,-1.33,-3.51,0.1
62.55,4.24,5.14,0.0,0.0,6.78,44.69,23.02,41.3,25.47,18.42,1.17,9.33,-1.58,9.3,0.76,0.28,8.21,6.71,1.2,0.23,0.74,1.93,19.11,10.46,ORVR3,14.2,10.27,1.97,3.93,7.06,2.5
1.14,0.11,0.05,0.0,0.0,9.6,-5.6,-8.6,-7.11,-17.16,-1.27,0.02,0.09,-0.05,296.52,14.06,0.2,4.74,-3.99,-0.8,0.4,0.6,1.67,2.21,,GFSA3,-20.76,-1.54,0.67,-19.23,-15.89,0.75
7.98,0.95,1.66,8.74,67.57,11.84,39.07,13.67,0.0,7.31,6.91,0.12,0.66,-1.83,18.65,3.87,0.13,20.77,21.28,1.53,0.07,0.92,1.24,15.22,23.22,ITUB3,,,,,,
-4.55,0.77,1.1,1.72,-7.94,-16.83,29.0,-17.68,-12.59,-6.39,-4.33,0.37,1.63,-0.57,3.88,-0.94,0.49,-24.29,-19.08,-7.99,0.34,0.66,2.95,24.51,,MATD3,-8.97,-6.08,0.53,-2.89,-2.06,0.98
44.99,0.67,0.74,5.75,257.45,1.49,26.32,4.99,5.13,15.75,13.4,0.27,0.43,-1.44,9.43,0.16,0.41,1.65,2.12,2.62,0.37,0.58,4.38,9.4,20.39,EVEN3,15.34,13.04,0.13,2.29,2.35,0.59
-54.4,0.22,0.7,8.32,-589.79,-0.41,17.47,4.55,8.28,10.15,4.85,0.22,0.6,-0.6,22.99,-0.3,0.99,-1.29,4.09,-0.39,0.31,0.69,2.33,19.9,,TUPY3,5.58,2.66,0.77,2.91,5.3,1.28
17.04,0.49,0.82,1.95,33.07,2.9,57.02,14.81,25.15,5.74,3.33,0.3,5.19,-0.42,9.73,0.47,0.61,4.79,12.29,1.76,0.37,0.63,1.26,10.61,-18.32,SEER3,3.38,1.96,0.59,1.42,2.4,0.84
6.81,0.88,1.94,3.46,23.26,12.96,62.29,44.13,53.9,1.94,2.0,0.45,48.97,-0.6,3.71,1.06,0.51,28.54,40.03,12.26,0.23,0.53,1.04,10.21,9.46,WIZC3,1.59,1.64,-0.06,-0.05,-0.06,0.68
7.76,1.29,1.11,2.68,20.62,16.65,50.81,25.62,46.8,6.57,5.04,0.58,5.88,-0.81,3.37,0.48,0.45,14.27,10.88,7.5,0.53,0.47,1.55,,,FIQE3,3.6,2.76,0.34,0.84,1.53,0.68
6.74,1.52,1.37,8.4,55.95,22.48,34.22,26.28,26.46,7.19,5.77,0.69,1.13,-2.93,8.84,1.8,0.45,20.37,15.28,11.81,0.5,0.5,4.85,34.78,28.52,LAVV3,7.14,5.73,0.34,1.41,1.42,0.4
8.84,0.65,1.09,8.01,71.32,7.3,49.42,20.05,27.42,4.19,3.22,0.35,6.01,-0.46,4.27,0.53,0.55,12.34,18.13,4.0,0.32,0.68,1.35,7.88,,CSED3,3.06,2.36,0.33,0.71,0.97,0.85
9.66,2.0,0.17,0.0,0.0,20.75,74.09,114.21,117.15,9.03,1.76,0.07,1.88,-0.07,19.78,0.34,0.03,1.74,4.53,2.36,0.4,0.43,1.57,17.18,,HBRE3,8.8,1.71,0.7,7.09,7.27,0.77
32.15,0.58,2.11,0.34,10.69,1.8,22.09,7.78,12.28,11.96,7.44,0.51,1.86,-1.17,7.36,0.48,0.89,6.56,7.46,2.05,0.24,0.75,1.96,38.91,,PRNR3,7.58,4.71,1.28,2.87,4.52,2.33
8.23,1.25,1.01,2.76,24.47,15.16,38.95,22.12,25.16,5.82,5.64,0.64,1.94,-1.24,12.12,1.49,0.52,12.33,11.04,7.71,0.63,0.36,3.23,8.42,0.84,BLAU3,5.11,4.96,0.03,0.15,0.17,0.23
-4.75,0.22,1.71,0.0,0.0,-4.61,36.12,4.76,12.44,13.17,4.6,0.15,-2.72,-0.24,2.24,-0.81,0.69,-36.12,5.69,-3.16,0.09,0.91,0.87,13.2,,PTBL3,5.04,1.76,3.19,3.28,8.57,4.5
7.27,0.16,0.83,8.09,58.57,2.21,16.7,13.24,20.18,6.43,1.21,0.12,0.84,-0.19,6.25,0.72,0.74,11.48,11.9,1.63,0.14,0.86,1.62,26.91,9.39,JSLG3,4.22,0.8,3.59,3.42,5.21,4.64
-54.34,0.74,1.32,0.0,0.0,-1.36,25.47,14.4,30.85,9.92,5.13,0.43,3.26,-0.64,4.72,-0.11,0.58,-2.43,8.45,-0.79,0.32,0.68,1.67,21.34,,OPCT3,4.63,2.39,1.24,2.24,4.8,1.68
20.07,0.78,0.76,1.55,31.0,3.91,42.24,14.09,43.56,12.4,5.57,0.28,-8.57,-0.35,3.51,0.13,0.36,3.78,5.59,1.42,0.38,0.62,0.84,,,BRST3,4.01,1.8,0.93,2.21,6.83,1.23
7.61,0.79,4.29,9.35,71.52,10.4,27.77,16.85,19.23,5.57,4.7,1.02,6.63,-2.65,6.54,3.69,1.29,56.36,34.94,13.46,0.24,0.76,1.34,14.86,32.53,LEVE3,4.88,4.11,0.8,0.77,0.87,1.16
-6.58,0.2,0.62,0.0,0.0,-3.07,64.73,-0.04,5.01,-1.025.96,-574.77,0.22,7.81,-0.28,5.52,-0.52,1.08,-9.48,-1.51,-3.31,0.35,0.65,1.14,15.93,,ZAMP3,7.2,4.03,0.49,3.16,-451.19,0.74
7.63,0.09,0.72,7.52,57.16,1.17,14.98,2.73,3.32,5.65,3.28,0.16,1.03,-0.59,10.62,1.01,1.83,9.47,12.11,2.29,0.23,0.72,1.28,14.13,16.48,PFRM3,4.65,2.7,0.52,1.95,2.37,0.73
11.43,0.67,0.83,35.69,407.94,5.88,21.83,6.1,6.49,11.01,11.02,0.27,0.55,-1.2,3.95,0.29,0.41,7.28,2.78,4.65,0.33,0.51,2.78,11.66,15.13,MELK3,10.35,10.36,0.0,-0.01,-0.01,0.43
14.06,0.28,1.1,3.97,41.02,1.96,31.73,3.99,8.32,12.04,6.91,0.43,1.62,-0.99,8.28,0.65,1.57,7.82,7.41,3.07,0.39,0.61,1.9,12.03,11.65,PNVL3,5.77,3.31,0.82,2.46,5.13,0.98
8.72,4.45,2.05,12.99,112.66,51.05,100.0,5.56,0.0,-748.95,80.08,0.11,2.57,-10.08,7.58,1.78,0.02,23.53,-2.12,1.21,0.05,0.95,1.04,,,BRBI11,,,-19.18,,-748.95,0.0
12.93,1.16,2.71,6.23,80.18,9.0,36.72,22.03,32.54,11.91,5.28,0.41,3.67,-0.53,1.4,0.29,0.35,20.94,9.02,3.54,0.15,0.8,1.96,10.93,,KLBN3,8.06,3.58,3.44,4.55,6.72,4.19
5.8,0.81,1.02,12.3,51.21,14.01,35.03,17.18,21.71,4.61,4.73,0.6,1.81,-1.24,21.39,3.74,0.74,17.51,14.06,10.4,0.59,0.4,2.83,2.44,,VLID3,3.65,3.74,-0.03,-0.09,-0.12,0.34
6.31,0.87,0.77,4.86,40.88,13.86,29.53,15.35,17.27,7.46,5.7,0.37,0.61,-2.31,8.04,0.98,0.42,12.16,7.02,5.99,0.48,0.51,3.57,8.41,0.34,TRIS3,6.63,5.07,0.24,1.57,1.76,0.59
