P/L,P/RECEITA_(PSR),P/VP,DY,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel
"-107,66","3,51","18,40","0,00","0,00","-3,26","19,34","17,75","28,64","15,44","24,91","12,27","19,80","1,41","4,88","-2,52","7,88","-1,35","0,40","-17,09","9,18","-0,79","4,75","3,17","5,11","8,50","0,08","0,86","2,88","57,90",,AMBP3
"6,77","2,87","1,56","8,20","38,26","42,41","63,47","73,57","74,26","7,07","7,14","3,87","3,91","0,54","7,95","-0,64","7,06","1,63","0,19","23,08","15,54","8,01","1,30","3,20","3,23","1,40","0,35","0,65","1,85","2,20","-5,73",TAEE4
"8,38","0,69","0,85","6,69","48,86","8,27","36,44","11,31","0,00",,"5,84",,"6,13","0,08","-0,13","-0,11","16,31","1,65","0,12","10,09","10,85","1,01",,,,,"0,10","0,95","0,24","19,14","-1,49",SANB4
"-0,90","0,28","0,32","0,00","0,00","-31,51","-8,15","-21,52","-19,95","-6,65","-6,17","-1,42","-1,32","0,10","3,79","-0,15","5,14","-1,84","0,34","-35,79","-10,77","-11,02","1,18","-5,23","-4,85","1,57","0,30","0,69","1,08","18,95",,TCSA3
"6,77","2,87","1,56","8,21","38,26","42,41","63,47","73,57","74,26","7,07","7,14","3,87","3,90","0,54","7,94","-0,64","7,06","1,63","0,19","23,08","15,54","8,01","1,30","3,20","3,23","1,40","0,35","0,65","1,85","2,20","-5,73",TAEE3
"7,52","0,51","2,46","17,95","124,40","6,80","18,11","7,43","8,79","3,99","4,72","5,82","6,88","0,67","15,87","-2,15","1,82","0,60","1,31","32,67","20,63","8,92","-0,64","-1,52","-1,80","0,41","0,27","0,73","1,07","7,30","4,68",WHRL4
"-40,99","0,39","1,85","0,00","0,00","-0,95","33,20","13,58","24,84","3,73","6,83","1,57","2,88","0,26","-2,23","-0,31","1,59","-0,07","0,67","-4,51","15,60","0,13","2,55","2,16","3,96","3,04","0,14","0,85","0,58","20,36",,ALPK3
"4,90",,"0,66","12,73","66,13","0,00","0,00","0,00","0,00","4,82","4,82","5,17","5,17","0,65","9,70","-0,71","22,05","2,97","0,00","13,47","12,75","13,27","-0,08","-0,64","-0,64","0,00","0,99","0,01","5,83","-100,00","-4,47",BRAP3
"3,08","0,50","0,87","4,86","13,22","16,13","29,10","20,74","41,65","1,69","3,39","1,19","2,40","0,45","4,91","-0,79","14,98","4,21","0,91","28,11","23,16","14,70","0,29","0,40","0,81","0,32","0,52","0,48","1,27","18,47","30,29",EALT4
"4,86","0,23","375,31","0,00","0,00","4,73","41,02","13,83","15,60","2,36","2,66","1,47","1,66","0,38","-20,98","-0,83","0,00","0,28","1,67","7.721,40","49,19","7,90","277,35","1,09","1,23","400,27","0,00","1,00","0,97","5,97","12,75",BOBR4
"6,56","0,53","0,59","4,23","28,48","8,13","34,04","14,02","17,50","4,22","5,27","3,04","3,80","0,33","1,60","-0,54","28,64","2,60","0,61","9,07","9,55","4,96","0,22","1,13","1,41","0,40","0,55","0,45","2,06","10,50","10,79",EUCA4
"8,16","5,09","4,25","0,00","0,00","62,35","93,46","3,17","6,06","92,77","177,30","83,97","160,48","3,04","9,97","-4,74","0,78","0,40","0,60","52,13","-47,53","39,44","-0,20","-3,92","-7,50","0,00","0,72","0,23","6,84","0,05","10,55",FICT3
"11,87","0,10","0,26","0,00","0,00","0,81","29,30","2,65","5,27","1,84","3,66","1,82","3,61","0,12","5,00","-0,18","17,83","0,38","1,27","2,15","6,45","1,03","0,00","0,02","0,05","0,04","0,48","0,52","1,08","19,14","176,62",DMVF3
"-0,15","0,03","-0,03","0,00","0,00","-17,66","-13,74","-20,96","-20,42","-0,10","-0,10","-0,13","-0,13","0,02","-0,08","-0,43","-102,21","-19,82","0,84","-19,39","23,02","-14,77","0,01","0,03","0,03","0,00","-0,76","1,76","0,78","38,41",,RPMG3
"-3,80","1,42","0,56","0,00","0,00","-37,47","-10,99","13,16","48,52","10,08","37,18","2,93","10,82","0,14","-2,87","-0,15","2,04","-0,30","0,10","-14,86","1,82","-3,57","1,38","7,16","26,40","1,51","0,24","0,76","0,72","33,66",,RNEW3
"-0,77","0,09","-1,69","0,00","0,00","-11,75","7,72","-1,19","5,03","10,86","-45,96","1,81","-7,64","0,08","0,87","-0,12","-5,31","-11,64","0,83","-219,00","-12,82","-10,51","-8,52","9,09","-38,46","-11,60","-0,04","1,04","1,32","6,16",,BRKM3
"9,06","0,43","0,54","4,45","39,71","4,73","12,41","8,66","13,69","4,32","6,83","3,13","4,95","0,34","1,36","-0,55","27,08","1,61","0,80","5,95","6,70","3,80","0,17","0,96","1,52","0,33","0,63","0,37","2,89","9,54","6,69",GGBR3
"14,75","3,22","0,67","0,00","0,00","21,86","83,42","-44,59","-36,29","4,38","3,57","-8,89","-7,23","0,63","0,68","-25,68","5,77","0,26","0,19","4,53","-9,87","4,25","-1,00","13,27","10,80","0,00","0,94","0,06","16,47","7,81",,REAG3
"-8,51","0,48","0,56","0,00","0,00","-5,65","27,98","10,49","18,24","5,03","8,75","2,63","4,58","0,21","-47,35","-0,28","9,09","-0,59","0,43","-6,53","6,97","-1,94","0,51","2,40","4,17","0,62","0,38","0,61","0,98","6,01",,AALR3
"-6,49","0,28","0,70","0,00","0,00","-4,27","33,58","2,77","10,40","8,27","31,02","2,66","10,00","0,13","0,32","-0,39","1,55","-0,17","0,45","-10,83","1,83","-1,94","1,48","5,60","21,02","2,59","0,18","0,82","2,40","13,06",,PDTC3
"-1,41","0,47","0,41","0,00","0,00","-33,56","19,90","15,07","19,80","10,84","14,24","2,38","3,13","0,10","3,11","-0,14","2,77","-0,82","0,21","-29,49","2,37","-7,09","1,47","8,46","11,11","1,49","0,24","0,76","1,13","14,31",,LUPA3
"10,01","0,49","0,60","3,13","14,21","4,85","34,96","9,47","12,40","6,20","8,12","3,92","5,13","0,30","1,27","-0,71","10,01","0,60","0,62","6,01","6,87","3,01","0,42","2,75","3,60","0,59","0,50","0,50","1,70","-2,37","-21,97",TASA3
"6,10","0,93","0,95","3,97","24,15","15,17","54,67","16,13","19,30","4,95","5,92","4,80","5,74","0,56","1,24","-1,69","6,37","0,99","0,61","15,53","9,81","9,25","0,03","0,15","0,18","0,25","0,60","0,40","3,20","11,32",,TECN3
"6,75","0,14","0,47","16,29","55,23","2,08","12,00","3,42","4,40","3,78","4,87","3,20","4,12","0,22","0,66","-0,74","17,03","1,17","1,54","6,90","7,69","3,22","0,09","0,59","0,75","0,30","0,47","0,53","1,86","2,33","-8,01",ALLD3
"21,44","0,38","0,49","12,97","284,26","1,79","37,70","-2,82","4,66","13,47","-22,27","8,22","-13,58","0,23","3,13","-0,34","2,82","0,06","0,61","2,26","-4,75","1,08","0,31","5,25","-8,68","0,59","0,48","0,52","1,30","9,46","-22,22",UCAS3
"129,51","1,59","0,49","0,00","0,00","1,23","-41,13","19,12","80,01","-0,53","-2,20","1,99","8,34","0,17","0,44","-0,33","15,68","0,06","0,11","0,38","5,53","0,13","-0,88","-3,60","-15,07","0,01","0,36","0,64","6,45","11,03",,TELB4
"-7,38","0,84","0,51","0,00","0,00","-11,31","58,70","-14,88","5,75","6,93","-2,68","14,52","-5,61","0,39","1,75","-0,60","49,01","-3,41","0,46","-6,96","-9,88","-5,22","-0,27","-7,58","2,93","0,04","0,75","0,25","2,54","5,32",,NGRD3
"-3,08","6,36","1,41","0,00","0,00","-206,52","29,79","-208,33","-178,59","-3,21","-2,75","-3,56","-3,05","1,29","5,99","-1,81","4,67","-2,14","0,20","-45,90","-46,61","-42,02","-0,14","0,35","0,30","0,01","0,91","0,09","4,05",,,TRAD3
"-0,55","0,28","0,33","0,00","0,00","-50,60","16,85","-6,58","-2,73","-3,08","-1,28","-10,12","-4,21","0,11","0,68","-0,25","19,07","-11,56","0,39","-60,60","-9,08","-19,25","-0,23","7,04","2,93","0,54","0,32","0,67","1,37","30,94",,SHOW3
"6,95","0,75","1,42","5,12","36,25","10,73","24,92","17,38","23,04","6,34","8,41","3,24","4,29","0,33","5,08","-0,42","7,86","1,60","0,44","20,36","10,24","5,78","1,56","3,57","4,73","2,04","0,23","0,71","1,38","10,93","23,01",ENGI3
"8,14","1,28","1,50","6,23","51,61","15,78","42,13","22,26","32,99","3,81","5,65","3,89","5,77","1,05","16,97","-1,48","11,83","2,19","0,82","18,48","16,91","12,90","-0,03","-0,08","-0,12","0,13","0,70","0,30","1,27","4,86","14,33",CSUD3
"7,40","0,28","0,36","5,51","38,32","3,81","27,19","8,17","31,81","0,35","1,35","0,89","3,45","0,16","0,75","-0,31","10,25","0,50","0,56","4,84","8,06","2,13","-0,22","-0,54","-2,10","0,00","0,44","0,56","1,76",,,LVTC3
"-0,32","17,02","-0,05","0,00","0,00","-5.286,12","-48,00","-2.009,38","-1.838,21","-12,34","-11,29","-0,93","-0,85","0,08","-0,06","-0,09","-32,49","-5,22","0,00","-16,05","17,05","-25,38","-0,64","-11,46","-10,48","-0,64","-1,55","2,55","0,08","8,56",,INEP3
"-0,23","0,05","-0,20","0,00","0,00","-20,93","3,54","-4,51","-3,35","-0,15","-0,11","-1,44","-1,07","0,08","-0,53","-0,26","-20,19","-17,66","1,56","-87,44","43,71","-32,74","0,18","1,29","0,96","-0,02","-0,37","1,37","0,83","15,46",,FHER3
"8,70","0,38","0,64","4,69","35,13","4,38","17,55","13,41","21,47","4,43","7,09","1,78","2,84","0,22","-1,48","-0,28","44,01","3,25","0,58","7,40","10,88","2,56","1,03","2,85","4,56","1,07","0,35","0,65","0,57","8,58","7,91",COCE5
"3,26","0,77","0,60","11,05","36,44","23,65","10,24","25,41","0,00",,"2,99",,"3,03","0,07","0,55","-0,11","119,36","21,99","0,09","18,42","19,66","2,17","-0,01",,"-0,04","0,00","0,12","0,86","1,56","40,54","35,94",BAZA3
"7,97","0,13","0,46","3,74","30,02","1,63","12,41","8,64","13,62","1,92","3,03","0,95","1,50","0,10","0,41","-0,17","19,50","1,13","0,80","5,81","13,02","3,80","0,47","0,97","1,52","0,93","0,22","0,37","2,89","9,54","6,74",GOAU3
"8,31","2,22","1,10","3,07","24,91","26,72","71,15","71,29","75,47","5,95","6,30","2,94","3,12","0,30","2,74","-0,38","8,61","1,14","0,14","13,26","13,78","6,23","1,05","2,80","2,97","1,48","0,27","0,61","2,15","-7,18","-1,13",ALUP4
"100,61","14,44","1,46","0,66","65,63","14,35","93,70","31,99","36,42","43,26","49,26","39,64","45,14","1,12","-71,97","-1,19","7,58","0,11","0,08","1,46","2,69","1,11","0,13","3,62","4,12","0,14","0,76","0,24","0,80",,,LAND3
"-12,56","6,27","3,59","0,00","0,00","-49,89","11,63","-53,18","-45,38","-13,85","-11,81","-13,81","-11,78","2,01","6,52","-4,00","1,98","-0,57","0,32","-28,61","-181,15","-16,04","0,01","-0,04","-0,03","0,46","0,56","0,44","2,64","19,66",,BIOM3
"7,40","0,21","0,97","0,00","0,00","2,88","17,76","7,08","7,48","3,58","3,78","2,85","3,01","0,37","1,18","-1,29","3,22","0,42","1,76","13,17","19,61","5,07","0,25","0,73","0,78","0,31","0,38","0,62","1,81","21,02","10,29",NUTR3
"8,76","0,13","0,20","5,73","50,25","1,53","35,69","21,78","33,19","3,36","5,12","0,40","0,62","0,07","-0,15","-0,07","20,07","0,46","0,48","2,29","11,15","0,64","1,46","2,96","4,50","1,54","0,32","0,67","0,13","6,34","-36,55",TPIS3
"0,17","1,48","-0,17","0,00","0,00","847,38","-103,32","-68,99","-24,65","-24,53","-8,77","-6,00","-2,14","0,12","-1,07","-0,17","-44,41","42,57","0,08","-95,87","34,45","71,55","-0,67","-24,08","-8,61","-0,77","-0,75","1,74","0,70","-29,14",,OIBR4
"-0,04","0,03","-0,05","0,00","0,00","-86,99","-4,18","-59,21","-52,53","-0,77","-0,68","-0,06","-0,05","0,03","-0,03","-0,06","-118,43","-172,09","0,96","-145,31","433,24","-84,39","-0,62","-0,71","-0,63","-0,75","-0,58","1,58","0,33","-3,15",,AGXY3
"-0,27","14,19","-0,04","0,00","0,00","-5.286,12","-48,00","-2.009,38","-1.838,21","-12,34","-11,29","-0,77","-0,71","0,07","-0,05","-0,07","-32,49","-5,22","0,00","-16,05","17,05","-25,38","-0,64","-11,46","-10,48","-0,64","-1,55","2,55","0,08","8,56",,INEP4
"5,62","0,57","1,16","6,15","34,36","10,23","32,29","14,88","0,00",,"3,87",,"3,86","0,07","0,47","-0,09","7,23","1,50","0,12","20,68","20,68","1,24",,,,,"0,06","0,99","3,85","23,80","15,32",BEES3
"-36,32","2,28","0,68","9,69","-349,74","-6,27","40,60","20,99","32,86","13,48","21,10","6,93","10,85","0,38","2,02","-0,51","26,57","-0,50","0,17","-1,88","2,74","10,79","0,64","6,55","10,25","0,76","0,56","0,44","3,95","6,24","27,32",SCAR3
"5,74","0,27","0,42","5,87","33,74","4,69","14,84","6,42","11,24","4,70","8,23","2,40","4,19","0,21","0,61","-0,47","11,03","0,80","0,77","7,28","5,75","4,53","0,27","1,53","2,68","0,73","0,50","0,50","2,56","7,95","11,66",PTNT4
"-8,69","9,12","1,18","43,65","-418,47","-105,05","13,91","-51,42","-37,95","-18,68","-13,78","-24,05","-17,75","0,93","4,01","-1,24","3,68","-0,50","0,10","-13,56","-20,02","-10,73","-0,26","5,37","3,96","0,00","0,79","0,21","13,71","-56,52",,EPAR3
"7,04","0,18","0,72","3,67","42,37","2,54","26,63","9,86","12,85","5,64","7,36","1,39","1,81","0,12","0,44","-0,27","9,43","0,97","0,69","10,27","8,31","3,20","2,20","4,22","5,51","2,93","0,17","0,76","2,06","18,57","-7,02",RAPT3
"9,50","0,96","3,92","11,02","123,52","10,08","27,89","22,83","27,18","6,06","7,22","3,52","4,19","0,74","14,76","-1,01","12,04","4,98","0,78","41,32","18,59","7,84","2,92","2,62","3,12","3,18","0,19","0,81","1,24","6,96","10,24",EKTR4
"-0,71","0,28","0,22","0,00","0,00","-39,35","29,89","-34,81","-34,67","-0,83","-0,83","-0,80","-0,80","0,11","0,64","-0,20","3,71","-1,16","0,40","-31,20","-24,66","-14,51","0,01","-0,03","-0,03","0,15","0,51","0,47","1,71","20,70",,VIVR3
"6,31","0,37","0,78","1,49","14,93","5,79","29,01","8,80","0,00",,"4,19",,"4,16","0,04","0,05","-0,47","10,63","1,31","0,12","12,34","14,38","0,69","-0,04",,"-0,23","0,00","0,06","0,03","33,36","27,93","1,15",BSLI3
"-69,44","0,58","0,63","0,02","-1,69","-0,83","63,27","7,69","19,32","4,35","10,93","2,98","7,50","0,40","4,62","-0,56","9,03","-0,08","0,69","-0,91","6,33","-0,57","0,29","1,37","3,43","0,33","0,63","0,37","1,41","13,53",,VSTE3
"6,95","0,47","2,27","17,10","124,40","6,80","18,11","7,43","8,79","3,99","4,72","5,38","6,36","0,62","14,67","-1,99","1,82","0,60","1,31","32,67","20,63","8,92","-0,64","-1,52","-1,80","0,41","0,27","0,73","1,07","7,30","4,68",WHRL3
"5,19","0,73","0,57","11,85","52,09","14,07","52,20","10,20","14,24","3,17","4,43","5,12","7,16","0,40","1,49","-0,73","47,17","5,16","0,55","10,93","6,33","7,79","-0,22","-1,96","-2,74","0,00","0,71","0,29","2,52","10,34","7,84",CGRA4
"-11,01","0,49","-0,32","0,00","0,00","-4,48","81,88","2,95","20,73","2,04","14,28","2,38","16,71","0,42","-0,36","-0,65","-18,62","-0,55","0,86","-2,94","-1,27","-3,86","0,05","-0,35","-2,42","-0,23","-1,31","2,31","0,23",,,DOTZ3
"8,08","0,47","1,00","1,49","14,93","5,79","29,01","8,80","0,00",,"4,19",,"5,32","0,06","0,06","-0,60","10,63","1,31","0,12","12,34","14,38","0,69","-0,04",,"-0,23","0,00","0,06","0,03","33,36","27,93","1,15",BSLI4
"7,16","1,08","1,67","3,22","21,14","15,12","41,05","21,75","23,50","1,46","1,58","4,60","4,97","1,01","2,86","-2,32","41,32","9,66","0,93","23,37","21,53","14,07","-0,16","-0,43","-0,46","0,06","0,60","0,40","2,65","14,71",,RSUL4
"-0,08","0,08","-0,48","0,00","0,00","-104,72","-23,76","-84,38","-76,84","-1,64","-1,49","-0,11","-0,10","0,02","0,06","-0,28","-3,18","-19,35","0,28","-608,31","-86,72","-29,21","-6,84","-1,53","-1,39","-6,97","-0,05","1,17","1,76","51,02",,JFEN3
