Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,Papel,P/RECEITA_(PSR),PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Ticker_Img
"10,42","20,68","7,53","1,33","8,56",ITSA4,"13,97","70,89","185,53","28,63","207,75","222,59","6,48","6,95","6,27","6,72","1,04","19,05","-1,16","7,82","1,38","0,07","17,71","17,51","13,91","0,04","0,21","0,22","0,13","0,78","0,18","1,97","6,88","15,94",114.517.726.000,118.343.726.000,85.938.000.000,10.993.810.000,110.639.000.000,12.196.000.000,11.262.000.000,3.826.000.000,7.436.000.000,"80,00",Nível_1,"65,74",Financeiro,Holdings_Diversificadas,https://investidor10.com.br/storage/companies/66ad451089033.jpg
"4,40","-25,93","9,57","0,23","0,00",USIM5,"0,21","0,00","2,15","8,21","3,61","8,28","3,40","7,79","2,49","5,70","0,14","0,40","-0,24","19,37","0,46","0,66","2,37","2,54","1,31","0,04","0,42","0,96","0,32","0,60","0,33","4,16","10,73","-16,26",6.612.462.000,7.542.594.000,24.277.714.000,1.253.079.000,40.655.884.000,18.064.823.000,7.674.093.000,930.132.000,6.743.961.000,"0,00",Nível_1,"53,95",Materiais_Básicos,Siderurgia,https://investidor10.com.br/storage/companies/66cc984b13166.jpg
"9,81","-2,28","16,06","2,46","1,11",ASAI3,"0,18","17,56","1,10","16,61","5,28","7,51","4,46","6,34","2,35","3,34","0,30","16,38","-0,46","3,98","0,61","1,68","15,34","17,35","1,85","2,21","2,11","3,00","3,03","0,12","0,88","1,05","15,83","-11,90",13.264.541.000,25.181.541.000,5.385.000.000,1.352.144.000,44.685.000.000,15.707.000.000,16.319.000.000,11.917.000.000,4.402.000.000,"100,00",Nível_1,"99,82",Consumo_não_Cíclico,Alimentos,https://investidor10.com.br/storage/companies/66db00ee1c5a6.jpg
"15,67","33,69","8,02","0,95","8,00",BBDC4,"0,71","54,45","8,83","31,68","8,22","0,00",,"8,01",,"8,62","0,08","0,60","-0,41","16,43","1,95","0,11","11,89","10,09","0,98",,,,,"0,08","0,92","1,19","24,03","4,85",154.255.274.000,154.255.274.000,174.053.985.000,10.592.012.000,2.147.570.089.000,1.740.446.958.000,,,222.829.387.000,"80,00",Nível_1,"62,16",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66ad14dc6e8ce.jpg
"1,39","-52,88","-3,38","0,82","0,00",RAIZ4,"0,06","-2,44","-1,67","4,64","1,69","5,35","4,47","14,15","1,05","3,33","0,10","0,95","-0,18","1,70","-0,41","1,81","-24,20","3,82","-2,96","2,65","3,42","10,82","3,89","0,12","0,87","1,33",,,14.389.988.000,61.084.864.000,17.588.530.000,10.352.509.000,140.999.678.000,61.120.378.000,68.416.269.000,46.694.876.000,21.721.393.000,"100,00",Nível_1,"11,52",Consumo_não_Cíclico,Açucar_e_Alcool,https://investidor10.com.br/storage/companies/67b611aa30998.png
"16,98","41,38","14,07","1,75","4,43",LREN3,"1,22","59,24","8,65","60,83","9,85","18,33","6,19","11,53","6,64","12,36","0,97","4,25","-2,28","9,69","1,21","0,80","12,45","11,89","6,93","-0,12","-0,45","-0,83","0,04","0,56","0,44","1,67","14,43","3,12",17.991.153.000,16.784.802.000,10.265.765.000,1.059.549.000,18.457.504.000,10.556.391.000,424.456.000,-1.206.351.000,1.630.807.000,"100,00",Novo_Mercado,"98,89",Consumo_Cíclico,"Tecidos,_Vestuário_e_Calçados",https://investidor10.com.br/storage/companies/66d8ad73e5206.jpg
"12,41","11,57","13,26","2,12","7,51",ABEV3,"2,13","98,64","16,08","51,50","25,06","32,90","6,01","7,89","6,48","8,51","1,38","49,90","-1,93","5,87","0,94","0,65","15,95","19,15","10,68","-0,16","-0,48","-0,63","0,03","0,65","0,34","1,11","9,46","5,30",195.601.936.000,181.235.122.000,92.471.636.000,15.761.638.000,142.157.543.000,40.791.956.000,3.157.764.000,-14.366.814.000,17.524.578.000,"80,00",Tradicional,"27,89",Consumo_não_Cíclico,Cervejas_e_Refrigerantes,https://investidor10.com.br/storage/companies/66ad41a6082c3.jpg
"7,46","-34,27","-4,38","0,71","7,22",CSNA3,"0,22","-32,32","-5,05","26,35","10,30","19,25","4,92","9,19","1,15","2,15","0,10","1,10","-0,15","10,48","-1,70","0,44","-16,24","6,05","-1,68","2,33","3,77","7,04","3,71","0,14","0,83","1,35","8,25",,9.892.660.000,42.303.093.000,13.904.040.000,1.326.093.000,101.070.743.000,34.699.821.000,51.567.038.000,32.410.433.000,19.156.605.000,"0,00",Tradicional,"54,26",Materiais_Básicos,Siderurgia,https://investidor10.com.br/storage/companies/66d99e1c6bab5.jpg
"13,95","25,56","15,21","19,84","5,35",STBP3,"3,84","283,44","25,23","56,09","43,80","52,34","8,70","10,39","7,33","8,76","2,28","2.054,74","-2,71","0,70","0,92","0,59","130,43","32,20","14,96","3,69","1,37","1,63","4,32","0,11","0,89","1,01","27,60",,12.055.176.000,14.300.596.000,607.731.000,864.170.000,5.297.700.000,855.755.000,2.627.400.000,2.245.420.000,381.980.000,"100,00",Novo_Mercado,"99,02",Bens_Industriais,Serviços_de_Apoio_e_Armazenagem,https://investidor10.com.br/storage/companies/66db00d708456.jpg
"5,82","-55,23","-0,99","1,38","0,00",CSAN3,"0,25","0,00","-25,18","31,23","5,69","15,75","9,16","25,34","1,58","4,36","0,09","0,73","-0,11","4,23","-5,90","0,34","-139,63","-2,35","-8,13","6,62","7,58","20,98","8,50","0,06","0,73","2,13","26,51",,10.863.442.000,63.126.920.000,7.891.663.000,1.866.570.000,127.486.217.000,28.053.101.000,67.072.561.000,52.263.478.000,14.809.083.000,"100,00",Novo_Mercado,"62,18","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/66d9ad5180e2e.jpg
