Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
BPRP11,Outros,107.5,10.56,3.41,0.86,145107000,0,1,6230.68,69207.0,11.11,0.0
BRCO11,Logística,109.38,7.53,9.46,0.93,1739700000,3472230,12,3431.26,30612.0,8.92,4.41
BRCR11,Híbrido,41.71,11.76,13.6,0.48,1111080000,1325570,6,10037.10,1541.49,15.36,1.17
BREV11,Híbrido,105.0,6.59,0.0,0.0,101556000,0,13,000,1437.55,0.0,0.0
BRIM11,Residencial,530.1,-2.29,20.62,1.17,65805000,21838,1,129633.00,0.0,0.0,0.0
BRIP11,Híbrido,814.06,-4.2,35.74,1.14,175410000,36157,0,000,0.0,0.0,0.0
BRLA11,Outros,148.0,7.73,5.33,0.89,724795000,0,10,1083.60,8630.0,7.96,0.0
BROF11,Híbrido,51.98,11.24,11.76,0.47,603530000,718202,2,6485.28,1004.25,15.49,5.24
BTAL11,Outros,80.51,19.66,12.51,0.72,481670000,505328,9,1389.28,17963.0,12.93,0.0
BTCI11,Títulos e Val. Mob.,9.05,12.18,12.21,0.89,900667000,1674710,0,000,0.0,0.0,0.0
BTCR11,Títulos e Val. Mob.,88.0,12.48,0.0,0.92,423289000,0,0,000,0.0,0.0,0.0
BTHF11,Híbrido,8.66,7.1,7.52,0.85,1782630000,4125200,0,000,0.0,0.0,0.0
BTHI11,Hotel,40.21,10.14,10.54,0.58,370676000,29630,14,6540.26,75620.0,11.56,0.0
BTLG11,Híbrido,100.0,8.7,9.33,0.96,4324920000,6571450,27,3340.97,21559.0,6.45,3.39
BTML11,Híbrido,111.28,9.1,10.03,0.97,126321000,0,2,22431.30,2129.42,9.49,9.7
BTRA11,Outros,54.31,6.04,7.31,0.49,182729000,151447,6,124,14.0,11.49,24.97
BTSG11,Logística,159.05,8.83,7.33,1.05,123266000,0,1,6535.54,62713.0,9.6,0.0
