Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
"37,69","70,03","8,88","2,50","6,93",,TGMA3
"45,58","2,05","5,70","1,16","6,30",,ENGI11
"5,58","-14,15","-3,76","0,98","0,00",,ONCO3
"21,10","-14,09","4,28","0,67","10,93",,ISAE4
"1,64","7,51","123,65","0,36","0,34",,QUAL3
"16,95","-39,50","10,12","0,84","5,33",,SMTO3
"39,00","59,60","10,37","3,11","9,51",,DIRR3
"11,10","31,97","11,25","1,26","6,64",,CPLE3
"33,22","2,95","6,79","1,57","8,19",,TAEE11
"6,03","43,57","0,97","0,40","0,00",,LIGT3
"13,21","-28,11","6,98","0,87","16,44",,RECV3
"38,09","23,44","8,23","1,97","7,37",,CPFE3
"4,10","-39,56","198,83","0,36","6,90",,POSI3
"14,17","10,59","7,08","0,64","8,27",,EZTC3
"12,75","18,87","7,05","3,25","7,49",,PLPL3
"1,03","-47,18","-4,51","0,29","0,00",,MLAS3
"39,92","-4,53","9,68","2,70","5,79",,EGIE3
"13,55","30,48","8,51","1,63","1,40",,TTEN3
"29,53","43,35","11,94","7,60","4,91",,CURY3
"4,97","-16,64","6,67","1,21","7,69",,SHUL4
"1,35","-50,00","-0,89","0,13","0,00",,DASA3
"34,20","23,01","4,25","0,86","6,44",,SAPR11
"12,61","18,64","12,39","5,11","7,51",,ODPV3
"10,82","3,52","5,77","0,42","10,15",,BRSR6
"1,07","-51,36","-0,23","0,18","0,00",,VVEO3
"6,66","64,09","1,82","0,93","49,64",,SYNE3
"7,81","2,82","4,84","1,32","8,77",,RANI3
"4,56","-22,45","9,92","0,24","0,00",,USIM3
"8,58","0,00","29,97","1,45","1,23",,ALPA4
"6,63","17,61","4,12","0,83","6,84",,SAPR4
"7,89","13,30","12,10","0,73","1,53",,GUAR3
"3,27","-50,60","-22,31","0,50","0,00",,JALL3
"3,91","50,97","13,99","0,82","6,48",,PGMN3
"31,62","33,10","8,16","1,70","8,70",,ITUB3
"18,74","28,18","8,77","2,33","8,75",,VULC3
"1,37","-11,61","-4,51","0,40","0,00",,MEAL3
"7,57","-13,49","13,39","1,29","3,12",,BPAN4
"14,38","24,96","9,81","0,51","4,06",,MYPK3
"41,10","1,07","9,78","0,78","4,71",,ELET6
"23,57","26,91","19,41","2,99","2,59",,FRAS3
"4,51","-49,26","7,72","0,45","6,49",,CAML3
"3,44","6,32","7,00","0,46","11,72",,BMGB4
"22,17","71,36","6,74","1,17","5,54",,MDNE3
"6,44","-14,87","7,32","0,68","7,70",,FESA4
"1,01","-46,28","-9,82","0,65","0,00",,ENJU3
"10,33","-29,92","13,96","1,04","2,86",,SOJA3
"20,90","-4,72","4,90","0,79","9,16",,ABCB4
"8,00","55,83","17,16","0,82","1,92",,SEER3
"4,27","-7,44","-4,53","1,10","1,77",,MATD3
"47,36","12,23","61,98","5,09","0,00",,ORVR3
"29,54","1,29","8,62","1,14","2,93",,ALUP11
"7,40","29,29","6,99","2,00","3,36",,WIZC3
"4,91","-50,56","8,15","0,49","4,14",,TASA4
"3,71","6,40","6,61","0,39","13,42",,MTRE3
"11,42","6,48","9,38","1,80","4,43",,MILS3
"4,01","-7,82","-4,96","1,79","0,00",,PTBL3
"19,94","48,03","13,47","1,49","6,62",,BMOB3
"15,74","-36,51","-53,05","0,68","8,36",,TUPY3
"4,99","40,03","9,47","1,17","7,41",,CSED3
"15,25","-73,98","1,08","0,05","0,00",,GFSA3
"28,14","-8,53","7,63","4,30","9,32",,LEVE3
"3,73","13,30","7,76","1,11","2,64",,FIQE3
"14,99","42,38","31,05","2,04","0,35",,PRNR3
"0,97","-76,79","-0,03","-0,05","0,00",,SEQL3
"3,46","7,79","-6,61","0,63","0,00",,ZAMP3
"12,48","23,03","8,35","1,03","2,75",,BLAU3
