Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.273.325/0001-98,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,25% a.a. sobre patrimônio líquido (mínimo R$20.000,00 mensais)","0,00%",6.681,2.222.725,"R$ 85,09","R$ 189,14 Milhões","R$ 1,00",KIVO11
KINEA CRÉDITO AGRO FIAGRO,41.745.701/0001-37,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",75.263,21.599.908,"R$ 102,67","R$ 2,22 Bilhões","R$ 1,18",KNCA11
KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,16.706.958/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00 % a.a","0,00%",407.933,76.509.713,"R$ 101,83","R$ 7,79 Bilhões","R$ 1,20",KNCR11
KINEA HEDGE FUND FDO DE INV IMOB,42.754.342/0001-47,fii.GENERAL,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"1,2% a.a","5,10%",44.182,19.663.224,"R$ 99,00","R$ 1,95 Bilhão","R$ 1,00",KNHF11
KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.130.708/0001-28,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,60% a.a","0,00%",25.687,28.169.496,"R$ 99,32","R$ 2,80 Bilhões","R$ 1,35",KNHY11
KINEA INDICES DE PRECOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,24.960.430/0001-13,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00 % a.a","0,00%",72.792,80.078.175,"R$ 92,19","R$ 7,38 Bilhões","R$ 1,04",KNIP11
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.423.780/0001-97,fii.QUALIFIED_INVESTOR,Desenvolvimento para venda,Outros,Fundo misto,Determinado,Ativa,"1,0% a.a","0,00%",6.012,18.547.150,"R$ 0,67","R$ 12,47 Milhões","R$ 0,04",KNRE11
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,12.005.956/0001-65,fii.GENERAL,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,25% a.a","4,56%",300.027,28.204.036,"R$ 161,84","R$ 4,56 Bilhões","R$ 1,00",KNRI11
KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.864.448/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,20% a.a sobre patrimônio liquido","0,00%",215.699,202.202.374,"R$ 8,80","R$ 1,78 Bilhão","R$ 0,10",KNSC11
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,42.754.362/0001-18,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",36.913,15.312.506,"R$ 101,34","R$ 1,55 Bilhão","R$ 1,35",KNUQ11
KINEA OPORTUNIDADES AGRO I,51.475.461/0001-51,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",3.532,354.666,"R$ 986,49","R$ 349,89 Milhões","R$ 13,00",KOPA11
Kinea Oportunidades Real Estate,52.219.978/0001-42,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,"9,64%",24.059,9.624.989,"R$ 106,01","R$ 1,02 Bilhão","R$ 1,25",KORE11
,,,,,,,,,,,,,,,LAFI11
LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.248.158/0001-46,Geral,Desenvolvimento para renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"1,10% a.a sobre patrimônio líquido (minimo R$105.000,00 mensais)","4,20%",398,2.940.287,"R$ 142,50","R$ 419,01 Milhões","R$ 0,85",LASC11
