Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
FYTO RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO IMOBILIÁRIO,42.537.438/0001-53,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,"1,2%","0,00%",8.128,4.459.941,"R$ 10,62","R$ 47,37 Milhões","R$ 0,10",NCRA11
NAVI CRÉDITO IMOBILIÁRIO,40.041.603/0001-56,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",1.123,3.949.988,"R$ 9,97","R$ 39,37 Milhões","R$ 0,11",NCRI11
NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.527.626/0001-47,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a","0,00%",9.426,2.817.401,"R$ 131,24","R$ 369,75 Milhões","R$ 0,95",NEWL11
NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.793.782/0001-78,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,48% a.a.","38,52%",1.134,741.989,"R$ 77,75","R$ 57,69 Milhões","R$ 0,07",NEWU11
NEX CRÉDITO AGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO IMOBILIÁRIO,52.044.477/0001-72,Investidor Qualificado,Renda,Fiagros,Fundo de papel,Indeterminado,Ativa,"1,16% a.a.","0,00%",604,698.489,"R$ 99,93","R$ 69,80 Milhões","R$ 0,98",NEXG11
NESTPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.814.916/0001-43,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"0,55% a.a.","0,00%",767,119.579,"R$ 15,22","R$ 1,82 Milhão","R$ 1,20",NPAR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL NOSSA SENHORA DE LOURDES,08.014.513/0001-63,Geral,Renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,"2,50% sobre total da receita mensal (minimo R$18.000,00 mensais)","0,00%",5.523,1.293.275,"R$ 209,95","R$ 271,53 Milhões","R$ 1,56",NSLU11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - NOVO HORIZONTE,17.025.970/0001-44,Investidor Qualificado,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Ativa,"0,10% a.a","0,00%",1.849,41.494.522,"R$ 16,60","R$ 688,81 Milhões","R$ 0,09",NVHO11
OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.273.290/0001-97,Investidor Qualificado,Desenvolvimento para venda,Residencial,Fundo de desenvolvimento,Indeterminado,Ativa,"0,04% a.a.","0,00%",103,141.268,"R$ 1.321,41","R$ 186,69 Milhões","R$ 72,44",OBAL11
OCTO FDO DE INV IMOB,44.680.435/0001-08,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo misto,Indeterminado,Ativa,,"0,00%",470,422.975,"R$ 89,92","R$ 38,03 Milhões","R$ 0,60",OCRE11
ÓRAMA HIGH YIELD FDO INV IMOB,47.240.631/0001-41,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",1.560,2.715.362,"R$ 9,49","R$ 25,78 Milhões","R$ 0,09",OGHY11
OURINVEST INNOVATION,41.218.352/0001-03,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",12.463,9.032.988,"R$ 9,84","R$ 88,86 Milhões","R$ 0,11",OIAG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,12.948.291/0001-23,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,25% a.a sobre patrimônio liquido","0,00%",2.597,910.989,"R$ 182,79","R$ 166,52 Milhões","R$ 0,02",ONEF11
OURO PRETO DESENVOLVIMENTO IMOBILIÁRIO I FUNDO DE INVESTIMENTO IMOBILIÁRIO,19.107.604/0001-60,Geral,Títulos e valores mobiliários,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,"1,20% a.a sobre PL (até 100M); 1,0% a.a (entre 100 e 200M); 0,80% a.a (mais de 200M)","0,00%",6,289.989,"R$ 143,99","R$ 41,76 Milhões","R$ 1,38",ORPD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - OURINVEST CYRELA,28.516.650/0001-03,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"1,05% a.a","0,00%",0,533.905,"R$ 157,33","R$ 84,00 Milhões","R$ 0,65",OUCY11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - OURINVEST FUNDO DE FUNDOS,30.791.386/0001-68,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,35% a.a.","0,00%",6.997,1.814.325,"R$ 78,55","R$ 142,52 Milhões","R$ 0,76",OUFF11
OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.091.656/0001-50,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,05% a.a","0,00%",25.200,3.252.373,"R$ 100,26","R$ 326,07 Milhões","R$ 1,15",OUJP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,13.974.819/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",3.605,2.481.272,"R$ 61,83","R$ 153,42 Milhões","R$ 0,77",OULG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST RENDA ESTRUTURADA,28.516.650/0001-03,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,05% a.a sobre patrimônio líquido","0,00%",6.118,1.077.076,"R$ 100,43","R$ 108,17 Milhões","R$ 1,09",OURE11
PATAGÔNIA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,53.764.894/0001-52,Investidor Qualificado,Renda,Outros,Outro,Indeterminado,Ativa,"1,17% a.a.","0,00%",231,1.701.996,"R$ 10,00","R$ 17,02 Milhões","R$ 0,09",PATA11
PÁTRIA EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.048.651/0001-12,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,175% a.a","34,70%",5.732,3.477.423,"R$ 41,24","R$ 143,42 Milhões","R$ 0,15",PATC11
PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.754.164/0001-99,Geral,Desenvolvimento para renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,73%","8,80%",26.055,4.991.524,"R$ 96,69","R$ 482,62 Milhões","R$ 0,57",PATL11
,,,,,,,,,,,,,,,PDDA11B
PERFORMA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.736.510/0001-43,Investidor Qualificado,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"0,10% a.a. sobre patrimônio líquido","0,00%",292,551.989,"R$ 62,16","R$ 34,31 Milhões","R$ 0,51",PEMA11
VBI AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.754.734/0001-52,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"1,0% a.a. sobre o Patrimônio Líquido","0,00%",16.410,5.221.828,"R$ 60,75","R$ 317,25 Milhões","R$ 0,46",PLAG11
PLURAL CRÉDITO AGRO,41.272.747/0001-86,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",2.595,557.008,"R$ 95,39","R$ 53,14 Milhões","R$ 1,00",PLCA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PLURAL RECEBÍVEIS,32.527.683/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,20% a.a","0,00%",14.834,2.109.158,"R$ 91,38","R$ 192,73 Milhões","R$ 0,90",PLCR11
PLURAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.198/0001-34,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,7% a.a sobre patrimônio líquido (minimo R$44.322,87 mensais)","0,00%",3.290,749.989,"R$ 106,36","R$ 79,77 Milhões","R$ 0,70",PLOG11
POLO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS I,14.080.689/0001-16,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a","0,00%",896,954.293,"R$ 18,22","R$ 17,39 Milhões","R$ 1,36",PLRI11
SPECIALE REAL ESTATE FUND OF FUNDS FUNDO DE INVESTIMENTO IMOBILIÁRIO,50.135.849/0001-40,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Outro,Determinado,Ativa,"0,35% a.a.","0,00%",188,975.896,"R$ 87,72","R$ 85,60 Milhões","R$ 0,84",PMFO11
Paramis Hedge Fund,51.868.778/0001-58,Geral,Títulos e valores mobiliários,Híbrido,Outro,Indeterminado,Ativa,,"0,00%",7.134,14.803.231,"R$ 9,30","R$ 137,65 Milhões","R$ 0,09",PMIS11
PANORAMA CRÉDITO RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,50.569.855/0001-06,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"0,70% a.a.","0,00%",108,499.989,"R$ 53,54","R$ 26,77 Milhões","R$ 0,72",PNCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANORAMA DESENVOLVIMENTO LOGÍSTICO,37.899.400/0001-90,Investidor Qualificado,Híbridos,Outros,Fundo de desenvolvimento,Determinado,Ativa,"1,50% a.a.","10,60%",49,144.321,"R$ 1.061,35","R$ 153,19 Milhões","R$ 3,41",PNDL11
PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.813.118/0001-22,Investidor Qualificado,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido","8,40%",18,897.805,"R$ 38,21","R$ 34,30 Milhões","R$ 1,23",PNPR11
PANORAMA REAL ESTATE CRÉDITO FUNDO DE INVESTIMENTO IMOBILIÁRIO,46.157.348/0001-98,Investidor Qualificado,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,"1,00% a.a.","0,00%",100,410.089,"R$ 54,11","R$ 22,19 Milhões","R$ 0,60",PNRC11
POLO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS II,17.156.502/0001-09,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,90% a.a.","0,00%",43.642,37.283.739,"R$ 9,61","R$ 358,40 Milhões","R$ 0,09",PORD11
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.978.943/0001-72,Geral,Desenvolvimento para renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,2% a.a","0,00%",468,13.991.879,"R$ 55,43","R$ 775,55 Milhões","R$ 0,47",PQAG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - PARQUE DOM PEDRO SHOPPING CENTER,10.869.155/0001-12,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,23% a.a","4,87%",3.355,100.550,"R$ 3.361,75","R$ 338,06 Milhões","R$ 24,50",PQDP11
PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.056.001/0001-62,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"1,50% a.a sobre patrimônio líquido","0,00%",980,3.231.236,"R$ 3,32","R$ 10,72 Milhões","R$ 0,33",PRSN11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - PRESIDENTE VARGAS,11.281.322/0001-72,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,375% a.a","100,00%",829,217.932,"R$ 146,71","R$ 31,97 Milhões","R$ 14,10",PRSV11
FUNDO DE INV IMOB RBR CRÉD PULVERIZADO RESP LTDA,53.018.363/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",908,12.000.229,"R$ 9,87","R$ 118,48 Milhões","R$ 0,09",PULV11
PLURAL RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.210/0001-00,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"0,70% a.a. sobre patrimônio líquido","0,00%",16,1.135.149,"R$ 111,28","R$ 126,32 Milhões","R$ 1,02",PURB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES,35.652.102/0001-76,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 20.000,00 mensais)","13,40%",162.489,27.130.056,"R$ 105,13","R$ 2,85 Bilhões","R$ 0,50",PVBI11
QUASAR AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.754.734/0001-52,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"0,25% sobre o Patrimônio Líquido","0,00%",17.726,5.039.989,"R$ 60,52","R$ 305,01 Milhões","R$ 0,46",QAGR11
QUASAR CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.400.264/0001-29,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre o patrimônio líquido (mínimo de R$ 36.000,00 mensais)","0,00%",1.436,801.387,"R$ 94,51","R$ 75,74 Milhões","R$ 1,00",QAMI11
QUATÁ IMOB. FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.736.432/0001-87,Geral,Títulos e valores mobiliários,Outros,Outro,Indeterminado,Passiva,"1,00% a.a","0,00%",159,149.989,"R$ 95,13","R$ 14,27 Milhões","R$ 0,55",QIFF11
,,,,,,,,,,,,,,,QIRI11
QUATÁ MONETAI FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.736.432/0001-87,Geral,Títulos e valores mobiliários,Outros,Fundo de fundos,Indeterminado,Passiva,"1,00% a.a","0,00%",109,149.989,"R$ 101,47","R$ 15,22 Milhões","R$ 0,87",QMFF11
JHSF RIO BRAVO FAZENDA B. VISTA CAP. PROT. - FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.915.868/0001-51,Geral,Híbridos,Títulos e Valores Mobiliários,Fundo de desenvolvimento,Determinado,Passiva,"0,10% a.a","0,00%",3.470,1.254.153,"R$ 100,84","R$ 126,47 Milhões","R$ 0,22",RBBV11
RB CAPITAL OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.894.369/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,25% a.a sobre patrimônio liquido (minimo R$15.000,00 mensais)","0,00%",9.243,3.778.990,"R$ 85,42","R$ 322,81 Milhões","R$ 0,20",RBCO11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.945.604/0001-27,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"1,4% a.a","0,00%",827,126.512,"R$ 18,21","R$ 2,30 Milhões","R$ 2,35",RBDS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL,13.873.457/0001-52,Geral,Desenvolvimento para renda,Educacional,Fundo de Tijolo,Indeterminado,Ativa,"0,37% a.a","8,60%",10.729,2.355.011,"R$ 0,00","R$ 235,52 Milhões","R$ 0,68",RBED11
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,17.329.029/0001-14,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,80% a.a","0,00%",26.052,3.749.204,"R$ 60,89","R$ 228,30 Milhões","R$ 0,51",RBFF11
RB CAPITAL GENERAL SHOPPING SULACAP FUNDO DE INVESTIMENTO IMOBILIÁRIO,13.652.006/0001-95,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,23% a.a","0,00%",2.803,1.077.989,"R$ 90,78","R$ 97,87 Milhões","R$ 0,18",RBGS11
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.647.758/0001-87,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",9.470,2.167.946,"R$ 87,71","R$ 190,15 Milhões","R$ 0,80",RBHG11
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.899.479/0001-50,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",3.250,1.893.494,"R$ 93,19","R$ 176,46 Milhões","R$ 1,05",RBHY11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.161.410/0001-48,Geral,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"2,0% a.a","0,00%",1.498,1.528.604,"R$ 91,81","R$ 140,34 Milhões","R$ 1,00",RBIR11
RIO BRAVO CRÉDITO IMOBILIÁRIO IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.647.758/0001-87,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,50% a.a","0,00%",2.440,1.024.351,"R$ 99,04","R$ 101,45 Milhões","R$ 0,75",RBIV11
RB CAPITAL LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.227/0001-04,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido (mínimo R$20.000,00 mensais)","0,00%",248,640.188,"R$ 67,23","R$ 43,04 Milhões","R$ 0,45",RBLG11
RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS FII,13.500.306/0001-59,Geral,Renda,Outros,Outro,Indeterminado,Ativa,"1,1%","76,90%",3.170,101.653,"R$ 686,68","R$ 69,81 Milhões","R$ 3,50",RBOP11
RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.006.914/0001-34,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,"0,17% a.a.","16,00%",7.574,1.851.775,"R$ 64,87","R$ 120,12 Milhões","R$ 0,50",RBRD11
RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.529.279/0001-51,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,20% a.a sobre patrimônio líquido (mínimo de R$23.000,00 mensais)","0,00%",118.445,136.807.689,"R$ 8,59","R$ 1,17 Bilhão","R$ 0,06",RBRF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR DESENVOLVIMENTO III,32.441.656/0001-36,Investidor Qualificado,Renda,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"0,20% a.a. sobre patrimônio líquido","0,00%",113,139.654,"R$ 813,44","R$ 113,61 Milhões","R$ 60,50",RBRI11
RBR LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.463/0001-33,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido (minimo R$20.000,00 mensais)","0,00%",13.529,6.687.024,"R$ 105,03","R$ 702,33 Milhões","R$ 0,75",RBRL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR DESENVOLVIMENTO,26.314.437/0001-93,Investidor Qualificado,Renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,"0,20% a.a. sobre patrimônio líquido","0,00%",49,528,"R$ 5.306,31","R$ 2,86 Milhões","R$ 5.302,02",RBRM11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PROPERTIES,21.408.063/0001-51,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,12% a.a","4,27%",65.316,12.179.176,"R$ 76,31","R$ 929,42 Milhões","R$ 0,40",RBRP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR RENDIMENTO HIGH GRADE,29.467.977/0001-03,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,15% a.a. sobre o patrimônio líq. do Fundo","0,00%",125.317,15.057.190,"R$ 92,35","R$ 1,39 Bilhão","R$ 0,90",RBRR11
RIO BRAVO RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.517.660/0001-91,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 35.000,00 mensais)","21,85%",1.013,1.734.288,"R$ 96,32","R$ 167,05 Milhões","R$ 0,07",RBRS11
FII RBR MULT,41.088.458/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,"0,00%",12.332,29.468.648,"R$ 9,66","R$ 284,81 Milhões","R$ 0,09",RBRX11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PRIVATE CRÉDITO IMOBILIÁRIO,30.166.700/0001-11,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido do fundo (minimo R$20.000,00 mensais)","0,00%",59.258,12.769.501,"R$ 96,36","R$ 1,23 Bilhão","R$ 1,10",RBRY11
RB CAPITAL TFO SITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.299.737/0001-39,Investidor Qualificado,Híbridos,Outros,Fundo de desenvolvimento,Determinado,Ativa,"0,12% a.a. sobre patrimônio líquido","0,00%",134,56.514,"R$ 380,29","R$ 21,50 Milhões","R$ 6,19",RBTS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII,15.576.907/0001-70,Geral,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,35% a.a","4,80%",73.046,156.143.039,"R$ 10,66","R$ 1,66 Bilhão","R$ 0,09",RBVA11
RIO BRAVO CRÉDITO IMOBILIÁRIO II FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.769.670/0001-44,Geral,Renda,Outros,Fundo de papel,Determinado,Ativa,"0,75% a.a","0,00%",0,0,"R$ 0,00","R$ 2,88 Milhões","R$ 0,01",RBVO11
RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.670/0001-41,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Determinado,Ativa,"0,20% a.a. sobre patrimônio líquido","0,00%",122,323.189,"R$ 102,25","R$ 33,05 Milhões","R$ 5,30",RCFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,7% a.a sobre valor de mercado (minimo R$25.000,00 mensais)","0,80%",28.788,3.690.684,"R$ 200,86","R$ 741,32 Milhões","R$ 0,44",RCRB11
RB CAPITAL RENDIMENTOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.511.274/0001-39,Investidor Qualificado,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,00% a.a. sobre patrimônio líquido (mínimo R$31.000,00 mensais)","0,00%",144,51.001,"R$ 365,40","R$ 18,64 Milhões","R$ 12,48",RCRI11B
,,,,,,,,,,,,,,,RDES11
V2 RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.120.027/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Determinado,Ativa,"0,90% a.a","0,00%",2.245,7.508.321,"R$ 10,26","R$ 77,06 Milhões","R$ 0,12",RDPD11
REC FUNDO DE CRI COTAS AMORTIZÁVEIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,53.260.548/0001-37,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",211,5.453.764,"R$ 9,89","R$ 53,92 Milhões","R$ 0,11",RECD11
REC MULTIESTRATÉGIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,56.430.935/0001-62,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,,"0,00%",640,8.400.506,"R$ 9,81","R$ 82,39 Milhões","R$ 0,12",RECM11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS,28.152.272/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a","0,00%",169.458,26.441.639,"R$ 89,24","R$ 2,36 Bilhões","R$ 1,05",RECR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA,32.274.163/0001-59,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"0,17% a.a","9,80%",53.819,8.543.482,"R$ 90,90","R$ 776,60 Milhões","R$ 0,37",RECT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO REC FUNDO DE FUNDOS,36.642.356/0001-76,Geral,Títulos e valores mobiliários,Outros,Fundo de fundos,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido (minimo R$15.000,00 mensais)","0,00%",572,218.302,"R$ 72,48","R$ 15,82 Milhões","R$ 0,60",RECX11
SINGULARE FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.841.067/0001-99,Investidor Qualificado,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"1,36% a.a. sobre patrimônio líquido","0,00%",59,26.280,"R$ 300,76","R$ 7,91 Milhões","R$ 2,48",REIT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA,37.112.770/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,175% a.a","3,00%",4.277,1.334.551,"R$ 89,41","R$ 119,32 Milhões","R$ 0,68",RELG11
CPV ENERGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,54.174.907/0001-04,Geral,Renda,Outros,Outro,Indeterminado,Ativa,"1,25% a.a.","0,00%",480,1.026.783,"R$ 9,43","R$ 9,68 Milhões","R$ 0,02",RENV11
