Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
HCHG11;Papéis;78,33;6.004,95;0,65;0,86 ;2,59 ;6,18 ;13,92 ;0,86 ;1,03 ;1,16 ;11,43 ;-4,91 ;-4,09 ;33,13 ;112.666.831,15;93,89;0,83;0,76 ;-7,15 ;-6,45 ;8,04 ;14;39,34;596
HCRA11;Indefinido;10,22;0,83;14,85;145,30 ;0,00 ;147,10 ;241,63 ;0,00 ;24,52 ;20,14 ;233,94 ;2,20 ;150,70 ;11,17 ;55.039.698,98;;;0,00 ;0,00 ;0,00 ;0,00 ;0;1.358,75;113
HCRI11;Hospitalar;278,91;22.038,32;2,73;0,94 ;3,12 ;6,39 ;13,02 ;1,04 ;1,07 ;1,09 ;9,66 ;11,84 ;12,90 ;34,48 ;65.177.858,47;325,89;0,86;0,84 ;5,82 ;6,71 ;14,20 ;1;36,90;2.980
HCTR11;Papéis;22,92;636.832,18;0,30;1,32 ;4,23 ;8,48 ;20,84 ;1,41 ;1,41 ;1,74 ;16,21 ;-0,91 ;0,39 ;11,14 ;2.300.499.467,21;104,17;0,22;0,29 ;-14,18 ;-13,93 ;1,48 ;14;38,05;137.472
HDEL11;Imóveis Industriais e Logísticos;100,01;16,67;14,03;0,00 ;0,00 ;0,00 ;11,84 ;0,00 ;0,00 ;1,69 ;0,00 ;0,00 ;0,00 ;;91.223.658,80;;;;;;;1;64,49;108
HFOF11;Fundo de Fundos;6,19;908.395,82;0,06;0,91 ;2,81 ;5,69 ;12,06 ;0,94 ;0,95 ;1,01 ;10,03 ;3,89 ;4,83 ;27,02 ;1.675.236.708,81;7,28;0,85;0,77 ;-91,00 ;-90,93 ;-90,55 ;14;15,02;74.298
HGAG11;Indefinido;11,34;362,13;0,06;0,50 ;1,97 ;10,96 ;18,16 ;0,66 ;1,83 ;1,51 ;14,54 ;-21,05 ;-20,66 ;19,45 ;5.832.186,37;23,49;0,48;0,43 ;0,00 ;0,00 ;0,00 ;0;132,47;1.092
HGBL11;Misto;8,82;176.673,23;0,07;0,82 ;2,51 ;5,22 ;12,22 ;0,84 ;0,87 ;1,02 ;9,15 ;4,02 ;4,87 ;0,51 ;236.588.282,63;;;;;;;1;15,52;4.618
HGBS11;Shoppings;20,36;1.985.935,68;0,15;0,73 ;2,32 ;4,80 ;10,24 ;0,77 ;0,80 ;0,85 ;8,47 ;6,79 ;7,57 ;24,44 ;2.783.066.265,17;21,55;0,94;0,70 ;-90,29 ;-90,22 ;-89,17 ;17;14,67;133.915
HGCR11;Papéis;95,05;1.767.693,18;1,05;1,10 ;3,36 ;6,75 ;13,56 ;1,12 ;1,13 ;1,13 ;11,40 ;3,03 ;4,16 ;21,31 ;1.491.699.899,78;96,75;0,98;1,09 ;-4,17 ;-3,13 ;10,15 ;14;13,36;100.378
