cotação,variação_12m,p_l,p_vp,dy,papel
1.60,37.50,0.99,0.16,0.00,dasa3
12.75,21.12,12.15,5.45,7.68,odpv3
16.08,39.83,8.19,1.79,1.19,tten3
10.35,26.07,19.24,1.75,2.35,bpan4
10.44,44.46,27.44,1.73,1.04,alpa4
4.01,4.92,7.69,0.52,7.93,bmgb4
9.86,9.40,11.96,0.89,1.20,guar3
39.17,18.42,7.53,1.77,7.69,taee11
23.24,15.33,5.23,0.86,8.45,abcb4
5.33,16.59,2.14,0.32,0.00,usim3
23.02,8.86,18.48,2.85,2.66,fras3
5.01,61.53,6.50,0.74,9.25,syne3
40.68,0.32,11.03,2.70,5.14,egie3
0.88,28.46,8.60,0.58,0.00,enju3
10.86,6.61,6.06,0.39,4.61,mypk3
5.43,27.61,11.56,0.55,5.37,caml3
6.80,30.56,4.43,0.87,6.64,sapr4
1.29,1.53,2.81,0.39,0.00,meal3
3.93,27.18,11.58,0.80,6.44,pgmn3
4.79,20.54,6.34,1.13,6.96,shul4
8.69,24.91,5.34,1.45,8.27,rani3
2.64,55.18,14.29,0.40,0.00,jall3
33.75,24.65,10.72,1.30,2.71,alup11
3.63,9.36,6.69,0.39,14.10,mtre3
5.00,42.97,5.35,0.50,4.05,tasa4
22.96,63.97,15.86,1.77,7.41,bmob3
13.42,31.31,10.43,2.05,3.79,mils3
10.40,18.94,13.88,1.04,1.44,soja3
23.23,57.51,5.43,2.55,20.61,vulc3
28.65,91.00,7.49,1.44,4.44,mdne3
35.68,39.12,8.98,1.85,7.91,itub3
7.83,7.96,10.15,0.82,6.31,fesa4
60.24,56.58,23.53,1.31,6.48,elet6
55.30,17.51,58.49,3.27,0.00,orvr3
4.20,1.42,10.79,0.96,1.77,matd3
5.91,80.94,0.68,0.03,0.00,gfsa3
0.01,99.20,0.00,0.00,0.00,pdgr3
