valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
7130954000,17581731000,12403468000,464557000,42140541000,8373555000,15881996000,10450777000,5431219000,100.00,novo mercado,99.91,petróleo. gás e biocombustíveis,exploração. refino e distribuição,brav3
26565478000,26239484000,5077357000,599401000,9219852000,3145240000,1679735000,325994000,2005729000,100.00,novo mercado,87.53,tecnologia da informação,programas e serviços,tots3
45004543000,78324820000,25487173000,1082620000,81318753000,17427494000,41569526000,33320277000,8249249000,100.00,novo mercado,79.72,consumo cíclico,aluguel de carros,rent3
3018719000,5661978000,2203050000,760382000,6876136000,2378352000,3738632000,2643259000,1095373000,100.00,novo mercado,99.93,bens industriais,transporte hidroviário,hbsa3
11086105000,19834461000,19368000000,993705000,87319904000,33463871000,18643907000,8748356000,9895551000,100.00,nível 1,70.19,materiais básicos,siderurgia,goau4
109218603000,120498609000,68438152000,3226546000,123899419000,24248764000,18076567000,11280006000,6796561000,80.00,tradicional,24.64,telecomunicações,telecomunicações,vivt3
79034000,79027000,151852000,197585000,186882000,200000,,7000,7000,0.00,novo mercado,0.00,materiais básicos,petroquímicos,azte3
11523000,881464000,201372000,104756000,1466247000,732429000,971265000,869941000,101324000,100.00,nível 1,82.23,telecomunicações,telecomunicações,ifcm3
67463000,67459000,23642000,31822000,41658000,13921000,,4000,4000,0.00,tradicional,61.28,bens industriais,material rodoviário,rcsl4
2108152000,9347828000,3056777000,349724000,17465355000,9104660000,8965671000,7239676000,1725995000,80.00,nível 1,59.71,bens industriais,material rodoviário,rapt4
331853000,8875853000,1539000000,95086000,33525000000,14020000000,10427000000,8544000000,1883000000,100.00,novo mercado,99.75,consumo cíclico,eletrodomésticos,bhia3
64575957000,67306295000,19070634000,740465000,66844714000,36550604000,12117600000,2730338000,9387262000,100.00,novo mercado,99.20,bens industriais,material aeronáutico e de defesa,embr3
184226106000,184226106000,175635225000,10592012000,2202774724000,1788672711000,,,225625971000,100.00,nível 1,62.16,financeiro,bancos,bbdc3
23112010000,49212397000,10239102000,6179682000,62163679000,16586925000,35826069000,26100387000,9725682000,100.00,nível 2,63.92,materiais básicos,papel e celulose,klbn11
7809041000,18384247000,5382919000,622730000,20046325000,3074956000,11584036000,10575206000,1008830000,100.00,novo mercado,68.34,utilidade pública,energia elétrica,srna3
14931591000,18151408000,5639224000,586242000,18455968000,3965927000,5952367000,3219817000,2732550000,0.00,tradicional,52.44,consumo cíclico,atividades esportivas,smft3
411162266000,730752266000,399222000000,12888732000,1174890000000,135859000000,371437000000,319590000000,51847000000,100.00,nível 2,60.70,petróleo. gás e biocombustíveis,exploração. refino e distribuição,petr3
45000000000,43886600000,13330716000,3000000000,14423704000,1717451000,,1113400000,1113400000,100.00,novo mercado,17.25,financeiro,seguradoras,cxse3
18119441000,61182651000,2834441000,857928000,137817432000,53153889000,66039994000,43063210000,22976784000,novo mercado,33.58,100.00,consumo não cíclico,carnes e derivados,mrfg3
