p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebitda,ev_ebit,p_ebitda,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,papel,cagr_lucros_5_anos
87.56,0.50,0.57,0.21,0.00,0.57,85.28,12.92,35.75,3.15,8.73,1.40,3.87,0.20,2.42,0.29,4.62,0.03,0.40,0.65,7.09,0.44,0.72,1.76,4.86,1.05,0.35,0.65,0.79,5.76,qual3,46.86
6.11,0.30,0.52,8.95,54.69,4.86,30.91,5.52,0.00,,5.44,,5.38,0.04,0.68,0.58,26.49,2.27,0.12,8.57,8.58,0.59,,,,,0.07,0.93,1.06,18.37,brsr6,5.02
7.32,0.50,0.70,2.03,14.94,6.88,54.72,6.76,12.21,5.69,10.27,4.13,7.44,0.37,2.24,0.67,40.39,3.85,0.74,9.53,0.93,5.12,0.27,1.57,2.83,0.36,0.54,0.46,1.61,48.66,azza3,74.87
6.69,0.70,0.79,0.00,0.00,10.39,13.59,13.68,0.00,,0.47,,5.08,0.26,2.52,0.41,63.31,7.48,0.38,11.82,10.41,3.90,0.86,,5.56,0.00,0.33,0.67,1.39,6.92,irbr3,
5.67,1.11,0.84,17.48,97.96,19.55,39.37,27.31,48.80,2.99,5.34,2.27,4.06,0.52,5.97,0.61,15.13,2.24,0.47,14.80,11.29,9.12,0.26,0.72,1.28,0.41,0.62,0.38,2.22,33.79,recv3,
12.34,0.83,1.40,3.40,41.15,6.70,29.16,18.88,22.96,6.49,7.89,3.60,4.38,0.41,2.23,0.73,11.68,1.33,0.50,11.36,12.94,3.30,1.13,2.89,3.52,1.35,0.29,0.70,1.73,17.80,slce3,2.63
12.81,2.33,4.01,6.45,93.77,18.19,37.81,22.06,23.98,9.70,10.55,9.71,10.56,0.76,2.55,1.40,4.23,1.33,0.33,31.32,17.50,6.92,0.00,0.01,0.01,0.96,0.19,0.79,2.93,20.38,dirr3,39.77
8.77,1.08,2.46,7.48,64.85,12.32,20.96,16.75,18.09,5.78,6.24,5.97,6.45,1.74,5.44,3.60,14.91,4.18,1.61,28.02,23.07,19.82,0.08,0.19,0.21,0.17,0.71,0.29,2.61,17.22,tgma3,30.28
9.79,0.41,1.36,3.86,30.25,4.14,22.93,6.92,8.04,5.43,6.32,5.04,5.86,0.68,2.05,1.62,4.62,0.64,1.68,13.84,17.33,7.04,0.11,0.40,0.46,0.21,0.50,0.49,2.34,22.50,gmat3,14.59
9.20,1.13,2.32,6.62,54.25,12.29,31.48,24.89,29.88,5.66,6.80,3.78,4.54,0.63,21.95,0.79,18.64,4.69,0.56,25.17,16.77,7.20,1.15,1.88,2.26,1.35,0.27,0.72,0.88,7.33,cpfe3,9.01
10.13,0.85,2.18,5.17,31.93,8.36,100.00,8.64,9.78,5.93,6.71,8.66,9.80,0.62,9.86,1.38,22.40,4.83,0.73,21.54,13.04,6.22,0.69,2.72,3.08,0.00,0.28,0.71,1.13,14.93,pssa3,13.43
6.75,0.38,0.99,4.29,28.86,5.61,44.52,8.31,10.98,5.84,7.72,3.45,4.56,0.36,2.21,0.78,12.93,1.90,0.95,14.69,11.82,5.34,0.69,2.39,3.16,0.82,0.36,0.64,1.43,27.98,sbfg3,
12.37,1.10,2.23,6.05,72.59,8.89,38.34,23.31,36.72,6.42,10.11,2.99,4.72,0.37,2.61,0.50,1.66,0.30,0.33,18.06,9.40,3.30,2.55,3.42,5.38,3.50,0.16,0.76,2.12,11.72,klbn4,
11.34,1.04,2.13,7.76,90.05,9.15,25.38,13.44,15.88,6.49,7.67,6.53,7.72,1.04,3.27,3.00,4.21,0.79,1.00,18.78,13.43,9.14,0.02,0.05,0.06,0.47,0.49,0.51,1.94,18.25,kepl3,15.97
5.84,1.92,0.82,10.10,53.18,32.78,40.72,45.74,46.14,7.46,7.52,4.15,4.19,0.37,3.12,0.44,31.73,4.44,0.20,13.99,10.97,6.54,0.59,3.01,3.04,0.71,0.46,0.53,4.46,19.28,isae4,2.47
1.48,0.22,0.48,0.00,0.00,15.06,30.91,6.50,1.08,85.68,14.29,20.60,3.44,0.13,1.42,0.20,4.31,1.40,0.60,32.51,6.63,10.00,1.52,65.08,10.85,1.86,0.28,0.70,1.40,,onco3,
12.93,2.19,7.65,5.19,67.45,16.90,39.14,22.18,22.91,9.32,9.63,9.54,9.85,1.96,6.46,4.67,4.56,2.69,0.90,59.14,34.97,16.79,0.17,0.21,0.22,0.98,0.26,0.70,2.10,32.38,cury3,434.23
8.30,0.28,0.32,0.00,0.00,3.34,24.22,0.49,2.17,14.87,66.49,12.77,57.10,0.18,0.52,0.56,3.62,0.14,0.65,3.89,1.40,2.16,0.05,2.10,9.39,0.22,0.56,0.44,2.04,,mlas3,
4.49,1.49,0.88,6.44,19.95,33.17,56.64,36.81,45.31,4.98,6.13,3.29,4.05,0.42,20.13,0.48,38.99,7.68,0.28,19.69,12.82,9.08,0.45,1.67,2.06,0.57,0.47,0.53,1.21,7.83,sapr11,17.82
1.00,0.16,0.41,0.00,0.00,15.69,16.48,6.79,13.25,4.47,8.73,1.18,2.31,0.09,2.74,0.12,15.00,6.23,0.57,41.56,4.36,8.88,1.16,3.29,6.43,1.72,0.21,0.79,1.15,2.52,ligt3,27.40
8.40,2.49,0.83,7.33,61.70,29.61,37.76,25.19,26.07,10.31,10.68,9.54,9.87,0.59,1.48,1.06,22.70,2.23,0.24,9.83,5.79,7.42,0.07,0.78,0.81,0.31,0.71,0.27,9.37,12.21,eztc3,4.68
735.39,0.17,0.36,6.74,4982.90,0.02,24.66,6.57,8.59,4.04,5.27,1.95,2.55,0.14,0.44,0.39,11.27,0.01,0.82,0.05,7.18,0.13,0.38,2.09,2.73,0.81,0.38,0.61,1.93,9.32,posi3,51.10
8.69,0.60,0.64,6.59,58.82,6.96,23.13,19.76,41.05,3.96,8.23,1.47,3.06,0.20,1.13,0.29,20.86,1.54,0.34,7.40,8.33,2.34,1.09,2.49,5.17,1.49,0.32,0.68,2.50,11.41,smto3,9.86
0.31,0.04,0.26,0.00,3.02,12.72,11.50,5.63,4.23,6.81,5.12,0.94,0.71,0.05,0.22,0.10,5.54,4.53,1.25,81.75,12.64,15.87,1.60,5.87,4.41,2.05,0.19,0.81,1.74,,vveo3,
8.02,1.03,3.15,7.11,57.48,12.84,33.16,17.90,18.20,6.03,6.13,5.66,5.76,0.94,1.53,5.87,4.46,1.75,0.91,39.24,26.06,13.79,0.20,0.36,0.37,0.81,0.30,0.68,3.74,16.51,plpl3,18.30
0.99,0.09,0.16,0.00,0.00,8.70,28.55,9.06,18.67,2.98,6.14,0.46,0.95,0.06,0.82,0.08,10.11,1.61,0.69,15.91,5.20,5.96,0.86,2.52,5.18,1.04,0.38,0.62,1.37,14.63,dasa3,
12.15,3.00,5.45,7.68,95.46,24.70,36.68,32.49,34.90,8.14,8.74,8.60,9.23,3.33,36.22,4.36,2.34,1.05,1.11,44.90,40.15,27.37,0.29,0.46,0.49,0.00,0.61,0.39,0.72,5.87,odpv3,10.02
8.19,0.56,1.79,1.19,9.70,6.79,17.69,7.76,8.49,8.36,9.15,6.55,7.16,0.69,2.71,2.05,9.00,1.96,1.24,21.82,9.23,8.44,0.49,1.81,1.98,0.91,0.39,0.61,1.63,,tten3,
19.24,0.81,1.75,2.35,44.89,4.20,37.68,3.52,0.00,,23.00,,23.00,0.20,4.34,1.81,5.92,0.54,0.24,9.08,5.18,1.04,,,,,0.11,0.89,1.05,11.11,bpan4,1.05
27.44,1.64,1.73,1.04,26.72,5.97,46.65,5.85,11.31,14.30,27.66,14.49,28.02,1.15,4.23,2.25,6.05,0.38,0.70,6.29,4.74,4.18,0.04,0.37,0.71,0.17,0.67,0.33,2.25,5.29,alpa4,15.31
7.69,0.26,0.52,7.93,77.13,3.34,40.50,1.57,0.00,,16.38,,16.38,0.05,2.16,0.29,7.67,0.52,0.19,6.80,1.03,0.69,,,,,0.09,0.91,0.97,17.74,bmgb4,1.35
11.96,0.48,0.89,1.20,21.56,4.05,59.87,8.46,12.94,4.33,6.62,3.74,5.72,0.36,1.79,0.96,11.07,0.82,0.75,7.45,9.38,3.04,0.14,0.59,0.90,0.36,0.41,0.59,1.48,10.24,guar3,
7.53,3.12,1.77,7.69,46.48,41.44,61.77,70.52,71.26,7.41,7.49,4.38,4.43,0.63,22.04,0.74,22.10,5.20,0.20,23.53,15.95,8.33,1.24,3.06,3.09,1.35,0.35,0.65,1.24,3.95,taee11,4.57
5.23,0.61,0.86,8.45,43.82,11.58,21.67,12.42,0.00,,4.88,,4.88,0.09,0.11,1.01,26.90,4.44,0.15,16.51,17.15,1.75,,,,,0.11,0.89,19.77,9.71,abcb4,27.53
2.14,0.25,0.32,0.00,0.00,11.77,8.40,4.72,0.04,673.83,6.11,587.52,5.33,0.19,0.54,0.35,16.56,2.50,0.75,15.07,10.18,8.94,0.01,18.84,0.17,0.30,0.59,0.33,4.21,10.55,usim3,
18.48,1.29,2.85,2.66,49.22,6.95,33.43,14.24,18.68,9.02,11.83,6.88,9.02,0.94,3.54,1.79,8.09,1.25,0.73,15.40,11.99,5.18,0.88,2.14,2.80,1.23,0.33,0.67,2.24,23.68,fras3,13.56
6.50,2.37,0.74,9.25,815.39,36.56,52.55,51.05,64.62,2.51,3.18,3.67,4.65,0.28,1.39,0.39,6.80,0.77,0.12,11.34,7.52,4.51,0.23,1.16,1.47,0.45,0.38,0.35,3.39,7.91,syne3,0.61
11.03,2.79,2.70,5.14,39.31,25.27,50.13,53.16,63.36,7.24,8.63,4.40,5.24,0.62,12.74,0.75,15.09,3.69,0.22,24.44,13.97,5.89,1.74,2.84,3.39,2.20,0.23,0.75,1.42,0.58,egie3,2.35
8.60,0.67,0.58,0.00,0.00,7.80,56.11,10.79,2.96,2.59,0.71,22.72,6.22,0.42,1.11,1.00,1.51,0.10,0.63,6.77,9.71,4.92,0.65,25.30,6.93,0.00,0.73,0.27,2.95,27.24,enju3,
6.06,0.10,0.39,4.61,39.74,1.73,12.17,6.76,10.19,3.44,5.18,1.03,1.55,0.11,0.60,0.21,28.09,1.79,1.07,6.37,8.96,2.50,0.91,2.41,3.63,1.30,0.29,0.68,1.68,12.71,mypk3,
11.56,0.16,0.55,5.37,62.41,1.40,19.93,4.93,7.09,6.74,9.69,2.28,3.28,0.17,0.89,0.38,9.80,0.47,1.04,4.79,5.07,1.45,1.08,4.46,6.42,1.64,0.30,0.70,1.51,9.53,caml3,18.69
4.43,1.47,0.87,6.64,19.95,33.17,56.64,36.81,45.31,4.98,6.13,3.24,3.99,0.41,19.84,0.47,7.80,1.54,0.28,19.69,12.82,9.08,0.45,1.67,2.06,0.57,0.47,0.53,1.21,7.83,sapr4,17.82
2.81,0.17,0.39,0.00,0.00,6.23,33.85,0.90,11.15,2.62,32.32,1.57,19.36,0.15,20.28,0.19,3.27,0.46,0.85,14.05,0.58,5.31,0.26,1.05,12.96,0.58,0.38,0.62,0.97,12.88,meal3,
11.58,0.16,0.80,6.44,74.87,1.38,32.00,5.40,9.07,3.04,5.10,1.77,2.97,0.25,1.23,0.55,4.90,0.34,1.54,6.93,14.90,2.14,0.58,1.27,2.13,0.61,0.31,0.69,1.57,15.78,pgmn3,15.58
6.34,0.85,1.13,6.96,48.94,13.40,25.67,14.04,17.52,14.20,17.72,4.85,6.05,0.61,1.41,1.71,4.24,0.76,0.72,17.83,11.24,9.61,0.06,0.28,0.35,0.54,0.54,0.46,3.04,13.90,shul4,13.73
5.34,1.23,1.45,8.27,44.84,23.03,41.53,26.09,37.51,4.98,7.15,3.28,4.71,0.55,2.54,0.83,5.98,1.63,0.45,27.22,10.81,10.32,0.75,1.70,2.44,1.23,0.38,0.62,2.85,10.48,rani3,33.29
14.29,0.37,0.40,0.00,0.00,2.56,21.69,12.87,48.99,3.95,15.05,0.75,2.84,0.11,0.51,0.17,6.55,0.18,0.29,2.82,3.10,0.75,1.73,3.20,12.20,2.49,0.27,0.73,2.53,7.42,jall3,
10.72,2.57,1.30,2.71,28.29,24.01,69.38,65.43,69.56,6.84,7.28,3.70,3.93,0.36,3.20,0.45,26.00,3.15,0.14,12.11,13.01,5.85,1.06,3.02,3.21,1.49,0.27,0.62,2.13,6.78,alup11,2.27
6.69,0.34,0.39,14.10,94.03,5.04,25.24,12.96,9.34,8.16,5.88,3.61,2.60,0.17,0.35,0.91,9.38,0.54,0.49,5.79,7.34,3.48,0.49,4.55,3.28,0.67,0.43,0.55,2.35,22.63,mtre3,10.35
5.35,0.40,0.50,4.05,21.67,7.56,35.63,9.15,12.00,6.78,8.89,3.37,4.42,0.25,0.95,0.58,10.06,0.94,0.61,9.29,6.64,4.62,0.48,3.23,4.24,0.63,0.50,0.50,1.81,2.44,tasa4,14.79
15.86,1.27,1.77,7.41,117.01,7.99,24.08,8.22,12.45,7.76,11.76,10.17,15.42,1.23,2.96,3.73,12.96,1.45,0.97,11.17,6.68,7.92,0.42,2.41,3.65,0.02,0.70,0.30,2.65,56.13,bmob3,26.25
10.43,1.83,2.05,3.79,39.25,17.58,63.21,33.84,48.37,5.29,7.56,3.79,5.42,0.83,4.69,1.23,6.54,1.29,0.45,19.69,14.34,7.98,0.81,1.50,2.14,1.15,0.40,0.59,2.21,27.63,mils3,
13.88,0.73,1.04,1.44,19.84,5.23,13.35,7.95,10.10,8.65,10.99,7.18,9.12,0.39,0.81,1.32,10.00,0.75,0.54,7.49,6.45,4.82,0.21,1.47,1.87,0.63,0.38,0.45,3.21,26.95,soja3,19.74
5.43,1.85,2.55,20.61,60.84,34.01,41.07,21.09,24.74,7.97,9.35,7.46,8.75,1.51,3.71,4.37,9.11,4.28,0.82,46.97,11.57,27.87,0.18,0.51,0.60,0.40,0.59,0.41,2.65,24.02,vulc3,106.19
7.49,1.23,1.44,4.44,32.42,16.47,33.03,16.84,17.87,7.41,7.87,6.90,7.32,0.53,1.74,1.07,19.91,3.83,0.43,19.22,12.95,7.09,0.11,0.52,0.55,0.29,0.37,0.63,2.54,30.91,mdne3,
8.98,1.04,1.85,7.91,72.33,11.60,36.48,12.35,0.00,,8.94,,8.43,0.13,0.72,2.13,19.34,3.97,0.13,20.54,21.01,1.52,,,,,0.07,0.92,1.25,16.28,itub3,23.81
10.15,1.15,0.82,6.31,62.74,11.38,17.41,4.02,14.25,7.54,26.74,8.10,28.74,0.65,2.16,1.12,9.54,0.77,0.56,8.09,2.21,6.38,0.20,1.98,7.01,0.09,0.79,0.21,3.46,8.10,fesa4,31.26
23.53,3.57,1.31,6.48,144.52,15.17,45.23,42.34,52.11,8.54,10.51,6.85,8.43,0.57,6.73,0.69,45.86,2.56,0.16,5.58,9.73,2.41,0.34,1.78,2.19,0.59,0.43,0.57,1.86,8.48,elet6,0.75
58.49,4.66,3.27,0.00,0.00,7.97,45.52,23.59,42.04,13.43,23.93,11.09,19.75,1.13,5.82,1.71,16.91,0.95,0.24,5.59,6.33,1.39,0.69,2.34,4.17,1.36,0.35,0.63,2.36,20.34,orvr3,17.87
10.79,0.67,0.96,1.77,19.24,6.17,29.06,17.20,22.36,4.57,5.95,2.98,3.87,0.32,1.38,0.49,4.35,0.39,0.48,8.94,10.15,3.13,0.52,1.59,2.07,0.96,0.33,0.66,3.09,24.05,matd3,11.19
0.68,0.07,0.03,0.00,0.00,9.98,8.21,3.09,1.82,84.69,49.76,3.75,2.20,0.01,0.06,0.03,179.36,8.67,0.19,4.83,2.61,0.72,0.71,80.94,47.56,0.81,0.39,0.61,1.62,1.88,gfsa3,
0.00,0.00,0.00,0.00,0.00,339.10,20.50,67.87,67.58,4.21,4.19,0.00,0.00,0.00,0.00,0.00,115.52,15.96,0.27,13.82,6.03,93.39,0.12,4.20,4.19,0.12,6.67,7.81,0.33,7.67,pdgr3,
