p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
3.15,10.96,2.84,0.00,0.00,347.62,3.27,281.31,263.71,3.98,3.90,1.61,8.49,2.42,0.74,0.67,0.15,90.06,72.88,54.35,0.57,1.57,0.64,26.48,,rcsl3,4.25,4.16,0.00,0.00,0.00,0.00
2.80,0.90,0.27,0.00,0.00,32.12,17.14,3.44,29.97,74.25,26.11,0.12,2.89,0.13,3.47,0.34,0.13,9.80,0.32,4.19,0.43,0.57,0.69,41.12,,rnew4,8.52,3.00,0.50,5.45,47.45,0.57
14.89,1.75,0.94,3.70,115.76,11.78,28.86,17.49,28.20,15.64,10.03,0.54,3.96,0.77,21.21,1.34,0.31,6.34,5.49,3.60,0.57,0.43,1.79,7.79,4.50,agro3,9.70,6.22,0.53,3.48,5.62,0.60
0.20,0.30,1.22,0.00,0.00,147.83,1.74,117.42,107.86,2.00,0.26,0.13,1.24,0.21,3.35,20.06,0.43,598.24,66.03,63.76,0.11,1.11,1.39,17.52,,aeri3,2.17,0.28,8.26,1.89,1.74,8.41
12.04,3.17,0.88,3.16,66.27,26.33,63.86,53.76,68.83,14.46,5.90,0.47,3.52,0.63,3.44,0.25,0.15,7.29,7.55,3.96,0.54,0.46,2.16,11.33,11.90,igti3,11.30,4.60,0.42,2.22,2.84,0.81
5.55,0.22,0.31,2.07,33.07,3.95,21.04,2.51,7.55,13.65,8.75,0.19,1.20,0.32,13.38,0.76,0.87,5.65,0.03,3.44,0.61,0.39,1.65,11.59,21.69,eter3,4.54,2.91,0.18,1.63,4.91,0.19
8.37,15.60,1.45,8.65,75.84,186.37,25.32,206.48,221.89,7.80,7.56,1.14,19.95,1.29,8.15,1.41,0.07,17.33,16.97,13.72,0.78,0.18,2.00,7.21,16.35,itsa3,7.25,7.03,0.05,0.22,0.24,0.13
10.34,2.48,1.25,2.73,28.29,24.01,69.38,65.43,69.56,7.28,3.79,0.34,3.08,0.43,8.67,1.05,0.14,12.11,13.01,5.85,0.27,0.62,2.13,6.78,2.27,alup4,6.84,3.57,1.06,3.02,3.21,1.49
4.00,6.97,1.33,0.00,0.00,173.99,26.49,180.59,153.26,3.48,3.86,1.08,2.44,2.31,4.67,1.55,0.16,33.16,35.26,26.97,0.82,0.09,6.24,,,trad3,4.11,4.55,0.13,0.44,0.37,0.00
6.91,1.03,1.64,3.37,20.59,14.95,40.78,21.57,23.29,1.50,4.79,0.98,2.96,2.26,41.78,9.91,0.95,23.72,21.91,14.26,0.60,0.40,2.44,15.56,,rsul4,1.39,4.44,0.16,0.43,0.47,0.06
0.07,0.09,0.18,0.00,0.00,122.47,31.24,104.02,95.42,1.40,0.08,0.02,0.06,0.26,7.75,19.73,0.25,254.62,119.17,31.13,0.12,1.25,1.66,46.93,,jfen3,1.53,0.09,2.85,1.44,1.32,2.92
3.74,0.78,0.62,10.24,38.45,20.75,14.87,22.77,0.00,3.37,3.41,0.07,0.57,0.08,125.37,20.84,0.10,16.62,18.05,1.98,0.12,1.00,0.27,42.72,34.48,baza3,,,0.01,,0.04,0.00
7.07,0.50,2.97,13.63,131.60,7.11,18.21,7.83,9.23,6.04,6.42,0.66,40.57,2.05,1.48,0.62,1.32,41.96,21.72,9.39,0.22,0.78,0.98,7.27,5.59,whrl3,5.12,5.45,0.25,0.46,0.55,0.81
29.76,1.21,3.40,0.00,0.00,4.06,16.18,13.28,22.76,12.65,9.08,0.91,28.35,1.25,9.96,1.14,0.75,11.42,10.83,3.06,0.27,0.73,1.13,21.67,56.51,logn3,7.38,5.30,1.33,2.08,3.56,1.59
7.10,0.58,1.78,7.21,36.33,8.17,18.48,11.96,0.00,4.95,4.84,0.07,0.08,0.70,5.13,1.29,0.12,25.06,29.76,0.97,0.04,0.96,12.26,40.22,,pine3,,,,,,
0.00,0.09,0.00,0.00,0.00,1867.14,98.79,1337.01,1314.56,7.26,0.01,0.00,0.01,0.00,2827.34,436.87,0.05,15.45,74.67,115.70,6.37,7.38,0.02,49.00,,osxb3,7.38,0.01,0.80,7.38,7.25,0.80
4.66,0.43,0.30,0.00,0.00,9.13,39.61,17.88,7.27,1.24,2.38,0.22,0.58,0.53,19.73,1.26,0.52,6.41,12.68,4.76,0.74,0.26,3.00,8.80,,west3,3.05,5.85,0.45,8.90,3.62,0.04
6.75,0.36,1.06,10.00,20.22,5.37,16.60,10.69,13.91,6.45,3.39,0.32,6.03,0.44,100.50,15.75,0.87,15.67,12.80,4.67,0.30,0.70,1.23,5.02,3.21,clsc4,4.95,2.60,0.98,2.41,3.14,1.08
51.28,2.14,0.63,0.00,0.00,4.16,38.83,18.85,79.31,4.93,11.32,0.24,0.58,0.47,16.60,0.20,0.11,1.23,5.56,0.46,0.37,0.63,5.71,11.52,,telb3,1.17,2.69,0.88,3.75,15.78,0.01
7.13,1.12,2.77,11.40,92.64,15.66,28.86,20.98,25.49,7.24,5.32,0.72,127.19,1.06,2.11,0.82,0.65,38.85,19.63,10.13,0.26,0.74,0.98,14.57,20.37,eqpa3,5.96,4.38,1.00,1.58,1.92,1.46
24.23,6.48,5.10,1.23,30.19,26.76,19.74,30.29,0.00,16.56,21.40,0.60,40.26,4.53,5.54,1.17,0.09,21.05,22.82,2.46,0.12,0.88,0.98,30.59,32.53,bpac3,,,,,,
3.16,1.02,0.31,0.00,0.00,32.12,17.14,3.44,29.97,74.25,29.52,0.13,3.27,0.15,10.42,1.02,0.13,9.80,0.32,4.19,0.43,0.57,0.69,41.12,,rnew11,8.52,3.39,0.50,5.45,47.45,0.57
8.95,4.01,1.63,15.18,138.90,44.81,49.37,54.36,55.77,5.13,7.37,1.19,2.55,2.57,14.93,2.73,0.30,18.27,16.85,16.67,0.73,0.11,7.50,21.05,11.92,cebr3,5.00,7.19,0.54,2.36,2.42,0.00
