p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
4.02,0.72,0.58,0.18,0.73,17.89,64.92,21.81,31.66,7.01,3.30,0.27,2.69,0.32,20.39,2.95,0.37,14.46,3.08,6.66,0.46,0.54,2.66,,,vtru3,4.83,2.27,0.66,2.56,3.72,0.86
7.41,0.60,1.86,6.80,36.33,8.17,18.48,11.96,0.00,4.95,5.06,0.07,0.09,0.73,5.13,1.29,0.12,25.06,29.76,0.97,0.04,0.96,12.26,40.22,,pine4,,,,,,
16.91,1.01,1.22,2.40,41.03,5.97,32.75,7.11,11.09,13.81,14.21,0.78,2.94,1.46,24.01,1.73,0.77,7.21,5.88,4.62,0.64,0.36,2.33,6.26,5.13,mdia3,8.84,9.10,0.03,0.26,0.41,0.23
0.59,0.34,0.30,0.00,0.00,57.81,20.85,40.32,37.58,5.21,0.84,0.08,0.24,0.12,4.34,2.22,0.25,51.23,13.79,14.32,0.28,0.72,0.46,9.39,,tcsa3,5.59,0.90,1.56,4.69,4.37,1.79
6.33,0.54,0.60,4.12,26.49,8.47,35.05,14.79,18.14,4.91,3.62,0.34,1.77,0.55,29.45,2.79,0.64,9.49,10.27,5.45,0.57,0.43,2.11,11.20,12.41,euca4,4.00,2.96,0.20,0.99,1.21,0.34
10.37,0.82,1.02,5.86,53.66,7.87,35.26,10.73,0.00,7.34,7.61,0.10,0.96,0.92,16.52,1.62,0.12,9.82,10.90,1.01,0.10,0.90,1.13,19.97,1.12,sanb4,,,,,,
6.40,0.99,1.46,10.02,60.85,15.50,18.32,22.09,25.52,5.24,4.49,0.66,683.87,0.84,9.95,2.27,0.66,22.84,17.09,10.26,0.45,0.55,1.00,10.71,17.82,cmig3,4.53,3.89,0.43,1.15,1.33,0.54
14.79,0.09,0.27,0.00,0.00,0.64,28.13,2.63,5.16,3.87,3.60,0.13,6.49,0.19,17.98,0.33,1.34,1.83,6.67,0.86,0.47,0.53,1.06,20.93,168.22,dmvf3,1.98,1.84,0.02,0.14,0.27,0.04
1.89,0.07,0.44,0.00,0.00,3.54,18.24,17.36,29.29,5.44,0.39,0.03,0.10,0.05,0.65,0.15,0.43,23.47,9.70,1.10,0.06,0.87,2.72,59.50,,ambp3,3.22,0.23,5.81,3.00,5.06,10.10
7.85,0.25,0.65,0.00,0.00,3.22,35.72,5.39,11.97,20.33,4.69,0.13,0.34,0.30,1.55,0.13,0.50,8.29,4.06,1.62,0.20,0.80,2.97,13.43,,pdtc3,9.16,2.11,2.17,7.05,15.65,2.40
2.88,0.93,0.28,0.00,0.00,32.12,17.14,3.44,29.97,74.25,26.93,0.12,2.98,0.13,3.47,0.34,0.13,9.80,0.32,4.19,0.43,0.57,0.69,41.12,,rnew3,8.52,3.09,0.50,5.45,47.45,0.57
0.12,12.60,0.03,0.00,0.00,10578.39,33.65,6650.97,6504.76,3.60,0.19,0.12,0.05,0.18,40.15,9.57,0.01,23.84,31.40,98.15,4.07,5.07,0.13,6.69,,inep4,3.68,0.19,0.51,3.48,3.40,0.52
9.44,2.53,1.99,3.24,30.19,26.76,19.74,30.29,0.00,16.56,8.34,0.23,15.68,1.76,5.54,1.17,0.09,21.05,22.82,2.46,0.12,0.88,0.98,30.59,32.53,bpac5,,,,,,
10.59,0.16,0.68,4.31,45.45,1.53,25.85,9.11,12.35,7.96,1.78,0.12,0.45,0.25,8.74,0.56,0.74,6.45,8.66,2.53,0.18,0.75,2.04,19.16,11.93,rapt3,5.87,1.31,2.37,4.55,6.17,2.93
5.01,0.33,0.81,5.05,27.82,6.56,40.59,9.53,0.00,3.15,3.44,0.04,0.05,0.51,10.98,1.77,0.13,16.16,18.66,0.89,0.05,0.95,30.80,32.57,7.99,bsli4,,,0.06,,0.26,0.00
10.11,0.81,2.70,2.03,19.56,7.98,45.51,8.04,0.00,8.74,10.04,0.19,1.58,0.76,21.53,5.75,0.24,26.69,26.24,1.97,0.07,1.00,0.86,27.55,32.70,bmeb4,,,,,,
6.12,0.29,0.45,0.00,33.74,4.69,14.84,6.42,11.24,8.20,4.47,0.22,0.65,0.50,11.03,0.80,0.77,7.28,5.75,4.53,0.50,0.50,2.56,7.95,11.66,ptnt4,4.69,2.55,0.27,1.53,2.68,0.73
1.31,0.54,0.37,0.00,0.00,40.92,26.78,34.75,34.12,1.94,1.55,0.13,1.57,0.23,2.15,0.60,0.24,27.93,20.36,8.33,0.35,0.63,1.23,5.07,,vivr3,1.97,1.58,0.09,0.40,0.39,0.26
5.35,0.84,0.66,10.40,46.93,15.78,52.41,10.34,18.22,6.04,8.16,0.48,1.72,0.86,46.11,5.72,0.57,12.41,7.36,9.03,0.73,0.27,2.75,10.66,10.67,cgra3,3.42,4.63,0.18,1.24,2.19,0.00
91.45,0.83,1.04,0.00,0.00,0.91,3.76,3.53,0.66,17.50,23.56,0.67,1.72,1.80,20.22,0.23,0.81,1.13,4.93,0.73,0.65,0.35,2.66,0.02,,crpg5,92.99,125.17,0.16,19.71,3.71,0.01
27.92,1.67,1.76,0.88,26.72,5.97,46.65,5.85,11.31,27.51,28.50,1.17,4.31,2.29,6.05,0.38,0.70,6.29,4.74,4.18,0.67,0.33,2.25,5.29,15.31,alpa3,14.23,14.74,0.04,0.37,0.71,0.17
4.25,0.51,1.08,16.63,39.16,12.01,31.19,23.50,29.68,6.33,2.17,0.28,31.24,0.33,32.69,8.27,0.54,25.29,16.03,6.25,0.26,0.74,0.95,9.83,11.33,ceeb3,5.02,1.72,1.84,2.95,3.73,1.98
1.33,0.61,0.28,0.00,0.00,45.70,22.40,15.55,5.39,11.69,3.90,0.10,1.27,0.15,9.13,1.95,0.17,21.36,4.49,7.79,0.36,0.64,1.37,25.62,,ctsa3,33.71,11.26,0.76,30.33,10.51,0.91
25.67,,0.38,0.19,47.36,0.00,0.00,0.00,0.00,41.98,43.85,0.38,8.13,0.40,12.84,0.19,0.00,1.50,0.83,1.49,1.00,0.00,14.69,100.00,13.69,rpad3,63.63,66.48,0.05,8.50,5.61,0.00
16.91,6.09,0.73,4.13,67.64,36.01,56.77,33.27,48.50,17.31,18.31,0.51,3.22,0.63,48.11,2.07,0.08,4.30,3.04,3.03,0.70,0.30,6.02,9.69,39.03,peab4,11.87,12.56,0.03,0.60,0.88,0.17
8.36,0.80,3.86,11.37,61.51,9.53,27.36,22.31,26.70,6.79,3.57,0.60,31.27,0.84,10.42,4.80,0.75,46.11,18.73,7.16,0.16,0.87,1.07,7.42,9.48,ektr3,5.68,2.98,3.53,2.73,3.27,3.92
