cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
27.11,3.79,0.55,113.99,K,42.16,OULG11
58.50,16.15,0.74,9.58,M,-1.12,IRDM11
89.34,12.09,0.96,3.13,M,19.33,MCCI11
8.72,13.02,0.87,68.23,K,6.99,PULV11
385.15,1.25,1.83,3.00,K,41.54,FPNG11
22.38,13.04,0.73,1.67,K,67.01,VPSI11
96.84,13.42,0.97,3.88,M,19.11,RBRY11
64.31,13.92,0.75,82.75,K,27.27,RELG11
51.66,9.87,0.67,795.03,K,7.05,RBRP11
315.42,0.00,0.84,12.36,K,-31.90,ROOF11
70.75,17.51,0.70,346.85,K,-17.19,SMRE11
92.28,13.60,0.95,2.98,M,17.79,RZTR11
64.35,9.06,0.57,9.39,K,10.80,FISC11
106.08,8.79,0.90,2.28,M,16.25,LVBI11
4.70,0.00,0.80,15.93,K,91.06,FIVN11
84.76,14.45,0.78,4.73,M,-1.10,TGAR11
78.25,11.82,1.00,1.01,M,21.58,BARI11
87.01,13.61,0.84,196.64,K,9.93,VTLT11
75.11,7.99,0.70,4.75,M,2.09,PVBI11
145.92,0.00,2.26,479.67,K,0.00,TCIN11
73.81,9.65,0.64,40.75,K,15.82,VSHO11
47.44,11.57,0.62,97.94,K,6.97,FIGS11
63.68,16.22,0.69,476.63,K,10.10,GCRI11
47.04,19.90,0.52,741.05,K,26.86,GZIT11
114.92,0.00,1.03,83.64,K,12.27,GCDL11
9.80,0.00,0.74,502.47,K,30.67,GSFI11
683.00,0.00,1.10,718.93,K,-0.29,VXXV11
66.00,7.73,0.61,90.53,K,19.11,GLOG11
8.55,13.16,0.91,112.12,K,10.18,GAME11
69.33,18.32,0.73,1.14,M,3.94,HABT11
74.29,9.96,0.69,77.80,K,8.77,ABCP11
9.00,11.27,0.97,5.78,M,11.52,GARE11
9.90,12.07,0.90,7.25,M,9.88,GGRC11
9.00,10.91,0.94,59.42,K,-2.07,HGBL11
55.85,2.90,0.84,1.49,K,76.91,HAAA11
76.23,12.62,0.81,11.12,K,24.01,HCHG11
21.90,17.29,0.21,741.73,K,-3.57,HCTR11
50.36,5.00,0.66,23.71,K,3.64,ATSA11
85.98,13.49,0.80,10.11,K,-15.93,HDEL11
20.16,9.03,0.99,16.04,K,13.13,FLRP11
4.05,0.00,0.58,1.34,K,17.39,HRDF11
28.95,0.00,0.50,215.42,K,7.70,HOFC11
9.02,8.31,0.82,68.04,K,18.84,HLOG11
8.36,12.38,0.97,258.08,K,17.58,HREC11
138.50,14.15,0.96,570.71,K,-0.48,HTMX11
76.27,15.08,0.86,487.54,K,11.05,HSAF11
67.91,14.42,0.61,5.22,K,-16.23,HGIC11
6.05,11.11,0.80,1.32,M,8.81,HFOF11
85.00,7.87,0.92,15.58,M,3.34,HPDP11
95.93,12.34,1.07,326.18,K,8.37,SEED11
74.05,12.36,0.74,98.77,K,10.29,INLG11
8.47,9.30,0.65,25.92,K,1.68,IBBP11
85.25,15.50,0.85,719.42,K,4.86,ICRI11
74.41,13.43,0.89,109.10,K,26.25,IRIM11
73.02,10.22,0.62,42.90,K,15.76,INRD11
64.20,13.79,0.94,57.34,K,4.34,ITIP11
68.50,10.83,0.88,116.71,K,8.15,ITIT11
7.37,14.57,0.82,1.72,M,3.66,JSAF11
7.97,14.43,0.85,495.00,K,4.73,JSCR11
141.10,73.69,2.31,38.14,K,1791.42,JPPC11
77.75,16.87,0.79,75.46,K,12.44,JPPA11
62.93,9.15,0.62,2.65,M,14.44,JSRE11
69.14,9.15,0.65,31.45,K,5.01,JFLL11
160.00,3.05,0.85,169.87,K,5.41,JCCJ11
61.47,18.48,0.72,341.63,K,-4.10,KIVO11
6.76,12.34,0.83,441.69,K,5.79,KISU11
8.43,14.35,0.90,436.79,K,10.63,KCRE11
91.99,12.45,0.92,3.21,M,16.09,KNHF11
0.32,1.42,0.50,2.00,K,433.33,KNRE11
68.08,22.03,0.64,2.22,M,3.62,KORE11
98.99,14.48,1.01,3.33,M,12.54,KNHY11
86.40,12.34,0.95,8.87,M,6.81,KNIP11
256.34,0.00,0.68,1.24,M,-33.71,LPLP11
105.38,13.35,1.03,14.76,M,16.87,KNCR11
146.21,8.21,0.90,5.10,M,15.47,KNRI11
102.70,14.80,1.01,3.93,M,15.64,KNUQ11
8.63,13.21,0.99,4.58,M,13.40,KNSC11
8.10,18.21,0.83,694.42,K,-2.41,LIFE11
2.10,0.00,0.04,79.01,K,-1.87,LFTT11
100.00,13.69,0.77,1.90,M,11.58,LASC11
