valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
322344000,8866344000,1539000000,95086000,33525000000,14020000000,10427000000,8544000000,1883000000,100.00,novo mercado,99.75,consumo cíclico,eletrodomésticos,bhia3
2178370000,1914605000,2754104000,562886000,3831464000,1168227000,81473000,263765000,345238000,100.00,novo mercado,71.83,tecnologia da informação,programas e serviços,lwsa3
3041530000,5684789000,2203050000,760382000,6876136000,2378352000,3738632000,2643259000,1095373000,100.00,novo mercado,99.93,bens industriais,transporte hidroviário,hbsa3
108153842000,119433848000,68438152000,3226546000,123899419000,24248764000,18076567000,11280006000,6796561000,80.00,tradicional,24.64,telecomunicações,telecomunicações,vivt3
27428616000,27102622000,5077357000,599401000,9219852000,3145240000,1679735000,325994000,2005729000,100.00,novo mercado,87.53,tecnologia da informação,programas e serviços,tots3
37882058000,40626281000,6995144000,1718007000,23825807000,13753306000,3282613000,2744223000,538390000,100.00,novo mercado,74.49,saúde,medicamentos e outros produtos,radl3
186291312000,186291312000,175635225000,10592012000,2202774724000,1788672711000,,,225625971000,100.00,nível 1,62.16,financeiro,bancos,bbdc3
11073533000,19821889000,19368000000,993705000,87319904000,33463871000,18643907000,8748356000,9895551000,100.00,nível 1,70.19,materiais básicos,siderurgia,goau4
79034000,79027000,151852000,197585000,186882000,200000,,7000,7000,0.00,novo mercado,0.00,materiais básicos,petroquímicos,azte3
2111927000,9351603000,3056777000,349724000,17465355000,9104660000,8965671000,7239676000,1725995000,80.00,nível 1,59.71,bens industriais,material rodoviário,rapt4
256834000,1126775000,201372000,117813000,1466247000,732429000,971265000,869941000,101324000,100.00,nível 1,82.23,telecomunicações,telecomunicações,ifcm3
64775882000,67506220000,19070634000,740465000,66844714000,36550604000,12117600000,2730338000,9387262000,100.00,novo mercado,99.20,bens industriais,material aeronáutico e de defesa,embr3
22578738000,48679125000,10239102000,6179682000,62163679000,16586925000,35826069000,26100387000,9725682000,100.00,nível 2,63.92,materiais básicos,papel e celulose,klbn11
18119441000,61182651000,2834441000,857928000,137817432000,53153889000,66039994000,43063210000,22976784000,novo mercado,33.58,100.00,consumo não cíclico,carnes e derivados,mrfg3
68240000000,60984443000,12869841000,2000000000,20441629000,8665648000,,7255557000,7255557000,100.00,novo mercado,31.87,financeiro,seguradoras,bbse3
55057000,55053000,23642000,31822000,41658000,13921000,,4000,4000,0.00,tradicional,61.28,bens industriais,material rodoviário,rcsl4
14515359000,17846686000,5722890000,586242000,19095990000,4232675000,6289577000,3331327000,2958250000,0.00,tradicional,52.44,consumo cíclico,atividades esportivas,smft3
46560000000,45466511000,13505669000,3000000000,14624520000,1932384000,10707000,1093489000,1104196000,100.00,novo mercado,17.25,financeiro,seguradoras,cxse3
