cotação,variação_12m,p_l,p_vp,dy,carteira_investidor_10,papel
2.50,45.05,1.78,0.58,0.00,,onco3
13.71,30.41,6.98,1.52,1.38,,tten3
3.99,29.34,726.29,0.35,6.86,,posi3
15.36,17.15,6.88,0.68,8.88,,eztc3
14.95,26.05,8.54,3.35,6.77,,plpl3
15.55,40.24,10.07,0.75,5.89,,smto3
1.08,39.33,0.24,0.20,0.00,,vveo3
7.60,19.23,14.13,1.28,3.21,,bpan4
1.32,55.70,0.82,0.13,0.00,,dasa3
35.83,10.77,6.89,1.62,8.24,,taee11
9.50,39.85,24.97,1.57,1.12,,alpa4
13.20,39.96,12.58,5.65,7.39,,odpv3
8.81,9.61,10.68,0.80,1.33,,guar3
4.30,29.28,9.35,0.22,0.00,,usim3
22.07,8.17,17.72,2.73,2.79,,fras3
21.60,5.58,4.86,0.80,9.01,,abcb4
3.85,2.90,7.39,0.50,10.41,,bmgb4
1.28,6.57,2.78,0.39,0.00,,meal3
4.46,24.93,5.90,1.05,7.50,,shul4
4.88,73.68,6.33,0.72,9.38,,syne3
40.45,2.57,10.97,2.68,5.09,,egie3
3.50,29.63,12.52,0.73,7.26,,pgmn3
10.81,6.64,6.04,0.38,4.65,,mypk3
6.83,26.17,4.45,0.88,6.59,,sapr4
4.89,37.50,10.41,0.50,6.02,,caml3
4.61,48.36,4.93,0.46,4.39,,tasa4
9.93,18.94,13.25,0.99,1.50,,soja3
8.73,28.85,5.41,1.47,8.31,,rani3
3.43,6.01,6.32,0.37,14.71,,mtre3
2.63,57.37,14.24,0.40,0.00,,jall3
19.31,34.24,6.62,2.25,13.42,,vulc3
31.20,14.17,9.91,1.20,2.89,,alup11
0.89,29.37,8.70,0.59,0.00,,enju3
21.21,62.80,14.65,1.64,7.97,,bmob3
11.76,14.09,9.14,1.80,4.31,,mils3
54.86,36.60,21.43,1.20,7.04,,elet6
25.98,81.99,6.79,1.30,4.77,,mdne3
6.21,14.87,8.05,0.65,8.01,,fesa4
0.01,99.20,0.00,0.00,0.00,,pdgr3
6.87,81.92,0.79,0.04,0.00,,gfsa3
53.10,17.17,56.17,3.14,0.00,,orvr3
4.29,1.99,11.02,0.99,1.77,,matd3
33.07,30.04,8.32,1.71,8.50,,itub3
7.06,12.06,66.99,0.74,0.00,,even3
9.94,76.53,13.84,0.97,1.54,,seer3
13.42,83.95,6.50,1.71,7.98,,lavv3
5.00,65.80,9.05,1.18,4.22,,csed3
8.14,41.50,7.04,2.03,3.09,,wizc3
4.30,14.08,8.74,1.23,6.23,,fiqe3
15.20,26.42,30.67,2.09,0.34,,prnr3
12.57,48.27,48.58,0.57,10.75,,tupy3
5.47,22.89,13.07,0.86,7.76,,jslg3
3.80,17.93,3.65,2.15,0.00,,ptbl3
8.52,86.25,6.62,1.66,4.23,,pine4
12.76,0.96,8.10,1.01,2.74,,blau3
2.82,7.12,26.34,0.80,1.45,,brst3
7.50,9.49,176.21,1.64,0.00,,opct3
4.25,5.76,20.06,0.22,0.00,,hbre3
26.96,2.89,6.79,4.94,9.55,,leve3
3.87,47.53,5.98,0.75,30.34,,melk3
3.50,40.56,5.10,0.65,0.00,,zamp3
7.26,27.37,7.62,0.67,7.88,,pfrm3
17.50,29.39,10.18,2.28,11.83,,brbi11
9.17,7.32,11.75,1.12,3.20,,pnvl3
3.53,9.31,10.44,2.14,6.19,,klbn3
1.03,77.06,0.05,0.07,0.00,,seql3
1.52,66.45,2.27,2.05,0.00,,rcsl3
21.39,8.46,5.08,0.50,10.28,,logg3
7.00,48.40,6.53,0.85,4.31,,tris3
7.21,26.76,6.77,1.96,8.56,,pomo3
19.98,1.99,5.82,0.94,11.38,,vlid3
1.06,9.50,39.85,0.44,0.16,,espa3
0.95,57.96,2.80,0.27,0.00,,rnew4
7.40,44.51,4.82,0.95,5.52,,sapr3
26.37,7.08,15.23,1.10,2.58,,mdia3
10.76,16.15,3.65,0.53,0.20,,vtru3
17.02,66.32,120.55,31.52,1.55,,tfco4
4.63,14.87,10.04,1.16,6.45,,vitt3
1.15,16.06,0.06,0.01,0.00,,pmam3
20.23,12.81,15.05,0.95,7.72,,agro3
11.89,,3.53,0.20,0.00,,amob3
7.78,24.47,7.93,0.59,9.86,,romi3
3.88,38.12,0.21,3.79,0.00,,aeri3
78.36,86.20,11.15,3.16,11.06,,unip6
7.78,4.51,5.15,0.84,6.75,,dexp3
9.46,18.28,5.74,1.30,10.03,,camb3
12.07,10.71,6.96,1.64,8.20,,taee4
12.99,3.62,18.42,1.08,0.28,,desk3
10.95,18.70,7.76,1.34,9.34,,itsa3
14.01,6.82,6.17,1.41,10.39,,cmig3
1.15,13.86,9.69,2.04,0.00,,amar3
4.29,22.21,5.67,0.32,2.01,,eter3
2.72,10.46,10.84,0.79,3.57,,igti3
1.25,22.88,6.44,0.76,5.74,,lpsb3
1.31,23.39,0.59,0.30,0.00,,tcsa3
13.25,2.68,8.05,0.81,6.26,,sanb3
14.49,2.50,8.81,0.89,6.30,,sanb4
15.60,4.44,5.67,0.70,11.82,,brap3
3.35,28.35,50.08,2.07,0.00,,alpk3
3.21,18.01,7.94,4.14,0.00,,fict3
4.68,19.94,7.52,3.16,14.10,,whrl4
7.21,60.73,0.99,1.51,0.00,,brkm3
1.04,52.73,3.06,0.30,0.00,,rnew3
16.45,14.79,5.89,0.56,4.44,,euca4
0.70,94.74,4.56,1.07,0.00,,ambp3
11.93,10.20,6.88,1.62,8.27,,taee3
1.29,44.87,4.61,355.99,0.00,,bobr4
1.90,59.57,7.26,0.33,0.00,,reag3
11.22,15.57,2.91,0.76,5.61,,ealt4
4.52,31.20,11.77,0.25,0.00,,dmvf3
2.17,28.15,0.09,0.02,0.00,,rpmg3
15.10,5.36,9.37,0.56,4.24,,ggbr3
9.94,0.63,8.78,0.51,3.42,,goau3
