"Ticker","Nome","Negócios","Última (R$)","Variação"
"AMER3","Americanas","1.652.400","5,06","+2,43%"
"IRBR3","IRB Brasil RE","1.601.600","44,66","+2,38%"
"AZZA3","Arezzo","1.491.800","37,12","+3,14%"
"SLCE3","SLC Agrícola","1.484.500","18,04","+0,61%"
"RECV3","PetroRecôncavo","1.461.500","13,55","+1,88%"
"BRSR6","Banrisul","1.368.200","10,88","+3,23%"
"QUAL3","Qualicorp","1.325.000","1,67","+1,21%"
"DIRR3","Direcional","1.312.400","39,50","+0,77%"
"TGMA3","Tegma","1.312.300","34,79","+2,29%"
"KLBN4","Klabin","1.309.300","3,70","+0,27%"
"KEPL3","Kepler Weber","1.276.300","7,27","+1,96%"
"CPFE3","CPFL Energia","1.260.200","38,50","+3,44%"
"SBFG3","Grupo SBF","1.222.200","12,15","+1,59%"
"GMAT3","Grupo Mateus","1.221.200","7,61","+1,33%"
"PSSA3","Porto Seguro","1.217.000","52,10","+0,97%"
"ISAE4","ISA Energia","1.203.400","22,44","+1,13%"
"MLAS3","Multilaser","1.203.200","1,05","+1,94%"
"CURY3","Cury","1.150.800","29,18","+1,32%"
"ONCO3","Oncoclínicas","1.053.600","5,45","+0,55%"
"SAPR11","Sanepar","1.041.900","35,10","-0,11%"
"LIGT3","Light","1.029.900","6,20","+1,47%"
"EZTC3","EZTEC","1.021.200","13,27","+1,61%"
"SMTO3","São Martinho","901.000","17,90","+0,90%"
"PLPL3","Plano&Plano","886.200","13,49","+1,81%"
"POSI3","Positivo","859.100","4,30","+0,94%"
"TTEN3","3tentos","823.300","13,63","+0,96%"
"ODPV3","Odontoprev","807.500","11,54","+0,96%"
"DASA3","Dasa","805.100","1,22","+0,83%"
"VVEO3","Viveo","782.600","1,11","-0,89%"
"TAEE11","Taesa","762.200","33,70","+0,99%"
"BPAN4","Banco Pan","751.600","7,81","+2,09%"
"ALPA4","Alpargatas","719.600","8,60","+2,02%"
"USIM3","Usiminas","709.600","4,52","+5,12%"
"GUAR3","Guararapes","685.500","8,03","+1,26%"
"BMGB4","Banco BMG","666.800","3,67","-0,27%"
"ABCB4","Banco ABC Brasil","662.500","20,77","+1,37%"
"FRAS3","Fras-le","642.400","23,45","+0,21%"
"EGIE3","Engie","637.600","42,53","+2,24%"
"SYNE3","SYN","616.700","6,60","+1,54%"
"MEAL3","IMC Alimentação","614.000","1,36","+1,49%"
"SHUL4","Schulz","611.000","5,07","+0,00%"
"PGMN3","Pague Menos","608.800","3,55","+0,57%"
"SAPR4","Sanepar","594.300","6,81","-0,44%"
"CAML3","Camil Alimentos","579.900","4,93","+0,82%"
"MYPK3","Iochpe-Maxion","574.900","13,92","+3,03%"
"RANI3","Irani","562.000","7,25","+0,83%"
"ENJU3","Enjoei","558.200","1,03","+0,98%"
"ALUP11","Alupar","554.000","29,79","+1,67%"
"JALL3","Jalles Machado","540.400","3,51","+0,29%"
"VULC3","Vulcabras","523.100","18,60","+2,20%"
"MTRE3","Mitre Realty","514.200","3,73","+1,36%"
"TASA4","Taurus","501.000","5,27","-2,95%"
