p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
11.33,1.44,1.35,5.09,76.86,12.75,21.84,19.62,25.74,11.26,7.36,0.57,24.04,0.71,8.58,1.02,0.39,11.89,8.79,4.99,0.42,0.58,1.13,4.89,4.97,cple3,8.58,5.61,0.66,2.76,3.63,0.78
15.14,0.33,0.65,0.00,0.00,2.15,11.05,8.33,16.26,8.37,3.91,0.21,1.47,0.31,6.70,0.29,0.66,4.32,7.48,2.20,0.33,0.66,1.86,,,cbav3,4.29,2.00,0.75,2.29,4.46,0.90
17.95,2.00,1.11,5.56,78.77,11.15,56.10,14.62,19.14,21.53,13.69,0.55,11.35,0.72,18.93,1.17,0.27,6.19,1.85,3.03,0.49,0.51,1.26,10.25,10.74,hype3,16.45,10.46,0.64,5.99,7.84,0.74
8.15,0.33,0.28,3.34,26.95,4.06,33.57,16.48,18.30,9.51,2.01,0.06,0.23,0.12,10.92,0.38,0.19,3.44,5.55,2.39,0.23,0.56,2.31,4.91,20.03,hbor3,8.56,1.81,1.05,6.76,7.50,1.19
0.12,0.08,0.25,0.00,0.00,62.89,29.76,2.71,4.03,5.63,2.80,0.07,0.52,0.11,21.85,45.44,0.89,207.93,73.64,56.25,0.27,0.73,1.49,7.40,,amer3,3.78,1.88,0.25,1.90,2.83,0.43
7.55,0.81,2.48,2.44,5.43,10.69,29.38,11.13,13.15,8.31,7.25,0.50,1.58,1.33,9.58,3.14,0.62,32.79,15.52,6.45,0.20,0.80,2.03,9.66,13.55,tend3,7.04,6.13,0.36,0.90,1.07,1.01
6.46,0.44,0.62,2.31,14.94,6.88,54.72,6.76,12.21,9.40,6.57,0.33,1.98,0.59,40.39,3.85,0.74,9.53,0.93,5.12,0.54,0.46,1.61,48.66,74.87,azza3,5.21,3.64,0.27,1.57,2.83,0.36
6.31,0.66,0.75,0.00,0.00,10.39,13.59,13.68,0.00,0.77,4.79,0.25,2.38,0.39,63.31,7.48,0.38,11.82,10.41,3.90,0.33,0.67,1.39,6.92,,irbr3,,,0.86,,5.56,0.00
5.15,0.25,0.44,10.58,54.69,4.86,30.91,5.52,0.00,4.99,4.54,0.03,0.57,0.49,26.49,2.27,0.12,8.57,8.58,0.59,0.07,0.93,1.06,18.37,5.02,brsr6,,,,,,
5.28,1.03,0.78,18.51,97.96,19.55,39.37,27.31,48.80,5.05,3.78,0.48,5.55,0.57,15.13,2.24,0.47,14.80,11.29,9.12,0.62,0.38,2.22,33.79,,recv3,2.83,2.11,0.26,0.72,1.28,0.41
11.90,0.80,1.35,3.46,41.15,6.70,29.16,18.88,22.96,7.74,4.22,0.40,2.15,0.71,11.68,1.33,0.50,11.36,12.94,3.30,0.29,0.70,1.73,17.80,2.63,slce3,6.36,3.47,1.13,2.89,3.52,1.35
7.98,1.01,2.25,8.02,63.85,12.68,21.60,17.46,18.76,5.41,5.80,1.60,4.44,3.46,15.05,4.24,1.58,28.20,22.86,20.07,0.71,0.29,3.03,16.90,30.70,tgma3,5.03,5.40,0.15,0.36,0.39,0.20
74.34,0.42,0.49,0.25,0.00,0.57,85.28,12.92,35.75,8.14,3.28,0.17,2.06,0.25,4.62,0.03,0.40,0.65,7.09,0.44,0.35,0.65,0.79,5.76,46.86,qual3,2.94,1.19,0.72,1.76,4.86,1.05
10.32,1.06,2.12,6.21,64.23,10.26,38.55,23.12,36.52,10.52,4.58,0.36,2.70,0.48,1.65,0.34,0.34,20.50,9.35,3.82,0.17,0.78,2.11,11.26,,klbn4,6.66,2.90,2.74,3.75,5.92,3.53
9.90,0.41,1.37,3.83,30.25,4.14,22.93,6.92,8.04,6.38,5.92,0.69,2.07,1.63,4.62,0.64,1.68,13.84,17.33,7.04,0.50,0.49,2.34,22.50,14.59,gmat3,5.49,5.09,0.11,0.40,0.46,0.21
8.58,0.82,1.77,10.02,85.20,9.57,26.76,14.50,16.96,5.60,5.66,0.84,2.58,2.48,4.06,0.83,1.03,20.58,14.86,9.83,0.48,0.52,1.98,18.48,17.26,kepl3,4.79,4.84,0.02,0.05,0.06,0.47
8.07,0.99,2.03,7.39,50.55,12.29,31.48,24.89,29.88,6.24,3.99,0.55,19.26,0.69,18.64,4.69,0.56,25.17,16.77,7.20,0.27,0.72,0.88,7.33,9.01,cpfe3,5.20,3.32,1.15,1.88,2.26,1.35
11.06,2.01,3.46,7.46,93.77,18.19,37.81,22.06,23.98,9.11,9.12,0.66,2.21,1.21,4.23,1.33,0.33,31.32,17.50,6.92,0.19,0.79,2.93,20.38,39.77,dirr3,8.38,8.39,0.00,0.01,0.01,0.96
9.60,0.80,2.07,5.32,31.93,8.36,100.00,8.64,9.78,6.20,9.28,0.59,9.35,1.31,22.40,4.83,0.73,21.54,13.04,6.22,0.28,0.71,1.13,14.93,13.43,pssa3,5.48,8.20,0.69,2.72,3.08,0.00
11.37,1.92,6.73,5.93,80.25,16.90,39.14,22.18,22.91,8.45,8.67,1.73,5.68,4.11,4.56,2.69,0.90,59.14,34.97,16.79,0.26,0.70,2.10,32.38,434.23,cury3,8.18,8.39,0.17,0.21,0.22,0.98
7.03,0.23,0.27,0.00,0.00,3.34,24.22,0.49,2.17,57.71,48.32,0.15,0.44,0.47,3.62,0.14,0.65,3.89,1.40,2.16,0.56,0.44,2.04,,,mlas3,12.91,10.81,0.05,2.10,9.39,0.22
6.19,0.35,0.91,4.69,28.86,5.61,44.52,8.31,10.98,7.34,4.18,0.33,2.03,0.72,12.93,1.90,0.95,14.69,11.82,5.34,0.36,0.64,1.43,27.98,,sbfg3,5.56,3.16,0.69,2.39,3.16,0.82
4.85,1.93,0.76,9.89,47.90,39.74,39.29,58.41,58.84,6.29,3.30,0.36,2.86,0.42,31.27,4.93,0.19,15.76,12.90,7.52,0.47,0.52,5.95,17.19,0.47,isae4,6.24,3.27,0.60,2.55,2.57,0.68
4.55,1.51,0.90,6.34,19.95,33.17,56.64,36.81,45.31,6.18,4.10,0.42,20.36,0.48,38.99,7.68,0.28,19.69,12.82,9.08,0.47,0.53,1.21,7.83,17.82,sapr11,5.02,3.33,0.45,1.67,2.06,0.57
0.83,0.13,0.35,0.00,0.00,15.69,16.48,6.79,13.25,8.36,1.93,0.07,2.29,0.10,15.00,6.23,0.57,41.56,4.36,8.88,0.21,0.79,1.15,2.52,27.40,ligt3,4.28,0.99,1.16,3.29,6.43,1.72
1.78,0.27,0.58,0.00,0.00,15.06,30.91,6.50,1.08,14.98,4.13,0.16,1.71,0.24,4.31,1.40,0.60,32.51,6.63,10.00,0.28,0.70,1.40,,,onco3,89.84,24.76,1.52,65.08,10.85,1.86
6.98,0.47,1.52,1.38,9.70,6.79,17.69,7.76,8.49,8.09,6.11,0.59,2.31,1.75,9.00,1.96,1.24,21.82,9.23,8.44,0.39,0.61,1.63,,,tten3,7.40,5.58,0.49,1.81,1.98,0.91
726.29,0.17,0.35,6.86,4982.90,0.02,24.66,6.57,8.59,5.24,2.51,0.14,0.44,0.38,11.27,0.01,0.82,0.05,7.18,0.13,0.38,0.61,1.93,9.32,51.10,posi3,4.01,1.92,0.38,2.09,2.73,0.81
6.88,2.04,0.68,8.88,61.70,29.61,37.76,25.19,26.07,8.90,8.09,0.48,1.21,0.87,22.70,2.23,0.24,9.83,5.79,7.42,0.71,0.27,9.37,12.21,4.68,eztc3,8.59,7.82,0.07,0.78,0.81,0.31
8.54,1.10,3.35,6.77,57.48,12.84,33.16,17.90,18.20,6.50,6.13,1.00,1.63,6.25,4.46,1.75,0.91,39.24,26.06,13.79,0.30,0.68,3.74,16.51,18.30,plpl3,6.39,6.03,0.20,0.36,0.37,0.81
10.07,0.70,0.75,5.89,58.82,6.96,23.13,19.76,41.05,8.72,3.55,0.24,1.31,0.34,20.86,1.54,0.34,7.40,8.33,2.34,0.32,0.68,2.50,11.41,9.86,smto3,4.20,1.71,1.09,2.49,5.17,1.49
0.24,0.03,0.20,0.00,3.02,12.72,11.50,5.63,4.23,4.95,0.54,0.04,0.17,0.08,5.54,4.53,1.25,81.75,12.64,15.87,0.19,0.81,1.74,,,vveo3,6.58,0.72,1.60,5.87,4.41,2.05
14.13,0.59,1.28,3.21,44.89,4.20,37.68,3.52,0.00,16.89,16.89,0.14,3.18,1.33,5.92,0.54,0.24,9.08,5.18,1.04,0.11,0.89,1.05,11.11,1.05,bpan4,,,,,,
0.82,0.07,0.13,0.00,0.00,8.70,28.55,9.06,18.67,5.97,0.79,0.05,0.67,0.07,10.11,1.61,0.69,15.91,5.20,5.96,0.38,0.62,1.37,14.63,,dasa3,2.90,0.38,0.86,2.52,5.18,1.04
6.89,2.86,1.62,8.24,46.48,41.44,61.77,70.52,71.26,7.15,4.05,0.57,20.16,0.67,22.10,5.20,0.20,23.53,15.95,8.33,0.35,0.65,1.24,3.95,4.57,taee11,7.08,4.01,1.24,3.06,3.09,1.35
24.97,1.49,1.57,1.12,26.72,5.97,46.65,5.85,11.31,24.59,25.50,1.05,3.85,2.05,6.05,0.38,0.70,6.29,4.74,4.18,0.67,0.33,2.25,5.29,15.31,alpa4,12.71,13.18,0.04,0.37,0.71,0.17
12.58,3.11,5.65,7.39,95.46,24.70,36.68,32.49,34.90,9.07,9.56,3.44,37.50,4.52,2.34,1.05,1.11,44.90,40.15,27.37,0.61,0.39,0.72,5.87,10.02,odpv3,8.44,8.90,0.29,0.46,0.49,0.00
10.68,0.43,0.80,1.33,21.56,4.05,59.87,8.46,12.94,6.01,5.11,0.32,1.60,0.86,11.07,0.82,0.75,7.45,9.38,3.04,0.41,0.59,1.48,10.24,,guar3,3.93,3.34,0.14,0.59,0.90,0.36
9.35,0.20,0.22,0.00,0.00,2.15,8.21,3.61,8.28,7.56,5.57,0.13,0.39,0.24,19.37,0.46,0.66,2.37,2.54,1.31,0.60,0.33,4.16,10.73,16.26,usim3,3.30,2.43,0.04,0.42,0.96,0.32
17.72,1.23,2.73,2.79,49.22,6.95,33.43,14.24,18.68,11.45,8.65,0.90,3.40,1.72,8.09,1.25,0.73,15.40,11.99,5.18,0.33,0.67,2.24,23.68,13.56,fras3,8.73,6.60,0.88,2.14,2.80,1.23
4.86,0.56,0.80,9.01,43.82,11.58,21.67,12.42,0.00,4.54,4.54,0.09,0.10,0.94,26.90,4.44,0.15,16.51,17.15,1.75,0.11,0.89,19.77,9.71,27.53,abcb4,,,,,,
7.39,0.25,0.50,10.41,77.13,3.34,40.50,1.57,0.00,15.72,15.72,0.05,2.07,0.28,7.67,0.52,0.19,6.80,1.03,0.69,0.09,0.91,0.97,17.74,1.35,bmgb4,,,,,,
2.78,0.17,0.39,0.00,0.00,6.23,33.85,0.90,11.15,32.17,19.21,0.15,20.13,0.19,3.27,0.46,0.85,14.05,0.58,5.31,0.38,0.62,0.97,12.88,,meal3,2.60,1.55,0.26,1.05,12.96,0.58
5.90,0.79,1.05,7.50,48.94,13.40,25.67,14.04,17.52,17.48,5.63,0.57,1.32,1.59,4.24,0.76,0.72,17.83,11.24,9.61,0.54,0.46,3.04,13.90,13.73,shul4,14.01,4.51,0.06,0.28,0.35,0.54
6.33,2.31,0.72,9.38,815.39,36.56,52.55,51.05,64.62,3.06,4.53,0.27,1.36,0.38,6.80,0.77,0.12,11.34,7.52,4.51,0.38,0.35,3.39,7.91,0.61,syne3,2.42,3.58,0.23,1.16,1.47,0.45
10.97,2.77,2.68,5.09,39.31,25.27,50.13,53.16,63.36,8.60,5.21,0.62,12.67,0.74,15.09,3.69,0.22,24.44,13.97,5.89,0.23,0.75,1.42,0.58,2.35,egie3,7.22,4.38,1.74,2.84,3.39,2.20
12.52,0.15,0.73,7.26,90.96,1.19,31.86,5.06,8.86,5.04,2.94,0.22,1.12,0.49,4.78,0.28,1.50,5.85,13.57,1.79,0.30,0.69,1.58,14.82,11.17,pgmn3,2.88,1.68,0.52,1.20,2.10,0.61
6.04,0.10,0.38,4.65,39.74,1.73,12.17,6.76,10.19,5.18,1.54,0.11,0.59,0.21,28.09,1.79,1.07,6.37,8.96,2.50,0.29,0.68,1.68,12.71,,mypk3,3.44,1.02,0.91,2.41,3.63,1.30
4.45,1.48,0.88,6.59,19.95,33.17,56.64,36.81,45.31,6.18,4.01,0.41,19.93,0.47,7.80,1.54,0.28,19.69,12.82,9.08,0.47,0.53,1.21,7.83,17.82,sapr4,5.02,3.26,0.45,1.67,2.06,0.57
10.41,0.15,0.50,6.02,62.41,1.40,19.93,4.93,7.09,9.37,2.95,0.15,0.80,0.34,9.80,0.47,1.04,4.79,5.07,1.45,0.30,0.70,1.51,9.53,18.69,caml3,6.51,2.05,1.08,4.46,6.42,1.64
4.93,0.37,0.46,4.39,21.67,7.56,35.63,9.15,12.00,8.49,4.07,0.23,0.88,0.54,10.06,0.94,0.61,9.29,6.64,4.62,0.50,0.50,1.81,2.44,14.79,tasa4,6.48,3.10,0.48,3.23,4.24,0.63
13.25,0.69,0.99,1.50,39.56,5.23,13.35,7.95,10.10,10.58,8.71,0.37,0.77,1.26,10.00,0.75,0.54,7.49,6.45,4.82,0.38,0.45,3.21,26.95,19.74,soja3,8.33,6.86,0.21,1.47,1.87,0.63
5.41,1.24,1.47,8.31,45.24,22.92,41.62,25.61,37.01,7.52,4.85,0.56,2.49,0.83,5.93,1.61,0.45,27.20,10.45,10.26,0.38,0.62,3.08,10.38,33.05,rani3,5.20,3.35,0.81,1.85,2.67,1.25
6.32,0.32,0.37,14.71,94.03,5.04,25.24,12.96,9.34,5.74,2.46,0.16,0.33,0.86,9.38,0.54,0.49,5.79,7.34,3.48,0.43,0.55,2.35,22.63,10.35,mtre3,7.96,3.41,0.49,4.55,3.28,0.67
14.24,0.36,0.40,0.00,0.00,2.56,21.69,12.87,48.99,15.04,2.83,0.11,0.50,0.17,6.55,0.18,0.29,2.82,3.10,0.75,0.27,0.73,2.53,7.42,,jall3,3.95,0.74,1.73,3.20,12.20,2.49
6.62,1.61,2.25,13.42,89.33,24.37,41.45,21.52,25.13,7.70,7.50,1.58,3.60,4.98,8.58,2.92,0.98,33.99,24.36,23.91,0.70,0.30,2.82,22.76,90.94,vulc3,6.60,6.42,0.06,0.17,0.20,0.15
9.91,2.38,1.20,2.89,28.29,24.01,69.38,65.43,69.56,7.03,3.64,0.33,2.95,0.42,26.00,3.15,0.14,12.11,13.01,5.85,0.27,0.62,2.13,6.78,2.27,alup11,6.62,3.42,1.06,3.02,3.21,1.49
8.70,0.68,0.59,0.00,0.00,7.80,56.11,10.79,2.96,0.64,6.29,0.43,1.13,1.01,1.51,0.10,0.63,6.77,9.71,4.92,0.73,0.27,2.95,27.24,,enju3,2.33,22.97,0.65,25.30,6.93,0.00
14.65,1.17,1.64,7.97,117.01,7.99,24.08,8.22,12.45,10.59,14.24,1.14,2.73,3.44,12.96,1.45,0.97,11.17,6.68,7.92,0.70,0.30,2.65,56.13,26.25,bmob3,6.98,9.39,0.42,2.41,3.65,0.02
9.14,1.61,1.80,4.31,39.25,17.58,63.21,33.84,48.37,6.89,4.75,0.73,4.11,1.08,6.54,1.29,0.45,19.69,14.34,7.98,0.40,0.59,2.21,27.63,,mils3,4.82,3.32,0.81,1.50,2.14,1.15
21.43,3.25,1.20,7.04,144.52,15.17,45.23,42.34,52.11,9.91,7.68,0.52,6.13,0.63,45.86,2.56,0.16,5.58,9.73,2.41,0.43,0.57,1.86,8.48,0.75,elet6,8.05,6.24,0.34,1.78,2.19,0.59
6.79,1.12,1.30,4.77,32.42,16.47,33.03,16.84,17.87,7.18,6.64,0.48,1.58,0.97,19.91,3.83,0.43,19.22,12.95,7.09,0.37,0.63,2.54,30.91,,mdne3,6.77,6.25,0.11,0.52,0.55,0.29
8.05,0.92,0.65,8.01,62.74,11.38,17.41,4.02,14.25,22.36,22.79,0.51,1.72,0.88,9.54,0.77,0.56,8.09,2.21,6.38,0.79,0.21,3.46,8.10,31.26,fesa4,6.30,6.43,0.20,1.98,7.01,0.09
0.00,0.00,0.00,0.00,0.00,339.10,20.50,67.87,67.58,4.19,0.00,0.00,0.00,0.00,115.52,15.96,0.27,13.82,6.03,93.39,6.67,7.81,0.33,7.67,,pdgr3,4.21,0.00,0.12,4.20,4.19,0.12
0.79,0.08,0.04,0.00,0.00,9.98,8.21,3.09,1.82,50.12,2.56,0.01,0.07,0.04,179.36,8.67,0.19,4.83,2.61,0.72,0.39,0.61,1.62,1.88,,gfsa3,85.30,4.36,0.71,80.94,47.56,0.81
56.17,4.48,3.14,0.00,0.00,7.97,45.52,23.59,42.04,23.14,18.97,1.09,5.59,1.64,16.91,0.95,0.24,5.59,6.33,1.39,0.35,0.63,2.36,20.34,17.87,orvr3,12.99,10.64,0.69,2.34,4.17,1.36
11.02,0.68,0.99,1.77,19.24,6.17,29.06,17.20,22.36,6.03,3.96,0.33,1.41,0.50,4.35,0.39,0.48,8.94,10.15,3.13,0.33,0.66,3.09,24.05,11.19,matd3,4.64,3.04,0.52,1.59,2.07,0.96
8.32,0.97,1.71,8.50,72.29,11.60,36.48,12.35,0.00,8.29,7.82,0.12,0.67,1.98,19.34,3.97,0.13,20.54,21.01,1.52,0.07,0.92,1.25,16.28,23.81,itub3,,,,,,
66.99,0.81,0.74,0.00,379.56,1.21,27.05,2.20,2.44,42.18,36.89,0.28,0.45,1.17,9.48,0.11,0.34,1.11,0.16,1.80,0.37,0.58,4.80,5.42,11.62,even3,38.16,33.38,0.11,4.78,5.29,0.59
13.84,0.60,0.97,1.54,21.46,4.34,58.26,15.70,25.74,5.56,3.83,0.38,5.18,0.53,10.21,0.72,0.63,7.03,14.68,2.74,0.39,0.61,1.35,11.22,10.95,seer3,3.39,2.34,0.44,1.06,1.73,0.63
6.50,1.50,1.71,7.98,51.90,23.08,34.87,27.13,27.28,7.00,5.53,0.70,1.28,2.69,7.84,2.06,0.47,26.35,18.07,12.39,0.41,0.53,3.84,37.79,31.90,lavv3,6.96,5.50,0.45,1.46,1.47,0.54
9.05,0.68,1.18,4.22,38.24,7.51,49.82,20.24,28.73,4.51,3.36,0.39,6.70,0.50,4.23,0.55,0.58,13.05,19.04,4.32,0.33,0.67,1.38,8.30,,csed3,3.18,2.37,0.41,0.81,1.15,0.83
7.04,0.96,2.03,3.09,42.97,13.63,61.85,44.23,53.63,2.33,2.17,0.53,32.52,0.69,4.02,1.16,0.55,28.76,39.91,13.79,0.26,0.48,0.93,11.04,11.06,wizc3,1.92,1.79,0.15,0.13,0.16,0.63
8.74,1.45,1.23,6.23,54.67,16.54,50.88,26.25,47.28,6.34,5.51,0.68,7.86,0.89,3.50,0.49,0.47,14.08,12.25,7.73,0.55,0.45,1.56,,,fiqe3,3.52,3.06,0.19,0.46,0.83,0.44
30.67,0.50,2.09,0.34,10.41,1.64,21.96,7.98,12.50,9.54,6.31,0.50,1.71,1.14,7.28,0.50,0.99,6.80,9.26,2.25,0.24,0.75,2.06,42.23,,prnr3,6.09,4.03,1.06,2.06,3.22,2.15
48.58,0.17,0.57,10.75,577.71,0.36,16.05,2.99,6.82,14.26,5.85,0.18,0.49,0.48,21.94,0.26,1.02,1.18,2.41,0.35,0.31,0.69,2.41,19.49,,tupy3,6.25,2.56,0.82,3.69,8.41,1.28
13.07,0.16,0.86,7.76,100.51,1.26,16.31,11.79,19.09,7.28,1.39,0.13,0.69,0.20,6.35,0.42,0.78,6.59,11.08,0.98,0.15,0.85,1.99,27.55,1.81,jslg3,4.50,0.86,3.64,3.64,5.89,4.41
3.65,0.21,2.15,0.00,0.00,5.70,36.20,4.42,12.10,13.50,4.72,0.15,7.03,0.23,1.76,1.04,0.71,59.00,5.98,4.05,0.07,0.93,0.94,14.08,,ptbl3,4.93,1.72,4.01,3.21,8.79,5.17
6.62,0.54,1.66,4.23,40.59,8.17,18.48,11.96,0.00,4.46,4.52,0.06,0.08,0.65,5.14,1.29,0.12,25.06,29.76,0.97,0.04,0.96,12.26,40.22,,pine4,,,,,,
8.10,1.30,1.01,2.74,29.28,15.99,39.95,23.91,27.28,5.90,5.42,0.66,2.06,1.24,12.63,1.58,0.51,12.47,11.18,8.07,0.65,0.35,3.17,8.42,2.00,blau3,5.17,4.75,0.09,0.43,0.49,0.22
26.34,0.80,0.80,1.45,38.39,3.03,42.70,14.07,43.91,13.25,5.67,0.30,9.29,0.36,3.51,0.11,0.38,3.05,5.72,1.15,0.38,0.62,0.83,,,brst3,4.24,1.82,1.07,2.43,7.58,1.30
176.21,0.83,1.64,0.00,0.00,0.47,25.33,12.29,28.64,12.33,6.72,0.53,4.90,0.77,4.58,0.04,0.65,0.93,7.45,0.31,0.33,0.67,1.54,23.08,,opct3,5.29,2.88,1.36,2.40,5.61,1.69
20.06,2.25,0.22,0.00,0.00,11.20,67.22,102.21,105.14,9.50,2.20,0.08,1.67,0.09,19.45,0.21,0.04,1.09,4.94,2.05,0.39,0.44,1.87,20.33,,hbre3,9.23,2.14,0.73,7.09,7.30,0.82
6.79,0.72,4.94,9.55,66.45,10.54,27.03,16.49,18.83,5.75,4.34,0.98,6.36,2.54,5.45,3.97,1.37,72.76,32.88,14.41,0.20,0.80,1.33,16.27,34.50,leve3,5.03,3.80,1.60,1.23,1.40,1.88
5.98,0.66,0.75,30.34,181.57,11.06,25.21,11.07,11.39,6.28,5.98,0.31,0.66,1.21,5.19,0.65,0.46,12.47,6.63,7.30,0.41,0.53,2.65,15.71,27.11,melk3,6.10,5.81,0.04,0.29,0.30,0.41
5.10,0.20,0.65,0.00,0.00,3.89,64.76,0.15,5.25,249.99,132.00,0.23,7.22,0.29,5.35,0.69,1.15,12.84,2.13,4.46,0.35,0.65,0.87,16.79,,zamp3,7.15,3.77,0.59,3.37,117.99,0.76
7.62,0.08,0.67,7.88,60.33,1.07,14.84,2.68,3.28,5.89,3.04,0.17,1.04,0.55,10.79,0.95,2.05,8.83,11.87,2.31,0.25,0.70,1.30,15.02,14.96,pfrm3,4.82,2.48,0.63,2.33,2.85,0.82
10.18,5.22,2.28,11.83,120.37,51.30,100.00,3.91,0.00,32.77,133.64,0.12,2.78,12.50,7.69,1.72,0.02,22.37,4.44,1.17,0.05,0.95,1.04,,,brbi11,,,0.56,,32.77,0.00
11.75,0.27,1.12,3.20,25.70,2.28,31.98,4.47,8.77,10.44,5.98,0.41,1.68,0.98,8.21,0.78,1.55,9.51,8.66,3.53,0.37,0.63,1.75,12.83,15.89,pnvl3,5.32,3.05,0.83,2.27,4.46,0.99
10.44,1.07,2.14,6.19,64.23,10.26,38.55,23.12,36.52,10.52,4.63,0.36,2.74,0.48,1.65,0.34,0.34,20.50,9.35,3.82,0.17,0.78,2.11,11.26,,klbn3,6.66,2.93,2.74,3.75,5.92,3.53
0.05,0.07,0.07,0.00,0.00,142.30,3.27,147.31,121.76,0.92,0.05,0.04,0.09,0.05,14.10,20.34,0.62,144.29,456.64,103.75,0.62,1.75,0.24,5.08,,seql3,1.11,0.06,1.30,1.05,0.87,1.33
2.27,7.90,2.05,0.00,0.00,347.62,3.27,281.31,263.71,2.41,2.81,1.16,6.11,1.74,0.74,0.67,0.15,90.06,72.88,54.35,0.57,1.57,0.64,26.48,,rcsl3,2.58,2.99,0.00,0.00,0.00,0.00
5.08,8.20,0.50,10.28,52.07,161.20,97.69,232.52,235.59,7.45,3.52,0.26,3.01,0.33,42.57,4.21,0.03,9.88,8.00,5.17,0.52,0.48,1.70,10.13,21.05,logg3,7.35,3.48,0.56,3.87,3.92,0.63
6.53,1.01,0.85,4.31,28.06,15.48,30.86,16.50,18.52,8.00,6.13,0.40,0.71,3.04,8.23,1.07,0.39,13.02,7.06,6.25,0.47,0.53,2.81,7.99,2.29,tris3,7.13,5.46,0.26,1.67,1.87,0.63
6.77,0.91,1.96,8.56,58.25,13.49,24.70,15.90,17.71,7.33,5.75,0.86,3.08,2.17,3.67,1.06,0.94,28.97,14.89,12.84,0.44,0.55,1.87,20.08,68.13,pomo3,6.58,5.16,0.32,0.85,0.95,0.79
5.82,0.76,0.94,11.38,54.53,13.01,34.04,15.15,19.96,5.18,5.00,0.57,1.73,1.13,21.29,3.43,0.75,16.12,13.51,9.84,0.61,0.39,3.04,2.18,,vlid3,3.93,3.79,0.03,0.14,0.19,0.33
39.85,0.37,0.44,0.16,6.23,0.92,33.89,14.50,23.25,6.67,2.53,0.17,1.14,0.32,2.41,0.03,0.47,1.10,7.44,0.40,0.39,0.61,1.48,14.92,31.28,espa3,4.16,1.58,0.72,2.59,4.15,0.93
2.80,0.90,0.27,0.00,0.00,32.12,17.14,3.44,29.97,75.62,26.11,0.12,2.89,0.13,3.47,0.34,0.13,9.80,0.32,4.19,0.43,0.57,0.69,41.12,,rnew4,8.68,3.00,0.50,5.45,47.45,0.57
4.82,1.60,0.95,5.52,19.95,33.17,56.64,36.81,45.31,6.18,4.34,0.45,21.59,0.51,7.80,1.54,0.28,19.69,12.82,9.08,0.47,0.53,1.21,7.83,17.82,sapr3,5.02,3.53,0.45,1.67,2.06,0.57
15.23,0.91,1.10,2.58,39.29,5.97,32.75,7.11,11.09,12.40,12.80,0.70,2.65,1.32,24.01,1.73,0.77,7.21,5.88,4.62,0.64,0.36,2.33,6.26,5.13,mdia3,7.94,8.20,0.03,0.26,0.41,0.23
3.65,0.65,0.53,0.20,0.73,17.89,64.92,21.81,31.66,6.71,2.99,0.24,2.44,0.29,20.39,2.95,0.37,14.46,3.08,6.66,0.46,0.54,2.66,,,vtru3,4.62,2.06,0.66,2.56,3.72,0.86
120.55,17.27,31.52,1.55,143.30,14.33,57.53,20.41,23.74,85.27,84.63,19.57,41.73,61.91,0.54,0.14,1.13,26.15,23.54,16.24,0.62,0.38,3.18,28.39,38.91,tfco4,73.29,72.74,0.24,0.55,0.64,0.29
10.04,0.87,1.16,6.45,22.60,8.64,32.49,10.41,389.38,10.10,8.33,0.76,2.12,1.83,4.00,0.46,0.88,11.52,8.23,7.58,0.66,0.34,2.63,8.61,4.28,vitt3,0.27,0.22,0.25,0.05,1.77,0.35
0.06,0.17,0.01,0.00,0.00,283.89,30.88,74.88,58.35,13.19,0.23,0.06,0.02,0.08,81.76,18.84,0.35,23.04,29.38,98.35,4.27,5.27,0.05,33.93,,pmam3,16.93,0.30,0.79,16.63,12.96,0.79
15.05,1.77,0.95,7.72,115.76,11.78,28.86,17.49,28.20,15.75,10.13,0.54,4.00,0.78,21.21,1.34,0.31,6.34,5.49,3.60,0.57,0.43,1.79,7.79,4.50,agro3,9.77,6.29,0.53,3.48,5.62,0.60
3.53,0.04,0.20,0.00,0.00,1.10,14.15,2.08,3.96,13.30,1.87,0.05,0.24,0.12,59.15,3.37,1.34,5.70,4.22,1.48,0.26,0.74,1.63,,,amob3,6.97,0.98,1.23,5.99,11.43,1.35
7.93,0.56,0.59,9.86,65.24,7.00,27.85,6.73,11.72,14.26,8.25,0.29,0.90,0.72,13.11,0.98,0.52,7.48,4.33,3.68,0.49,0.51,2.17,6.05,11.96,romi3,8.19,4.74,0.43,3.45,6.01,0.63
0.21,0.23,3.79,0.00,0.00,112.32,5.17,87.08,78.48,2.08,0.27,0.12,1.10,0.19,1.02,18.65,0.50,1823.36,57.54,56.67,0.03,1.03,1.41,14.13,,aeri3,2.31,0.30,25.60,2.01,1.81,26.66
11.15,1.57,3.16,11.06,120.43,14.07,29.43,18.38,24.21,9.00,8.53,1.18,4.36,1.99,24.83,7.03,0.75,28.31,13.19,10.53,0.37,0.62,2.96,7.89,16.47,unip6,6.84,6.48,0.38,0.77,1.02,1.00
