p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
7.71,0.15,4.57,0.00,0.00,1.91,19.01,7.07,9.00,6.60,2.08,0.15,0.94,0.38,1.43,0.85,1.00,59.34,10.98,1.87,0.03,0.95,1.34,17.96,,beef3,5.19,1.64,9.92,3.55,4.52,18.71
10.76,0.51,0.64,3.68,39.71,4.73,12.41,8.66,13.69,7.13,5.88,0.41,1.62,0.66,27.08,1.61,0.80,5.95,6.70,3.80,0.63,0.37,2.89,9.54,6.69,ggbr4,4.51,3.72,0.17,0.96,1.52,0.33
6.61,1.30,1.14,3.70,37.96,19.60,32.58,23.51,24.81,7.31,5.51,0.48,1.20,1.09,25.48,4.39,0.37,17.22,10.91,8.55,0.42,0.54,3.36,17.59,1.81,cyre3,6.92,5.22,0.37,1.70,1.79,0.70
13.52,1.34,1.92,3.51,47.47,9.89,38.35,29.61,37.07,9.69,4.52,0.44,5.82,0.52,7.28,1.03,0.33,14.16,11.10,3.29,0.23,0.77,1.88,16.32,89.82,motv3,7.74,3.61,2.20,4.14,5.18,2.65
4.65,0.72,1.06,13.81,60.85,15.50,18.32,22.09,25.52,4.95,3.26,0.48,496.81,0.61,9.95,2.27,0.66,22.84,17.09,10.26,0.45,0.55,1.00,10.71,17.82,cmig4,4.28,2.82,0.43,1.15,1.33,0.54
7.93,1.07,2.30,7.38,58.25,13.49,24.70,15.90,17.71,7.33,6.73,1.01,3.61,2.54,3.67,1.06,0.94,28.97,14.89,12.84,0.44,0.55,1.87,20.08,68.13,pomo4,6.58,6.04,0.32,0.85,0.95,0.79
4.64,0.23,0.75,6.91,32.32,5.05,26.35,10.30,19.25,9.32,2.28,0.10,1.17,0.16,10.48,1.70,0.44,16.24,6.05,1.68,0.14,0.83,1.35,8.25,,csna3,4.99,1.22,2.33,3.77,7.04,3.71
15.97,1.01,0.88,0.54,8.55,6.34,19.44,13.73,23.50,20.39,7.37,0.23,4.80,0.28,12.08,0.67,0.22,5.52,3.51,1.18,0.26,0.71,1.36,,,aure3,11.91,4.31,1.56,7.60,13.01,1.95
44.66,2.07,2.15,5.24,233.05,4.64,46.24,30.84,49.12,10.26,6.72,0.57,8.49,0.69,7.23,0.35,0.27,4.81,11.34,1.31,0.26,0.73,1.62,14.81,16.76,rail3,6.44,4.22,1.13,2.22,3.53,1.58
8.13,0.17,1.47,3.52,28.71,2.11,7.10,3.95,4.65,7.09,4.35,0.52,3.13,0.82,14.41,2.61,3.03,18.13,2.85,6.78,0.35,0.60,1.82,11.20,27.23,ugpa3,6.01,3.69,0.93,2.33,2.74,1.18
1.08,0.10,0.76,0.00,0.00,9.40,27.44,1.00,5.07,23.79,10.11,0.11,6.54,0.15,5.21,3.67,1.04,70.51,5.38,9.78,0.14,0.86,0.95,17.87,,pcar3,4.70,2.00,1.03,2.70,13.68,1.73
16.67,0.98,1.52,5.25,82.25,5.88,28.53,20.59,33.52,8.84,4.76,0.48,8.95,0.61,23.54,2.15,0.49,9.12,9.74,2.86,0.31,0.69,1.33,30.87,17.26,rent3,5.43,2.92,1.31,2.51,4.09,1.63
4.62,0.71,0.59,0.00,0.00,15.44,28.96,29.34,46.82,6.56,2.43,0.17,3.57,0.20,26.39,3.38,0.23,12.81,7.83,3.59,0.28,0.72,1.37,118.45,,brav3,4.11,1.53,1.00,2.58,4.12,1.38
13.48,3.61,2.84,2.24,30.19,26.76,19.74,30.29,0.00,15.36,11.91,0.33,22.40,2.52,16.61,3.50,0.09,21.05,22.82,2.46,0.12,0.88,0.98,30.59,32.53,bpac11,,,,,,
26.22,0.78,4.81,1.93,49.10,2.99,29.41,5.59,9.70,15.36,14.01,1.39,8.49,3.28,3.88,0.71,1.78,18.34,21.25,5.37,0.29,0.71,1.40,15.34,20.00,radl3,8.85,8.07,0.46,0.78,1.35,0.55
12.06,1.54,1.43,5.24,76.86,12.75,21.84,19.62,25.74,11.26,7.84,0.60,25.60,0.75,8.58,1.02,0.39,11.89,8.79,4.99,0.42,0.58,1.13,4.89,4.97,cple6,8.58,5.98,0.66,2.76,3.63,0.78
3.05,2.25,1.23,0.00,0.00,73.88,34.70,26.83,54.84,13.15,8.40,0.58,10.21,0.70,29.21,11.81,0.26,40.45,6.47,19.10,0.47,0.53,1.54,49.74,87.83,prio3,6.43,4.11,0.70,2.32,4.75,0.88
29.94,4.54,5.25,1.53,46.04,15.17,69.48,17.86,23.91,25.04,25.44,2.87,14.09,4.44,8.17,1.43,0.63,17.55,14.48,9.83,0.55,0.42,2.36,16.88,24.47,tots3,18.70,19.00,0.08,0.30,0.40,0.35
17.90,1.81,1.53,3.34,126.35,10.12,44.08,15.54,41.26,12.86,11.65,0.83,223.69,1.04,21.10,1.81,0.46,8.57,9.75,4.61,0.54,0.46,0.98,5.98,4.08,vivt3,4.85,4.39,0.16,0.46,1.21,0.30
0.17,0.01,0.19,0.00,0.00,6.32,30.66,3.58,7.25,8.74,0.29,0.01,0.05,0.02,16.19,18.76,0.84,115.92,0.65,5.32,0.05,0.95,0.71,0.46,,bhia3,4.32,0.14,5.55,4.17,8.45,6.78
75.57,1.58,0.82,3.02,231.69,2.09,47.60,9.18,18.73,15.23,17.23,0.59,10.42,0.85,4.89,0.05,0.37,1.09,3.54,0.78,0.72,0.28,1.23,24.03,8.74,lwsa3,7.47,8.45,0.10,0.98,2.00,0.03
7.20,1.70,1.28,0.00,0.00,23.60,24.52,4.07,26.07,80.98,41.75,0.41,1.98,0.63,2.90,0.51,0.24,17.73,0.58,5.68,0.32,0.68,2.49,2.50,,hbsa3,12.65,6.52,1.20,6.13,39.23,1.70
7.36,0.65,0.88,8.50,54.45,8.83,31.68,8.22,0.00,8.58,7.91,0.07,0.55,0.37,16.43,1.95,0.11,11.89,10.09,0.98,0.08,0.92,1.19,24.03,4.85,bbdc3,,,,,,
8.87,0.14,0.51,3.39,30.02,1.63,12.41,8.64,13.62,3.19,1.67,0.11,0.46,0.19,19.50,1.13,0.80,5.81,13.02,3.80,0.22,0.37,2.89,9.54,6.74,goau4,2.02,1.06,0.47,0.97,1.52,0.93
26.74,1.44,3.14,0.09,2.43,5.37,18.57,11.14,14.71,14.05,12.89,0.87,6.52,1.89,24.57,2.89,0.60,11.75,13.33,3.18,0.28,0.70,1.33,15.17,,embr3,10.65,9.76,0.28,0.88,1.17,0.66
1.79,6.23,1.62,0.00,0.00,347.62,3.27,281.31,263.71,2.41,2.22,0.92,4.83,1.38,0.74,0.67,0.15,90.06,72.88,54.35,0.57,1.57,0.64,26.48,,rcsl4,2.58,2.36,0.00,0.00,0.00,0.00
0.06,0.01,0.07,0.00,0.00,24.94,30.28,5.87,1.97,15.87,0.24,0.01,0.06,0.02,1.92,2.26,0.65,117.38,9.11,16.12,0.14,1.14,1.51,,,ifcm3,47.27,0.73,4.32,46.54,15.63,4.82
10.27,1.05,2.11,6.22,64.23,10.26,38.55,23.12,36.52,10.52,4.56,0.36,2.69,0.48,8.25,1.69,0.34,20.50,9.35,3.82,0.17,0.78,2.11,11.26,,klbn11,6.66,2.89,2.74,3.75,5.92,3.53
1.91,63.89,0.52,0.00,0.00,3349.72,23.52,4962.33,5145.59,1.29,1.29,0.42,9.25,0.42,0.77,0.21,0.01,27.29,53.74,22.17,0.81,0.19,0.02,,,azte3,1.24,1.24,0.00,0.00,0.00,0.00
13.61,1.57,3.27,5.06,205.13,11.52,54.65,23.44,29.81,5.56,6.69,0.84,4.05,1.59,1.68,0.40,0.54,24.04,21.08,6.17,0.26,0.74,1.78,6.94,11.25,cmin3,4.37,5.26,0.55,0.89,1.13,1.00
8.82,0.13,0.57,4.86,42.80,1.53,25.85,9.11,12.35,7.64,1.48,0.10,0.37,0.21,9.28,0.60,0.74,6.45,8.66,2.53,0.18,0.75,2.04,19.16,11.93,rapt4,5.64,1.09,2.37,4.55,6.17,2.93
5.32,0.83,1.03,16.20,93.28,15.69,49.10,27.00,35.79,5.41,3.09,0.35,9.49,0.40,30.97,6.00,0.42,19.38,12.74,6.62,0.34,0.66,0.76,12.63,65.59,petr3,4.08,2.33,0.80,1.81,2.40,0.93
6.40,0.11,6.39,26.72,171.07,1.78,12.80,3.71,8.36,10.35,3.07,0.13,1.87,0.21,3.30,3.30,1.16,99.86,4.81,2.78,0.02,0.86,1.22,18.74,3.29,mrfg3,4.60,1.36,15.19,3.23,7.29,23.30
106.98,1.46,1.44,0.00,0.00,1.37,34.40,24.27,39.51,14.26,6.03,0.39,47.94,0.46,8.64,0.12,0.26,1.35,6.88,0.37,0.27,0.73,1.06,37.02,6.36,srna3,8.76,3.70,1.96,5.06,8.23,2.15
7.31,,6.21,12.90,95.60,0.00,0.00,0.00,0.00,5.71,6.58,3.05,22.63,5.73,5.25,4.46,0.00,84.97,77.21,41.71,0.49,0.51,1.40,100.00,18.29,bbse3,,,0.83,,0.88,0.00
20.29,3.08,1.13,6.78,144.52,15.17,45.23,42.34,52.11,9.91,7.27,0.49,5.80,0.60,45.86,2.56,0.16,5.58,9.73,2.41,0.43,0.57,1.86,8.48,0.75,elet3,8.05,5.91,0.34,1.78,2.19,0.59
10.33,,3.36,7.84,81.38,0.00,0.00,0.00,0.00,9.20,9.43,3.10,70.23,3.52,4.44,1.44,0.00,32.52,31.19,30.05,0.92,0.08,1.59,100.00,19.67,cxse3,,,0.08,,0.23,0.00
26.91,2.22,2.53,2.63,63.43,8.25,42.37,23.11,47.57,11.77,9.60,0.77,11.51,0.99,9.62,0.90,0.35,9.41,12.00,2.89,0.31,0.69,1.45,,,smft3,5.72,4.67,0.57,1.05,2.17,1.06
104.40,0.49,1.00,8.01,824.59,0.47,46.97,2.85,8.28,17.70,17.15,0.44,2.92,0.69,3.64,0.03,0.91,0.96,4.16,0.42,0.44,0.56,1.72,19.18,,petz3,6.10,5.91,0.03,0.19,0.55,0.25
12.04,0.89,1.57,2.23,26.96,7.38,27.54,20.36,26.04,8.90,4.37,0.38,8.96,0.48,22.43,2.93,0.42,13.05,11.90,3.85,0.24,0.72,1.24,22.57,5.42,eqtl3,6.96,3.41,1.63,3.55,4.54,1.97
9.85,1.22,0.91,0.00,0.00,12.40,15.24,15.24,19.04,6.83,8.02,0.73,7.81,0.95,4.69,0.43,0.60,9.22,4.61,7.31,0.81,0.18,1.69,25.68,19.55,cash3,5.47,6.42,0.13,0.95,1.19,0.00
0.86,0.06,1.31,0.00,0.00,7.47,6.52,1.65,4.60,32.65,3.89,0.05,0.95,0.08,4.77,7.29,0.85,152.67,9.65,7.13,0.04,1.04,1.21,5.83,,brkm5,11.72,1.40,9.53,10.14,28.24,12.24
10.90,5.21,2.38,5.04,41.75,47.77,81.07,66.12,71.39,10.33,7.88,1.14,33.04,1.34,11.37,2.49,0.22,21.85,14.78,10.48,0.48,0.52,1.31,20.09,6.01,mult3,9.57,7.30,0.74,2.27,2.45,0.87
15.02,2.09,2.17,8.26,89.74,13.92,53.17,22.60,49.63,8.82,9.25,0.96,38.83,1.25,10.38,1.50,0.46,14.43,20.34,6.37,0.44,0.56,0.91,8.57,14.49,tims3,4.02,4.21,0.10,0.20,0.44,0.12
